#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR14111--MA0741.1.KLF16	chr12	108275477	108275487	+	0.000	0.000	Merged-chr12-108275445-64
NR7318--MA0039.3.KLF4	chr10	118787591	118787601	+	0.000	0.000	Merged-chr10-118787587-44
NR14116--MA0741.1.KLF16	chr12	108275633	108275643	-	0.000	0.000	Merged-chr12-108275445-64
NR52183--MA0493.1.Klf1	chr7	3290305	3290315	+	0.000	0.000	Merged-chr7-3290343-35
NR21454--MA1107.1.KLF9	chr15	85233151	85233163	+	0.000	0.000	Merged-chr15-85233310-62
NR52187--MA0741.1.KLF16	chr7	3290416	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR7317--MA0599.1.KLF5	chr10	118787590	118787599	+	0.000	0.000	Merged-chr10-118787587-44
NR16350--MA1107.1.KLF9	chr13	92722554	92722566	-	0.000	0.000	Merged-chr13-92722597-29
NR33339--MA0493.1.Klf1	chr2	102034413	102034423	+	0.000	0.000	Merged-chr2-102034492-49
NR970--MA0599.1.KLF5	chr1	73940877	73940886	+	0.000	0.000	Merged-chr1-73940938-50
NR52185--MA1107.1.KLF9	chr7	3290305	3290317	+	0.000	0.000	Merged-chr7-3290343-35
NR53804--MA0493.1.Klf1	chr7	49246033	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR2410--MA1107.1.KLF9	chr1	151236858	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR43404--MA0740.1.KLF14	chr4	150087349	150087362	-	0.000	0.000	Merged-chr4-150087480-81
NR45467--MA0599.1.KLF5	chr5	89882217	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR1367--MA0599.1.KLF5	chr1	89070348	89070357	+	0.000	0.000	Merged-chr1-89070221-114
NR1017--MA0039.3.KLF4	chr1	74570563	74570573	+	0.000	0.000	Merged-chr1-74570528-25
NR60123--MA1107.1.KLF9	chr8	126882102	126882114	-	0.000	0.000	Merged-chr8-126881934-28
NR14113--MA0599.1.KLF5	chr12	108275585	108275594	+	0.000	0.000	Merged-chr12-108275445-64
NR53806--MA1107.1.KLF9	chr7	49246033	49246045	+	0.000	0.000	Merged-chr7-49246156-57
NR21693--MA0599.1.KLF5	chr15	91573244	91573253	-	0.000	0.000	Merged-chr15-91573061-60
NR54181--MA0599.1.KLF5	chr7	78451846	78451855	+	0.000	0.000	Merged-chr7-78451897-56
NR14108--MA1107.1.KLF9	chr12	108275431	108275443	+	0.000	0.000	Merged-chr12-108275445-64
