#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR7383--MA1421.1.TCF7L1	chr5	118465205	118465216	+	0.000	0.000	Merged-chr5-118465239-56
NR5455--MA1421.1.TCF7L1	chr2	164868652	164868663	+	0.000	0.000	Merged-chr2-164868622-33
NR48--MA0523.1.TCF7L2	chr1	13559596	13559609	+	0.000	0.000	Merged-chr1-13559747-54
NR7366--MA1421.1.TCF7L1	chr5	107932809	107932820	+	0.000	0.000	Merged-chr5-107932779-30
NR1637--MA1421.1.TCF7L1	chr11	79658637	79658648	+	0.000	0.000	Merged-chr11-79658610-54
NR3413--MA0769.1.Tcf7	chr15	66825623	66825634	+	0.000	0.000	Merged-chr15-66825502-98
NR1142--MA1421.1.TCF7L1	chr10	76271523	76271534	+	0.000	0.000	Merged-chr10-76271555-43
NR3412--MA0523.1.TCF7L2	chr15	66825623	66825636	+	0.000	0.000	Merged-chr15-66825502-98
NR9339--MA0523.1.TCF7L2	chr9	123462003	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR9340--MA0769.1.Tcf7	chr9	123462005	123462016	-	0.000	0.000	Merged-chr9-123461997-47
NR2540--MA0769.1.Tcf7	chr13	101706541	101706552	-	0.000	0.000	Merged-chr13-101706581-30
NR3057--MA1421.1.TCF7L1	chr14	102980037	102980048	-	0.000	0.000	Merged-chr14-102979979-6
NR4466--MA1421.1.TCF7L1	chr18	62726941	62726952	-	0.000	0.000	Merged-chr18-62726922-31
NR3153--MA0523.1.TCF7L2	chr14	122187101	122187114	-	0.000	0.000	Merged-chr14-122187060-26
