#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1865--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1701--MA0769.1.Tcf7	chr11	113206337	113206348	+	0.000	0.000	Merged-chr11-113206318-17
NR3508--MA0523.1.TCF7L2	chr15	94255282	94255295	-	0.000	0.000	Merged-chr15-94255177-46
NR1146--MA0769.1.Tcf7	chr10	78115140	78115151	-	0.000	0.000	Merged-chr10-78115092-14
NR8369--MA0523.1.TCF7L2	chr7	77133220	77133233	+	0.000	0.000	Merged-chr7-77133181-52
NR7900--MA0769.1.Tcf7	chr6	113487190	113487201	-	0.000	0.000	Merged-chr6-113487219-11
NR9054--MA1421.1.TCF7L1	chr9	31254925	31254936	+	0.000	0.000	Merged-chr9-31254853-49
NR7396--MA1421.1.TCF7L1	chr5	122288603	122288614	+	0.000	0.000	Merged-chr5-122288620-47
NR1427--MA1421.1.TCF7L1	chr10	130344194	130344205	-	0.000	0.000	Merged-chr10-130344274-29
NR8621--MA1421.1.TCF7L1	chr8	13986988	13986999	-	0.000	0.000	Merged-chr8-13987133-66
NR4313--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR1780--MA0523.1.TCF7L2	chr12	17726667	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR287--MA0523.1.TCF7L2	chr1	82974138	82974151	+	0.000	0.000	Merged-chr1-82974163-36
NR8945--MA0523.1.TCF7L2	chr8	123026116	123026129	-	0.000	0.000	Merged-chr8-123026094-33
NR2861--MA1421.1.TCF7L1	chr14	54061809	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR1751--MA0769.1.Tcf7	chr12	8496496	8496507	+	0.000	0.000	Merged-chr12-8496481-10
NR7598--MA1421.1.TCF7L1	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR295--MA0769.1.Tcf7	chr1	84742368	84742379	+	0.000	0.000	Merged-chr1-84742431-28
NR619--MA0523.1.TCF7L2	chr1	161671054	161671067	-	0.000	0.000	Merged-chr1-161671075-50
NR7656--MA0523.1.TCF7L2	chr6	55016479	55016492	+	0.000	0.000	Merged-chr6-55016500-80
NR7328--MA1421.1.TCF7L1	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR1557--MA0523.1.TCF7L2	chr11	49722942	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR285--MA1421.1.TCF7L1	chr1	82974090	82974101	+	0.000	0.000	Merged-chr1-82974163-36
NR609--MA0769.1.Tcf7	chr1	159938619	159938630	+	0.000	0.000	Merged-chr1-159938641-24
NR7437--MA0523.1.TCF7L2	chr5	134482571	134482584	+	0.000	0.000	Merged-chr5-134482403-23
NR8257--MA0769.1.Tcf7	chr7	45695248	45695259	+	0.000	0.000	Merged-chr7-45695271-16
NR210--MA0523.1.TCF7L2	chr1	66552807	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR5453--MA0769.1.Tcf7	chr2	164534498	164534509	-	0.000	0.000	Merged-chr2-164534526-17
