#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR1529--MA0768.1.LEF1	chr6	73210573	73210587	+	0.000	0.000	Merged-chr6-73210689-51
NR38--MA0768.1.LEF1	chr1	84742384	84742398	+	0.000	0.000	Merged-chr1-84742431-28
NR431--MA0768.1.LEF1	chr12	112855153	112855167	-	0.000	0.000	Merged-chr12-112855098-63
NR1547--MA0768.1.LEF1	chr6	94534987	94535001	-	0.000	0.000	Merged-chr6-94534982-12
NR1332--MA0768.1.LEF1	chr4	131901418	131901432	-	0.000	0.000	Merged-chr4-131901332-16
NR1565--MA0768.1.LEF1	chr6	100581186	100581200	-	0.000	0.000	Merged-chr6-100581320-61
NR1104--MA0768.1.LEF1	chr2	157746753	157746767	+	0.000	0.000	Merged-chr2-157746803-36
NR682--MA0768.1.LEF1	chr15	66447697	66447711	+	0.000	0.000	Merged-chr15-66447588-19
NR92--MA0768.1.LEF1	chr1	164136961	164136975	+	0.000	0.000	Merged-chr1-164136892-1
NR1122--MA0768.1.LEF1	chr2	173452363	173452377	+	0.000	0.000	Merged-chr2-173452276-60
NR1239--MA0768.1.LEF1	chr3	148465567	148465581	+	0.000	0.000	Merged-chr3-148465597-36
NR1906--MA0768.1.LEF1	chr9	79756211	79756225	+	0.000	0.000	Merged-chr9-79756214-5
NR486--MA0768.1.LEF1	chr13	51951833	51951847	-	0.000	0.000	Merged-chr13-51951802-36
NR701--MA0768.1.LEF1	chr15	84168876	84168890	-	0.000	0.000	Merged-chr15-84168860-11
NR1540--MA0768.1.LEF1	chr6	88782956	88782970	-	0.000	0.000	Merged-chr6-88783083-54
NR1406--MA0768.1.LEF1	chr5	64297265	64297279	-	0.000	0.000	Merged-chr5-64297332-42
NR1303--MA0768.1.LEF1	chr4	101217141	101217155	+	0.000	0.000	Merged-chr4-101217167-64
NR27--MA0768.1.LEF1	chr1	66552806	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR1769--MA0768.1.LEF1	chr8	56443914	56443928	-	0.000	0.000	Merged-chr8-56443904-53
NR63--MA0768.1.LEF1	chr1	133012465	133012479	+	0.000	0.000	Merged-chr1-133012523-20
NR1460--MA0768.1.LEF1	chr5	122288603	122288617	+	0.000	0.000	Merged-chr5-122288620-47
NR81--MA0768.1.LEF1	chr1	159938619	159938633	+	0.000	0.000	Merged-chr1-159938641-24
NR1899--MA0768.1.LEF1	chr9	77430917	77430931	-	0.000	0.000	Merged-chr9-77430950-36
NR1326--MA0768.1.LEF1	chr4	129565410	129565424	+	0.000	0.000	Merged-chr4-129565342-28
NR1796--MA0768.1.LEF1	chr8	86052111	86052125	-	0.000	0.000	Merged-chr8-86052123-41
NR1438--MA0768.1.LEF1	chr5	98018288	98018302	+	0.000	0.000	Merged-chr5-98018284-53
NR215--MA0768.1.LEF1	chr10	111578772	111578786	+	0.000	0.000	Merged-chr10-111578564-64
NR578--MA0768.1.LEF1	chr14	49155777	49155791	+	0.000	0.000	Merged-chr14-49155726-21
NR363--MA0768.1.LEF1	chr12	41167986	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1264--MA0768.1.LEF1	chr4	41241025	41241039	+	0.000	0.000	Merged-chr4-41241074-39
NR381--MA0768.1.LEF1	chr12	76950384	76950398	+	0.000	0.000	Merged-chr12-76950525-26
NR153--MA0768.1.LEF1	chr10	44678981	44678995	+	0.000	0.000	Merged-chr10-44678956-9
NR377--MA0768.1.LEF1	chr12	73888160	73888174	+	0.000	0.000	Merged-chr12-73888255-48
NR1954--MA0768.1.LEF1	chr9	121925042	121925056	+	0.000	0.000	Merged-chr9-121925182-15
NR919--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR1856--MA0768.1.LEF1	chr9	7576736	7576750	+	0.000	0.000	Merged-chr9-7576753-19
NR297--MA0768.1.LEF1	chr11	97246831	97246845	+	0.000	0.000	Merged-chr11-97246717-13
NR1874--MA0768.1.LEF1	chr9	48447960	48447974	+	0.000	0.000	Merged-chr9-48448010-22
