#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR5615--MA1421.1.TCF7L1	chr7	97042368	97042379	-	0.000	0.000	Merged-chr7-97042218-26
NR5953--MA0769.1.Tcf7	chr8	86779422	86779433	-	0.000	0.000	Merged-chr8-86779479-38
NR5160--MA0523.1.TCF7L2	chr6	67475661	67475674	+	0.000	0.000	Merged-chr6-67475756-29
NR2922--MA1421.1.TCF7L1	chr17	72822229	72822240	+	0.000	0.000	Merged-chr17-72822157-16
NR2394--MA0523.1.TCF7L2	chr15	80602554	80602567	+	0.000	0.000	Merged-chr15-80602759-36
NR78--MA0523.1.TCF7L2	chr1	60158508	60158521	-	0.000	0.000	Merged-chr1-60158664-37
NR6323--MA1421.1.TCF7L1	chr9	83564263	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR3519--MA1421.1.TCF7L1	chr2	70933333	70933344	+	0.000	0.000	Merged-chr2-70933304-29
NR3123--MA1421.1.TCF7L1	chr18	77121715	77121726	-	0.000	0.000	Merged-chr18-77121790-35
NR4408--MA1421.1.TCF7L1	chr4	101217141	101217152	+	0.000	0.000	Merged-chr4-101217167-64
NR5156--MA0523.1.TCF7L2	chr6	67184933	67184946	+	0.000	0.000	Merged-chr6-67184785-39
NR3456--MA0769.1.Tcf7	chr2	44528730	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR5094--MA0769.1.Tcf7	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR1618--MA0523.1.TCF7L2	chr13	30760531	30760544	-	0.000	0.000	Merged-chr13-30760784-79
NR6479--MA0523.1.TCF7L2	chr9	121925042	121925055	+	0.000	0.000	Merged-chr9-121925182-15
NR5873--MA0769.1.Tcf7	chr8	41334274	41334285	-	0.000	0.000	Merged-chr8-41334366-24
NR1284--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR1178--MA0769.1.Tcf7	chr11	115589121	115589132	+	0.000	0.000	Merged-chr11-115589146-15
NR2244--MA0523.1.TCF7L2	chr15	6613077	6613090	-	0.000	0.000	Merged-chr15-6612978-36
NR1995--MA0523.1.TCF7L2	chr14	49155777	49155790	+	0.000	0.000	Merged-chr14-49155726-21
NR3325--MA1421.1.TCF7L1	chr19	58358425	58358436	-	0.000	0.000	Merged-chr19-58358384-21
NR3000--MA0523.1.TCF7L2	chr18	19524573	19524586	-	0.000	0.000	Merged-chr18-19524471-22
NR4694--MA0769.1.Tcf7	chr5	31831722	31831733	+	0.000	0.000	Merged-chr5-31831785-25
NR2231--MA0523.1.TCF7L2	chr14	122908309	122908322	-	0.000	0.000	Merged-chr14-122908322-32
NR4448--MA0769.1.Tcf7	chr4	118449812	118449823	-	0.000	0.000	Merged-chr4-118449765-23
NR5564--MA0523.1.TCF7L2	chr7	77133220	77133233	+	0.000	0.000	Merged-chr7-77133181-52
NR3009--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR4553--MA1421.1.TCF7L1	chr4	141296091	141296102	+	0.000	0.000	Merged-chr4-141296105-4
NR3421--MA0523.1.TCF7L2	chr2	29666797	29666810	-	0.000	0.000	Merged-chr2-29666836-9
NR4005--MA0769.1.Tcf7	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
