#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR2009--MA0463.1.Bcl6	chr9	50414258	50414271	-	0.000	0.000	Merged-chr9-50414250-13
NR399--MA0463.1.Bcl6	chr12	35799388	35799401	-	0.000	0.000	Merged-chr12-35799508-49
NR1910--MA0463.1.Bcl6	chr8	46943697	46943710	+	0.000	0.000	Merged-chr8-46943576-48
NR1627--MA0731.1.BCL6B	chr6	22340070	22340086	+	0.000	0.000	Merged-chr6-22340067-27
NR1213--MA0731.1.BCL6B	chr3	37199139	37199155	-	0.000	0.000	Merged-chr3-37199060-11
NR684--MA0731.1.BCL6B	chr15	12895527	12895543	+	0.000	0.000	Merged-chr15-12895648-51
NR1382--MA0463.1.Bcl6	chr4	46404354	46404367	-	0.000	0.000	Merged-chr4-46404308-42
NR1239--MA0731.1.BCL6B	chr3	78890029	78890045	-	0.000	0.000	Merged-chr3-78890015-28
NR671--MA0463.1.Bcl6	chr14	121478475	121478488	-	0.000	0.000	Merged-chr14-121478313-77
NR2010--MA0731.1.BCL6B	chr9	50414258	50414274	+	0.000	0.000	Merged-chr9-50414250-13
NR177--MA0731.1.BCL6B	chr1	189922365	189922381	+	0.000	0.000	Merged-chr1-189922190-68
NR1427--MA0463.1.Bcl6	chr4	118449767	118449780	-	0.000	0.000	Merged-chr4-118449765-23
NR110--MA0463.1.Bcl6	chr1	156710886	156710899	-	0.000	0.000	Merged-chr1-156710970-33
NR249--MA0731.1.BCL6B	chr10	93985650	93985666	+	0.000	0.000	Merged-chr10-93985650-27
NR1137--MA0463.1.Bcl6	chr2	131145659	131145672	+	0.000	0.000	Merged-chr2-131145703-8
NR1432--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR1827--MA0463.1.Bcl6	chr7	104400828	104400841	-	0.000	0.000	Merged-chr7-104400949-29
NR1023--MA0731.1.BCL6B	chr2	13718738	13718754	-	0.000	0.000	Merged-chr2-13718816-55
NR2095--MA0731.1.BCL6B	chr9	123960498	123960514	+	0.000	0.000	Merged-chr9-123960411-24
NR654--MA0463.1.Bcl6	chr14	103850544	103850557	+	0.000	0.000	Merged-chr14-103850623-36
NR4--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR248--MA0463.1.Bcl6	chr10	93985595	93985608	-	0.000	0.000	Merged-chr10-93985650-27
NR915--MA0463.1.Bcl6	chr18	46182171	46182184	-	0.000	0.000	Merged-chr18-46182052-26
NR1339--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR1666--MA0731.1.BCL6B	chr6	87394950	87394966	-	0.000	0.000	Merged-chr6-87395104-19
NR1576--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR1062--MA0463.1.Bcl6	chr2	53051573	53051586	+	0.000	0.000	Merged-chr2-53051556-37
NR5--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR1835--MA0463.1.Bcl6	chr7	110796785	110796798	+	0.000	0.000	Merged-chr7-110796753-46
NR1581--MA0463.1.Bcl6	chr5	130204817	130204830	+	0.000	0.000	Merged-chr5-130204591-44
NR176--MA0463.1.Bcl6	chr1	189922365	189922378	-	0.000	0.000	Merged-chr1-189922190-68
NR884--MA0463.1.Bcl6	chr17	80772954	80772967	+	0.000	0.000	Merged-chr17-80772766-52
NR571--MA0463.1.Bcl6	chr13	107866946	107866959	-	0.000	0.000	Merged-chr13-107866970-30
NR343--MA0463.1.Bcl6	chr11	72321044	72321057	+	0.000	0.000	Merged-chr11-72321004-18
NR1244--MA0463.1.Bcl6	chr3	86961080	86961093	+	0.000	0.000	Merged-chr3-86961231-31
NR1400--MA0463.1.Bcl6	chr4	89178165	89178178	+	0.000	0.000	Merged-chr4-89178152-23
