#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR6053--MA0741.1.KLF16	chr10	34207261	34207271	-	0.000	0.000	Merged-chr10-34207023-88
NR9455--MA0599.1.KLF5	chr10	127621182	127621191	-	0.000	0.000	Merged-chr10-127621046-1
NR4896--MA0493.1.Klf1	chr1	189500039	189500049	+	0.000	0.000	Merged-chr1-189499965-39
NR9463--MA1107.1.KLF9	chr10	127621165	127621177	-	0.000	0.000	Merged-chr10-127621046-1
NR51503--MA0741.1.KLF16	chr5	89882216	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR15462--MA0599.1.KLF5	chr12	108275432	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR9045--MA0657.1.KLF13	chr10	118787588	118787605	+	0.000	0.000	Merged-chr10-118787587-44
NR65384--MA0039.3.KLF4	chr8	125558864	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR23796--MA1107.1.KLF9	chr15	59618498	59618510	-	0.000	0.000	Merged-chr15-59618561-44
NR9049--MA0493.1.Klf1	chr10	118787589	118787599	+	0.000	0.000	Merged-chr10-118787587-44
NR15461--MA0742.1.Klf12	chr12	108275431	108275445	+	0.000	0.000	Merged-chr12-108275445-64
NR67770--MA0741.1.KLF16	chr9	103134555	103134565	-	0.000	0.000	Merged-chr9-103134672-43
NR4898--MA1107.1.KLF9	chr1	189500039	189500051	+	0.000	0.000	Merged-chr1-189499965-39
NR8283--MA0740.1.KLF14	chr10	99609207	99609220	-	0.000	0.000	Merged-chr10-99609027-18
NR15460--MA0740.1.KLF14	chr12	108275431	108275444	+	0.000	0.000	Merged-chr12-108275445-64
NR9050--MA1107.1.KLF9	chr10	118787589	118787601	+	0.000	0.000	Merged-chr10-118787587-44
NR23794--MA1107.1.KLF9	chr15	59618494	59618506	-	0.000	0.000	Merged-chr15-59618561-44
NR9460--MA0741.1.KLF16	chr10	127621164	127621174	-	0.000	0.000	Merged-chr10-127621046-1
NR4894--MA0740.1.KLF14	chr1	189500039	189500052	+	0.000	0.000	Merged-chr1-189499965-39
NR65386--MA0741.1.KLF16	chr8	125558863	125558873	+	0.000	0.000	Merged-chr8-125558804-33
NR48979--MA0599.1.KLF5	chr4	150087551	150087560	-	0.000	0.000	Merged-chr4-150087480-81
NR9457--MA0741.1.KLF16	chr10	127621160	127621170	-	0.000	0.000	Merged-chr10-127621046-1
NR8285--MA1107.1.KLF9	chr10	99609208	99609220	-	0.000	0.000	Merged-chr10-99609027-18
NR61730--MA0599.1.KLF5	chr7	136894458	136894467	+	0.000	0.000	Merged-chr7-136894538-85
NR15463--MA0493.1.Klf1	chr12	108275431	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR23797--MA1107.1.KLF9	chr15	59618504	59618516	-	0.000	0.000	Merged-chr15-59618561-44
NR9462--MA1107.1.KLF9	chr10	127621163	127621175	-	0.000	0.000	Merged-chr10-127621046-1
NR15470--MA0599.1.KLF5	chr12	108275585	108275594	+	0.000	0.000	Merged-chr12-108275445-64
NR53961--MA0039.3.KLF4	chr5	150259562	150259572	+	0.000	0.000	Merged-chr5-150259783-65
NR15465--MA1107.1.KLF9	chr12	108275431	108275443	+	0.000	0.000	Merged-chr12-108275445-64
NR15464--MA0741.1.KLF16	chr12	108275432	108275442	+	0.000	0.000	Merged-chr12-108275445-64
NR51502--MA0599.1.KLF5	chr5	89882217	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR67771--MA1107.1.KLF9	chr9	103134554	103134566	-	0.000	0.000	Merged-chr9-103134672-43
NR15469--MA0741.1.KLF16	chr12	108275477	108275487	+	0.000	0.000	Merged-chr12-108275445-64
NR53960--MA0599.1.KLF5	chr5	150259566	150259575	+	0.000	0.000	Merged-chr5-150259783-65
NR61731--MA0493.1.Klf1	chr7	136894457	136894467	+	0.000	0.000	Merged-chr7-136894538-85
NR48977--MA0039.3.KLF4	chr4	150087402	150087412	-	0.000	0.000	Merged-chr4-150087480-81
NR9464--MA0599.1.KLF5	chr10	127621207	127621216	-	0.000	0.000	Merged-chr10-127621046-1
NR9456--MA0741.1.KLF16	chr10	127621159	127621169	-	0.000	0.000	Merged-chr10-127621046-1
NR15468--MA0742.1.Klf12	chr12	108275476	108275490	+	0.000	0.000	Merged-chr12-108275445-64
NR44460--MA0740.1.KLF14	chr3	148906540	148906553	-	0.000	0.000	Merged-chr3-148906518-3
NR65385--MA0493.1.Klf1	chr8	125558862	125558872	+	0.000	0.000	Merged-chr8-125558804-33
NR61733--MA1107.1.KLF9	chr7	136894457	136894469	+	0.000	0.000	Merged-chr7-136894538-85
NR48976--MA0599.1.KLF5	chr4	150087404	150087413	-	0.000	0.000	Merged-chr4-150087480-81
NR61729--MA0742.1.Klf12	chr7	136894457	136894471	+	0.000	0.000	Merged-chr7-136894538-85
NR9048--MA0039.3.KLF4	chr10	118787591	118787601	+	0.000	0.000	Merged-chr10-118787587-44
NR51501--MA0741.1.KLF16	chr5	89882148	89882158	-	0.000	0.000	Merged-chr5-89882343-19
NR3477--MA0039.3.KLF4	chr1	151236860	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR9459--MA0741.1.KLF16	chr10	127621162	127621172	-	0.000	0.000	Merged-chr10-127621046-1
NR65387--MA1107.1.KLF9	chr8	125558862	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR2402--MA0741.1.KLF16	chr1	111864955	111864965	-	0.000	0.000	Merged-chr1-111864716-124
NR9047--MA0599.1.KLF5	chr10	118787590	118787599	+	0.000	0.000	Merged-chr10-118787587-44
NR9046--MA0742.1.Klf12	chr10	118787589	118787603	+	0.000	0.000	Merged-chr10-118787587-44
NR53962--MA0741.1.KLF16	chr5	150259561	150259571	+	0.000	0.000	Merged-chr5-150259783-65
NR48978--MA1107.1.KLF9	chr4	150087402	150087414	-	0.000	0.000	Merged-chr4-150087480-81
NR49082--MA0741.1.KLF16	chr4	152124484	152124494	+	0.000	0.000	Merged-chr4-152124599-7
NR4897--MA0741.1.KLF16	chr1	189500040	189500050	+	0.000	0.000	Merged-chr1-189499965-39
NR61732--MA0741.1.KLF16	chr7	136894458	136894468	+	0.000	0.000	Merged-chr7-136894538-85
NR53963--MA1107.1.KLF9	chr5	150259560	150259572	+	0.000	0.000	Merged-chr5-150259783-65
NR24716--MA1107.1.KLF9	chr15	85233151	85233163	+	0.000	0.000	Merged-chr15-85233310-62
NR8284--MA0741.1.KLF16	chr10	99609209	99609219	-	0.000	0.000	Merged-chr10-99609027-18
NR4895--MA0599.1.KLF5	chr1	189500040	189500049	+	0.000	0.000	Merged-chr1-189499965-39
NR6052--MA0741.1.KLF16	chr10	34207259	34207269	-	0.000	0.000	Merged-chr10-34207023-88
NR9454--MA0599.1.KLF5	chr10	127621167	127621176	-	0.000	0.000	Merged-chr10-127621046-1
NR3478--MA1107.1.KLF9	chr1	151236858	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR44462--MA0741.1.KLF16	chr3	148906542	148906552	-	0.000	0.000	Merged-chr3-148906518-3
NR23795--MA1107.1.KLF9	chr15	59618496	59618508	-	0.000	0.000	Merged-chr15-59618561-44
NR15466--MA0740.1.KLF14	chr12	108275476	108275489	+	0.000	0.000	Merged-chr12-108275445-64
NR9461--MA0741.1.KLF16	chr10	127621166	127621176	-	0.000	0.000	Merged-chr10-127621046-1
