#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR8817--MA0496.2.MAFK	chr3	133563698	133563716	+	0.000	0.000	Merged-chr3-133563771-42
NR269--MA0089.1.MAFG::NFE2L1	chr1	58742727	58742732	+	0.000	0.000	Merged-chr1-58742743-31
NR1262--MA0659.1.MAFG	chr10	20119542	20119562	+	0.000	0.000	Merged-chr10-20119637-31
NR8816--MA0501.1.MAF::NFE2	chr3	133563697	133563711	-	0.000	0.000	Merged-chr3-133563771-42
NR2102--MA0591.1.Bach1::Mafk	chr11	11497910	11497924	+	0.000	0.000	Merged-chr11-11498094-24
NR1591--MA0496.2.MAFK	chr10	67512299	67512317	+	0.000	0.000	Merged-chr10-67512381-13
NR13367--MA0089.1.MAFG::NFE2L1	chr9	96696411	96696416	-	0.000	0.000	Merged-chr9-96696442-50
NR7574--MA0591.1.Bach1::Mafk	chr2	122789558	122789572	-	0.000	0.000	Merged-chr2-122789643-8
NR1265--MA0496.2.MAFK	chr10	20119543	20119561	-	0.000	0.000	Merged-chr10-20119637-31
NR6447--MA0591.1.Bach1::Mafk	chr18	49721874	49721888	+	0.000	0.000	Merged-chr18-49721855-41
NR9188--MA0591.1.Bach1::Mafk	chr4	32906829	32906843	+	0.000	0.000	Merged-chr4-32906813-40
NR12019--MA0495.2.MAFF	chr7	80629088	80629108	-	0.000	0.000	Merged-chr7-80629014-41
NR7813--MA0089.1.MAFG::NFE2L1	chr2	156970625	156970630	+	0.000	0.000	Merged-chr2-156970494-23
NR5670--MA0496.2.MAFK	chr17	5303510	5303528	-	0.000	0.000	Merged-chr17-5303448-46
NR8900--MA0591.1.Bach1::Mafk	chr3	144232018	144232032	+	0.000	0.000	Merged-chr3-144232172-58
NR5257--MA0501.1.MAF::NFE2	chr16	32972774	32972788	+	0.000	0.000	Merged-chr16-32972762-21
NR417--MA0659.1.MAFG	chr1	78422793	78422813	+	0.000	0.000	Merged-chr1-78422740-38
NR13190--MA0495.2.MAFF	chr9	71874477	71874497	-	0.000	0.000	Merged-chr9-71874475-35
NR8853--MA0089.1.MAFG::NFE2L1	chr3	138008297	138008302	+	0.000	0.000	Merged-chr3-138008366-30
NR2458--MA0659.1.MAFG	chr11	117109896	117109916	-	0.000	0.000	Merged-chr11-117109823-31
NR6328--MA0591.1.Bach1::Mafk	chr18	32311876	32311890	-	0.000	0.000	Merged-chr18-32311918-36
NR2460--MA0496.2.MAFK	chr11	117109897	117109915	+	0.000	0.000	Merged-chr11-117109823-31
NR8673--MA0089.1.MAFG::NFE2L1	chr3	109732676	109732681	-	0.000	0.000	Merged-chr3-109732646-37
NR6329--MA0501.1.MAF::NFE2	chr18	32311873	32311887	-	0.000	0.000	Merged-chr18-32311918-36
NR2507--MA0089.1.MAFG::NFE2L1	chr12	8844996	8845001	+	0.000	0.000	Merged-chr12-8844937-14
NR5522--MA0117.2.Mafb	chr16	76202324	76202335	-	0.000	0.000	Merged-chr16-76202306-30
