#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR729--MA1421.1.TCF7L1	chr10	111562791	111562802	+	0.000	0.000	Merged-chr10-111562842-26
NR2743--MA0769.1.Tcf7	chr18	80682968	80682979	+	0.000	0.000	Merged-chr18-80683033-18
NR1435--MA1421.1.TCF7L1	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR463--MA0523.1.TCF7L2	chr1	194978294	194978307	-	0.000	0.000	Merged-chr1-194978350-5
NR1030--MA0769.1.Tcf7	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR2940--MA0769.1.Tcf7	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR1695--MA1421.1.TCF7L1	chr13	113549349	113549360	-	0.000	0.000	Merged-chr13-113549207-25
NR46--MA0523.1.TCF7L2	chr1	51570628	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR1029--MA1421.1.TCF7L1	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR4308--MA0769.1.Tcf7	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR3878--MA0523.1.TCF7L2	chr4	118406372	118406385	-	0.000	0.000	Merged-chr4-118406334-12
NR3828--MA0769.1.Tcf7	chr4	98282622	98282633	-	0.000	0.000	Merged-chr4-98282479-46
NR5285--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR759--MA0769.1.Tcf7	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR2415--MA1421.1.TCF7L1	chr17	29275142	29275153	-	0.000	0.000	Merged-chr17-29275247-8
NR2939--MA1421.1.TCF7L1	chr2	35445515	35445526	-	0.000	0.000	Merged-chr2-35445506-29
NR1651--MA0523.1.TCF7L2	chr13	108763549	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR758--MA1421.1.TCF7L1	chr10	118096221	118096232	+	0.000	0.000	Merged-chr10-118096400-51
NR3364--MA0523.1.TCF7L2	chr3	37738623	37738636	+	0.000	0.000	Merged-chr3-37738517-40
NR1039--MA1421.1.TCF7L1	chr11	106493442	106493453	-	0.000	0.000	Merged-chr11-106493297-20
NR45--MA1421.1.TCF7L1	chr1	51570630	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR4307--MA1421.1.TCF7L1	chr5	146757475	146757486	-	0.000	0.000	Merged-chr5-146757539-9
NR47--MA0769.1.Tcf7	chr1	51570630	51570641	-	0.000	0.000	Merged-chr1-51570675-23
NR3891--MA0523.1.TCF7L2	chr4	124766966	124766979	+	0.000	0.000	Merged-chr4-124766881-14
NR4769--MA0769.1.Tcf7	chr7	30440004	30440015	-	0.000	0.000	Merged-chr7-30439933-8
NR1652--MA0769.1.Tcf7	chr13	108763551	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR3827--MA0523.1.TCF7L2	chr4	98282620	98282633	-	0.000	0.000	Merged-chr4-98282479-46
NR3--MA0523.1.TCF7L2	chr1	7096289	7096302	+	0.000	0.000	Merged-chr1-7096130-35
NR1436--MA0769.1.Tcf7	chr13	12927707	12927718	+	0.000	0.000	Merged-chr13-12927520-1
NR821--MA0523.1.TCF7L2	chr11	11498084	11498097	-	0.000	0.000	Merged-chr11-11498094-24
