#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR472--MA0523.1.TCF7L2	chr1	135807747	135807760	+	0.000	0.000	Merged-chr1-135807785-37
NR7143--MA1421.1.TCF7L1	chr5	53584558	53584569	-	0.000	0.000	Merged-chr5-53584497-5
NR1865--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR1701--MA0769.1.Tcf7	chr11	113206337	113206348	+	0.000	0.000	Merged-chr11-113206318-17
NR3508--MA0523.1.TCF7L2	chr15	94255282	94255295	-	0.000	0.000	Merged-chr15-94255177-46
NR4738--MA0769.1.Tcf7	chr2	6622259	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR8369--MA0523.1.TCF7L2	chr7	77133220	77133233	+	0.000	0.000	Merged-chr7-77133181-52
NR7900--MA0769.1.Tcf7	chr6	113487190	113487201	-	0.000	0.000	Merged-chr6-113487219-11
NR3738--MA1421.1.TCF7L1	chr16	49943640	49943651	-	0.000	0.000	Merged-chr16-49943826-20
NR7936--MA0523.1.TCF7L2	chr6	119749301	119749314	+	0.000	0.000	Merged-chr6-119749325-22
NR9054--MA1421.1.TCF7L1	chr9	31254925	31254936	+	0.000	0.000	Merged-chr9-31254853-49
NR2812--MA0523.1.TCF7L2	chr14	36932209	36932222	-	0.000	0.000	Merged-chr14-36932132-23
NR7396--MA1421.1.TCF7L1	chr5	122288603	122288614	+	0.000	0.000	Merged-chr5-122288620-47
NR6815--MA0769.1.Tcf7	chr4	140601320	140601331	+	0.000	0.000	Merged-chr4-140601329-15
NR8621--MA1421.1.TCF7L1	chr8	13986988	13986999	-	0.000	0.000	Merged-chr8-13987133-66
NR7139--MA1421.1.TCF7L1	chr5	52610120	52610131	+	0.000	0.000	Merged-chr5-52609918-24
NR7321--MA0523.1.TCF7L2	chr5	97090319	97090332	+	0.000	0.000	Merged-chr5-97090318-20
NR1961--MA0769.1.Tcf7	chr12	71868832	71868843	+	0.000	0.000	Merged-chr12-71868892-16
NR4313--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR8394--MA0523.1.TCF7L2	chr7	84149083	84149096	-	0.000	0.000	Merged-chr7-84149073-24
NR6397--MA0523.1.TCF7L2	chr4	21777292	21777305	-	0.000	0.000	Merged-chr4-21777140-4
NR935--MA0769.1.Tcf7	chr10	30627893	30627904	-	0.000	0.000	Merged-chr10-30627801-15
NR9150--MA0523.1.TCF7L2	chr9	70584886	70584899	-	0.000	0.000	Merged-chr9-70584670-22
NR3474--MA0769.1.Tcf7	chr15	85042792	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR287--MA0523.1.TCF7L2	chr1	82974138	82974151	+	0.000	0.000	Merged-chr1-82974163-36
NR4086--MA0523.1.TCF7L2	chr17	52592022	52592035	-	0.000	0.000	Merged-chr17-52591988-50
NR277--MA0769.1.Tcf7	chr1	80441128	80441139	+	0.000	0.000	Merged-chr1-80441020-53
NR8945--MA0523.1.TCF7L2	chr8	123026116	123026129	-	0.000	0.000	Merged-chr8-123026094-33
NR1751--MA0769.1.Tcf7	chr12	8496496	8496507	+	0.000	0.000	Merged-chr12-8496481-10
NR8124--MA0523.1.TCF7L2	chr7	12803542	12803555	+	0.000	0.000	Merged-chr7-12803632-59
NR2268--MA0769.1.Tcf7	chr13	34914828	34914839	-	0.000	0.000	Merged-chr13-34914852-26
NR7598--MA1421.1.TCF7L1	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR295--MA0769.1.Tcf7	chr1	84742368	84742379	+	0.000	0.000	Merged-chr1-84742431-28
NR5551--MA0769.1.Tcf7	chr3	9567008	9567019	+	0.000	0.000	Merged-chr3-9567055-14
NR1738--MA0523.1.TCF7L2	chr12	3990028	3990041	-	0.000	0.000	Merged-chr12-3989980-1
NR3868--MA0523.1.TCF7L2	chr16	84972032	84972045	-	0.000	0.000	Merged-chr16-84972104-8
NR619--MA0523.1.TCF7L2	chr1	161671054	161671067	-	0.000	0.000	Merged-chr1-161671075-50
NR4155--MA0523.1.TCF7L2	chr17	80479316	80479329	+	0.000	0.000	Merged-chr17-80479314-1
NR5775--MA0769.1.Tcf7	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR7656--MA0523.1.TCF7L2	chr6	55016479	55016492	+	0.000	0.000	Merged-chr6-55016500-80
NR7937--MA0769.1.Tcf7	chr6	119749301	119749312	+	0.000	0.000	Merged-chr6-119749325-22
NR7328--MA1421.1.TCF7L1	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR8377--MA0523.1.TCF7L2	chr7	79190893	79190906	+	0.000	0.000	Merged-chr7-79190820-25
NR7862--MA0523.1.TCF7L2	chr6	103309148	103309161	-	0.000	0.000	Merged-chr6-103309092-13
NR7843--MA0769.1.Tcf7	chr6	99498284	99498295	-	0.000	0.000	Merged-chr6-99498294-17
NR1557--MA0523.1.TCF7L2	chr11	49722942	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR285--MA1421.1.TCF7L1	chr1	82974090	82974101	+	0.000	0.000	Merged-chr1-82974163-36
NR609--MA0769.1.Tcf7	chr1	159938619	159938630	+	0.000	0.000	Merged-chr1-159938641-24
NR7437--MA0523.1.TCF7L2	chr5	134482571	134482584	+	0.000	0.000	Merged-chr5-134482403-23
NR8257--MA0769.1.Tcf7	chr7	45695248	45695259	+	0.000	0.000	Merged-chr7-45695271-16
NR210--MA0523.1.TCF7L2	chr1	66552807	66552820	-	0.000	0.000	Merged-chr1-66552771-47
NR5453--MA0769.1.Tcf7	chr2	164534498	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR7218--MA0523.1.TCF7L2	chr5	67930821	67930834	-	0.000	0.000	Merged-chr5-67930859-12
NR4493--MA0769.1.Tcf7	chr18	68234617	68234628	-	0.000	0.000	Merged-chr18-68234781-25
NR5500--MA0523.1.TCF7L2	chr2	174612773	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR7727--MA0769.1.Tcf7	chr6	67105659	67105670	+	0.000	0.000	Merged-chr6-67105676-29
NR9348--MA0523.1.TCF7L2	chrX	7570941	7570954	+	0.000	0.000	Merged-chrX-7570919-6
NR7088--MA0523.1.TCF7L2	chr5	41841962	41841975	+	0.000	0.000	Merged-chr5-41841893-1
NR6440--MA0769.1.Tcf7	chr4	34429185	34429196	+	0.000	0.000	Merged-chr4-34429163-2
NR1978--MA0523.1.TCF7L2	chr12	76923266	76923279	-	0.000	0.000	Merged-chr12-76923289-32
NR1750--MA0523.1.TCF7L2	chr12	8496496	8496509	+	0.000	0.000	Merged-chr12-8496481-10
NR7633--MA0769.1.Tcf7	chr6	50009502	50009513	-	0.000	0.000	Merged-chr6-50009459-48
NR3417--MA0523.1.TCF7L2	chr15	67138976	67138989	+	0.000	0.000	Merged-chr15-67138945-51
NR8620--MA0769.1.Tcf7	chr8	13955239	13955250	+	0.000	0.000	Merged-chr8-13955228-14
NR3287--MA0523.1.TCF7L2	chr15	36396449	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR9167--MA0523.1.TCF7L2	chr9	75537213	75537226	+	0.000	0.000	Merged-chr9-75537156-9
NR7660--MA0769.1.Tcf7	chr6	55256723	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR7677--MA0523.1.TCF7L2	chr6	61125593	61125606	-	0.000	0.000	Merged-chr6-61125660-31
NR9213--MA1421.1.TCF7L1	chr9	84030870	84030881	+	0.000	0.000	Merged-chr9-84030961-27
NR3442--MA0523.1.TCF7L2	chr15	74667788	74667801	-	0.000	0.000	Merged-chr15-74667710-27
NR565--MA0769.1.Tcf7	chr1	151973287	151973298	-	0.000	0.000	Merged-chr1-151973357-25
NR6615--MA1421.1.TCF7L1	chr4	86683549	86683560	-	0.000	0.000	Merged-chr4-86683553-15
NR4030--MA0523.1.TCF7L2	chr17	34305137	34305150	-	0.000	0.000	Merged-chr17-34305077-21
NR7553--MA0769.1.Tcf7	chr6	24515044	24515055	-	0.000	0.000	Merged-chr6-24515075-25
NR9397--MA0769.1.Tcf7	chrX	52679290	52679301	-	0.000	0.000	Merged-chrX-52679336-26
NR5244--MA1421.1.TCF7L1	chr2	118008229	118008240	+	0.000	0.000	Merged-chr2-118008176-29
NR7938--MA1421.1.TCF7L1	chr6	120206759	120206770	+	0.000	0.000	Merged-chr6-120206801-39
NR480--MA0769.1.Tcf7	chr1	136618922	136618933	+	0.000	0.000	Merged-chr1-136618798-23
NR5830--MA0769.1.Tcf7	chr3	67033638	67033649	+	0.000	0.000	Merged-chr3-67033715-15
NR1381--MA0769.1.Tcf7	chr10	118714401	118714412	+	0.000	0.000	Merged-chr10-118714396-52
NR7675--MA1421.1.TCF7L1	chr6	60940531	60940542	+	0.000	0.000	Merged-chr6-60940563-22
