#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR3307--MA0035.3.Gata1	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR997--MA0036.3.GATA2	chr10	34117969	34117979	+	0.000	0.000	Merged-chr10-34117997-36
NR5043--MA0035.3.Gata1	chr19	27967751	27967761	+	0.000	0.000	Merged-chr19-27967760-35
NR2835--MA0036.3.GATA2	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR4040--MA0035.3.Gata1	chr16	64758766	64758776	-	0.000	0.000	Merged-chr16-64758494-145
NR5221--MA0140.2.GATA1::TAL1	chr2	27730151	27730168	-	0.000	0.000	Merged-chr2-27730230-3
NR5035--MA0035.3.Gata1	chr19	14668654	14668664	-	0.000	0.000	Merged-chr19-14668781-26
NR5027--MA0035.3.Gata1	chr19	12026836	12026846	-	0.000	0.000	Merged-chr19-12026851-22
NR9032--MA0140.2.GATA1::TAL1	chr7	142354004	142354021	-	0.000	0.000	Merged-chr7-142354183-49
NR6665--MA0482.1.Gata4	chr4	10770161	10770171	-	0.000	0.000	Merged-chr4-10770192-53
NR2346--MA0766.1.GATA5	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR5596--MA0037.3.GATA3	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR8773--MA0482.1.Gata4	chr7	72308183	72308193	+	0.000	0.000	Merged-chr7-72308227-31
NR6666--MA1104.1.GATA6	chr4	10770161	10770173	+	0.000	0.000	Merged-chr4-10770192-53
NR3865--MA0766.1.GATA5	chr16	24826503	24826510	-	0.000	0.000	Merged-chr16-24826564-20
NR1314--MA0766.1.GATA5	chr10	99393614	99393621	+	0.000	0.000	Merged-chr10-99393384-65
NR2267--MA0036.3.GATA2	chr12	98247086	98247096	+	0.000	0.000	Merged-chr12-98247130-40
NR2903--MA0037.3.GATA3	chr13	113580117	113580124	+	0.000	0.000	Merged-chr13-113580257-62
NR4037--MA0482.1.Gata4	chr16	64758765	64758775	-	0.000	0.000	Merged-chr16-64758494-145
NR8058--MA0766.1.GATA5	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR8377--MA0482.1.Gata4	chr6	130102978	130102988	+	0.000	0.000	Merged-chr6-130103023-31
NR2347--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR9031--MA0035.3.Gata1	chr7	140207132	140207142	+	0.000	0.000	Merged-chr7-140207191-19
NR1657--MA0036.3.GATA2	chr11	64037639	64037649	-	0.000	0.000	Merged-chr11-64037767-32
NR1765--MA0140.2.GATA1::TAL1	chr11	110919281	110919298	-	0.000	0.000	Merged-chr11-110919203-38
NR9729--MA0036.3.GATA2	chr9	92274453	92274463	+	0.000	0.000	Merged-chr9-92274591-56
NR4038--MA1104.1.GATA6	chr16	64758765	64758777	+	0.000	0.000	Merged-chr16-64758494-145
NR9373--MA0482.1.Gata4	chr8	111955418	111955428	+	0.000	0.000	Merged-chr8-111955328-48
NR8378--MA1104.1.GATA6	chr6	130102976	130102988	-	0.000	0.000	Merged-chr6-130103023-31
NR3866--MA0035.3.Gata1	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR1315--MA0035.3.Gata1	chr10	99393612	99393622	-	0.000	0.000	Merged-chr10-99393384-65
NR6664--MA0037.3.GATA3	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR9376--MA0035.3.Gata1	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR3170--MA0482.1.Gata4	chr14	60131692	60131702	+	0.000	0.000	Merged-chr14-60131750-51
NR7685--MA0482.1.Gata4	chr5	107648992	107649002	+	0.000	0.000	Merged-chr5-107649073-49
NR6164--MA0140.2.GATA1::TAL1	chr3	69041523	69041540	-	0.000	0.000	Merged-chr3-69041504-24
NR4167--MA0140.2.GATA1::TAL1	chr16	91063928	91063945	-	0.000	0.000	Merged-chr16-91063973-29
NR3847--MA0482.1.Gata4	chr16	18075421	18075431	-	0.000	0.000	Merged-chr16-18075425-17
NR7773--MA0482.1.Gata4	chr5	148596595	148596605	+	0.000	0.000	Merged-chr5-148596681-29
NR8774--MA0036.3.GATA2	chr7	72308182	72308192	+	0.000	0.000	Merged-chr7-72308227-31
NR9374--MA1104.1.GATA6	chr8	111955416	111955428	-	0.000	0.000	Merged-chr8-111955328-48
NR2905--MA0766.1.GATA5	chr13	113580117	113580124	+	0.000	0.000	Merged-chr13-113580257-62
NR3171--MA1104.1.GATA6	chr14	60131690	60131702	-	0.000	0.000	Merged-chr14-60131750-51
NR704--MA0140.2.GATA1::TAL1	chr1	161794947	161794964	+	0.000	0.000	Merged-chr1-161794797-65
NR8860--MA1104.1.GATA6	chr7	92420480	92420492	-	0.000	0.000	Merged-chr7-92420666-38
NR3306--MA0036.3.GATA2	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR8376--MA0037.3.GATA3	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
