#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1383--MA0690.1.TBX21	chr4	154936066	154936075	+	0.000	0.000	Merged-chr4-154936025-18
NR1110--MA0690.1.TBX21	chr2	169398756	169398765	-	0.000	0.000	Merged-chr2-169398588-9
NR1755--MA0690.1.TBX21	chr7	115218901	115218910	+	0.000	0.000	Merged-chr7-115218920-27
NR1721--MA0690.1.TBX21	chr7	84149056	84149065	-	0.000	0.000	Merged-chr7-84149073-24
NR1508--MA0690.1.TBX21	chr5	143631003	143631012	+	0.000	0.000	Merged-chr5-143630947-39
NR1686--MA0690.1.TBX21	chr7	35729784	35729793	+	0.000	0.000	Merged-chr7-35729754-35
NR502--MA0690.1.TBX21	chr13	95742509	95742518	+	0.000	0.000	Merged-chr13-95742219-17
NR895--MA0690.1.TBX21	chr18	80642663	80642672	+	0.000	0.000	Merged-chr18-80642669-13
NR500--MA0690.1.TBX21	chr13	93073216	93073225	-	0.000	0.000	Merged-chr13-93073224-49
NR818--MA0690.1.TBX21	chr17	70942722	70942731	+	0.000	0.000	Merged-chr17-70942808-10
NR369--MA0690.1.TBX21	chr12	33220643	33220652	+	0.000	0.000	Merged-chr12-33220672-27
NR444--MA0690.1.TBX21	chr13	35841997	35842006	+	0.000	0.000	Merged-chr13-35841945-14
NR144--MA0690.1.TBX21	chr1	177676766	177676775	-	0.000	0.000	Merged-chr1-177676690-44
NR667--MA0690.1.TBX21	chr15	64249418	64249427	+	0.000	0.000	Merged-chr15-64249418-10
NR1998--MA0690.1.TBX21	chr9	112185873	112185882	-	0.000	0.000	Merged-chr9-112185998-1
NR591--MA0690.1.TBX21	chr14	73472648	73472657	-	0.000	0.000	Merged-chr14-73472602-8
NR1590--MA0690.1.TBX21	chr6	94636273	94636282	+	0.000	0.000	Merged-chr6-94636290-6
NR1874--MA0690.1.TBX21	chr8	81558766	81558775	+	0.000	0.000	Merged-chr8-81558760-48
NR1319--MA0690.1.TBX21	chr4	99100056	99100065	+	0.000	0.000	Merged-chr4-99100196-17
NR722--MA0690.1.TBX21	chr16	44497277	44497286	+	0.000	0.000	Merged-chr16-44497186-22
NR212--MA0690.1.TBX21	chr10	58480315	58480324	-	0.000	0.000	Merged-chr10-58480234-23
NR979--MA0690.1.TBX21	chr2	25095323	25095332	+	0.000	0.000	Merged-chr2-25095278-14
NR78--MA0690.1.TBX21	chr1	120162063	120162072	+	0.000	0.000	Merged-chr1-120162199-15
NR1878--MA0690.1.TBX21	chr8	84201493	84201502	-	0.000	0.000	Merged-chr8-84201386-2
NR1225--MA0690.1.TBX21	chr3	138876406	138876415	+	0.000	0.000	Merged-chr3-138876270-3
NR53--MA0690.1.TBX21	chr1	82443824	82443833	+	0.000	0.000	Merged-chr1-82443829-28
NR1273--MA0690.1.TBX21	chr4	21751858	21751867	+	0.000	0.000	Merged-chr4-21752041-18
NR872--MA0690.1.TBX21	chr18	56810051	56810060	-	0.000	0.000	Merged-chr18-56810000-44
NR994--MA0690.1.TBX21	chr2	32181496	32181505	-	0.000	0.000	Merged-chr2-32181600-13
NR909--MA0690.1.TBX21	chr18	84911756	84911765	+	0.000	0.000	Merged-chr18-84911932-15
NR978--MA0690.1.TBX21	chr2	22722054	22722063	+	0.000	0.000	Merged-chr2-22721936-56
NR819--MA0690.1.TBX21	chr17	70942883	70942892	+	0.000	0.000	Merged-chr17-70942808-10
NR113--MA0690.1.TBX21	chr1	151167946	151167955	-	0.000	0.000	Merged-chr1-151167792-22
NR758--MA0690.1.TBX21	chr16	92443875	92443884	+	0.000	0.000	Merged-chr16-92443749-37
NR1803--MA0690.1.TBX21	chr7	142967355	142967364	+	0.000	0.000	Merged-chr7-142967366-1
