#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR65398--MA0741.1.KLF16	chr8	125725408	125725418	-	0.000	0.000	Merged-chr8-125725496-61
NR8105--MA0599.1.KLF5	chr10	93326907	93326916	+	0.000	0.000	Merged-chr10-93326815-10
NR1568--MA0742.1.Klf12	chr1	75213259	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR27002--MA0742.1.Klf12	chr16	59459634	59459648	-	0.000	0.000	Merged-chr16-59459484-51
NR4665--MA0741.1.KLF16	chr1	184013533	184013543	-	0.000	0.000	Merged-chr1-184013369-24
NR52481--MA0039.3.KLF4	chr5	118465215	118465225	-	0.000	0.000	Merged-chr5-118465239-56
NR69586--MA1107.1.KLF9	chrX	162868475	162868487	+	0.000	0.000	Merged-chrX-162868446-21
NR27098--MA0740.1.KLF14	chr16	64800651	64800664	+	0.000	0.000	Merged-chr16-64800516-42
NR15700--MA0742.1.Klf12	chr12	115165685	115165699	+	0.000	0.000	Merged-chr12-115165730-55
NR13545--MA0493.1.Klf1	chr12	25216881	25216891	-	0.000	0.000	Merged-chr12-25216883-29
NR52486--MA0039.3.KLF4	chr5	118465283	118465293	-	0.000	0.000	Merged-chr5-118465239-56
NR58695--MA0493.1.Klf1	chr7	25155909	25155919	+	0.000	0.000	Merged-chr7-25155994-40
NR30585--MA0741.1.KLF16	chr17	73869465	73869475	+	0.000	0.000	Merged-chr17-73869364-53
NR50214--MA0599.1.KLF5	chr5	34196742	34196751	-	0.000	0.000	Merged-chr5-34196616-50
