#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR1654--MA0690.1.TBX21	chr9	96795474	96795483	-	0.000	0.000	Merged-chr9-96795589-33
NR1572--MA0690.1.TBX21	chr8	104436018	104436027	+	0.000	0.000	Merged-chr8-104435914-60
NR1508--MA0690.1.TBX21	chr7	128062708	128062717	-	0.000	0.000	Merged-chr7-128062681-13
NR1598--MA0690.1.TBX21	chr8	128645678	128645687	+	0.000	0.000	Merged-chr8-128645718-31
NR1046--MA0690.1.TBX21	chr3	87523983	87523992	-	0.000	0.000	Merged-chr3-87523933-20
NR1418--MA0690.1.TBX21	chr6	146434347	146434356	+	0.000	0.000	Merged-chr6-146434496-35
NR563--MA0690.1.TBX21	chr14	122187098	122187107	-	0.000	0.000	Merged-chr14-122187060-26
NR1628--MA0690.1.TBX21	chr9	73038855	73038864	-	0.000	0.000	Merged-chr9-73038955-2
NR847--MA0690.1.TBX21	chr2	4873020	4873029	+	0.000	0.000	Merged-chr2-4872960-25
NR698--MA0690.1.TBX21	chr16	91366823	91366832	-	0.000	0.000	Merged-chr16-91366873-55
NR303--MA0690.1.TBX21	chr12	17511235	17511244	+	0.000	0.000	Merged-chr12-17511273-48
NR154--MA0690.1.TBX21	chr10	19577814	19577823	+	0.000	0.000	Merged-chr10-19577648-1
NR1036--MA0690.1.TBX21	chr3	75930343	75930352	+	0.000	0.000	Merged-chr3-75930291-55
NR234--MA0690.1.TBX21	chr10	118884243	118884252	+	0.000	0.000	Merged-chr10-118884259-20
NR967--MA0690.1.TBX21	chr2	158719447	158719456	-	0.000	0.000	Merged-chr2-158719347-62
NR553--MA0690.1.TBX21	chr14	118124381	118124390	+	0.000	0.000	Merged-chr14-118124409-31
NR1483--MA0690.1.TBX21	chr7	90355559	90355568	+	0.000	0.000	Merged-chr7-90355618-52
NR1162--MA0690.1.TBX21	chr4	88692663	88692672	-	0.000	0.000	Merged-chr4-88692699-24
NR1473--MA0690.1.TBX21	chr7	79249797	79249806	+	0.000	0.000	Merged-chr7-79249720-34
NR671--MA0690.1.TBX21	chr16	45019136	45019145	+	0.000	0.000	Merged-chr16-45019020-28
NR846--MA0690.1.TBX21	chr2	4872916	4872925	+	0.000	0.000	Merged-chr2-4872960-25
NR1064--MA0690.1.TBX21	chr3	115758852	115758861	+	0.000	0.000	Merged-chr3-115758930-94
NR1444--MA0690.1.TBX21	chr7	25647993	25648002	+	0.000	0.000	Merged-chr7-25647877-43
NR1566--MA0690.1.TBX21	chr8	83758531	83758540	-	0.000	0.000	Merged-chr8-83758454-33
NR363--MA0690.1.TBX21	chr12	114299879	114299888	-	0.000	0.000	Merged-chr12-114300093-52
NR103--MA0690.1.TBX21	chr1	153085298	153085307	+	0.000	0.000	Merged-chr1-153085366-59
NR1659--MA0690.1.TBX21	chr9	107334440	107334449	-	0.000	0.000	Merged-chr9-107334469-86
NR355--MA0690.1.TBX21	chr12	99564864	99564873	-	0.000	0.000	Merged-chr12-99564769-43
NR469--MA0690.1.TBX21	chr13	108303537	108303546	-	0.000	0.000	Merged-chr13-108303499-73
NR557--MA0690.1.TBX21	chr14	120313615	120313624	-	0.000	0.000	Merged-chr14-120313531-118
NR1124--MA0690.1.TBX21	chr4	32423924	32423933	+	0.000	0.000	Merged-chr4-32423825-17
NR1347--MA0690.1.TBX21	chr6	52965720	52965729	-	0.000	0.000	Merged-chr6-52965594-53
NR803--MA0690.1.TBX21	chr18	62125525	62125534	-	0.000	0.000	Merged-chr18-62125570-18
NR1339--MA0690.1.TBX21	chr6	38810275	38810284	+	0.000	0.000	Merged-chr6-38810070-95
NR763--MA0690.1.TBX21	chr17	83846388	83846397	-	0.000	0.000	Merged-chr17-83846499-25
NR455--MA0690.1.TBX21	chr13	101533205	101533214	+	0.000	0.000	Merged-chr13-101533206-46
NR1597--MA0690.1.TBX21	chr8	128645666	128645675	+	0.000	0.000	Merged-chr8-128645718-31
NR699--MA0690.1.TBX21	chr16	91780976	91780985	+	0.000	0.000	Merged-chr16-91781071-63
NR665--MA0690.1.TBX21	chr16	33687791	33687800	+	0.000	0.000	Merged-chr16-33687969-54
NR100--MA0690.1.TBX21	chr1	143985370	143985379	-	0.000	0.000	Merged-chr1-143985220-17
NR235--MA0690.1.TBX21	chr10	119031129	119031138	-	0.000	0.000	Merged-chr10-119031155-35
NR838--MA0690.1.TBX21	chr19	41874397	41874406	-	0.000	0.000	Merged-chr19-41874574-30
