#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1750--MA0037.3.GATA3	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR5205--MA0035.3.Gata1	chr2	22721880	22721890	+	0.000	0.000	Merged-chr2-22721936-56
NR6540--MA0766.1.GATA5	chr3	146127390	146127397	-	0.000	0.000	Merged-chr3-146127552-12
NR1877--MA0037.3.GATA3	chr12	25013045	25013052	-	0.000	0.000	Merged-chr12-25013214-16
NR8935--MA0036.3.GATA2	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR7567--MA0482.1.Gata4	chr5	71903684	71903694	+	0.000	0.000	Merged-chr5-71903621-28
NR1880--MA0036.3.GATA2	chr12	25013044	25013054	+	0.000	0.000	Merged-chr12-25013214-16
NR4000--MA0482.1.Gata4	chr16	57319937	57319947	-	0.000	0.000	Merged-chr16-57319907-20
NR6541--MA0035.3.Gata1	chr3	146127389	146127399	+	0.000	0.000	Merged-chr3-146127552-12
NR4757--MA0035.3.Gata1	chr18	46013366	46013376	-	0.000	0.000	Merged-chr18-46013388-48
NR9941--MA0766.1.GATA5	chrX	166329313	166329320	-	0.000	0.000	Merged-chrX-166329162-24
NR7571--MA0035.3.Gata1	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR4001--MA1104.1.GATA6	chr16	57319937	57319949	+	0.000	0.000	Merged-chr16-57319907-20
NR2142--MA0482.1.Gata4	chr12	83929661	83929671	-	0.000	0.000	Merged-chr12-83929616-29
NR2145--MA0035.3.Gata1	chr12	83929662	83929672	-	0.000	0.000	Merged-chr12-83929616-29
NR262--MA0482.1.Gata4	chr1	66987717	66987727	+	0.000	0.000	Merged-chr1-66987794-41
NR3604--MA0140.2.GATA1::TAL1	chr15	49671377	49671394	-	0.000	0.000	Merged-chr15-49671464-12
NR2143--MA1104.1.GATA6	chr12	83929661	83929673	+	0.000	0.000	Merged-chr12-83929616-29
NR9484--MA0766.1.GATA5	chr9	13536930	13536937	+	0.000	0.000	Merged-chr9-13536890-20
NR1753--MA0036.3.GATA2	chr11	106057069	106057079	+	0.000	0.000	Merged-chr11-106057103-42
NR4631--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR5142--MA0482.1.Gata4	chr2	13132683	13132693	-	0.000	0.000	Merged-chr2-13132891-60
NR9896--MA0482.1.Gata4	chrX	114474360	114474370	-	0.000	0.000	Merged-chrX-114474330-36
NR7762--MA0140.2.GATA1::TAL1	chr5	140208921	140208938	-	0.000	0.000	Merged-chr5-140208912-49
NR9766--MA0482.1.Gata4	chr9	112174907	112174917	-	0.000	0.000	Merged-chr9-112174843-101
NR7210--MA0766.1.GATA5	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR9897--MA1104.1.GATA6	chrX	114474360	114474372	+	0.000	0.000	Merged-chrX-114474330-36
NR8602--MA0035.3.Gata1	chr7	12987629	12987639	-	0.000	0.000	Merged-chr7-12987633-12
NR7717--MA0766.1.GATA5	chr5	129524686	129524693	+	0.000	0.000	Merged-chr5-129524684-34
NR9344--MA0766.1.GATA5	chr8	107164414	107164421	-	0.000	0.000	Merged-chr8-107164486-19
NR9838--MA0482.1.Gata4	chrX	17590884	17590894	+	0.000	0.000	Merged-chrX-17590800-11
NR4633--MA0766.1.GATA5	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR2786--MA0036.3.GATA2	chr13	90886326	90886336	-	0.000	0.000	Merged-chr13-90886172-1
NR133--MA0482.1.Gata4	chr1	35653567	35653577	-	0.000	0.000	Merged-chr1-35653441-55
NR266--MA0035.3.Gata1	chr1	66987716	66987726	+	0.000	0.000	Merged-chr1-66987794-41
NR8599--MA0037.3.GATA3	chr7	12987631	12987638	+	0.000	0.000	Merged-chr7-12987633-12
NR8609--MA0766.1.GATA5	chr7	19093680	19093687	-	0.000	0.000	Merged-chr7-19093740-100
NR9895--MA0037.3.GATA3	chrX	114474363	114474370	+	0.000	0.000	Merged-chrX-114474330-36
NR8936--MA0766.1.GATA5	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR4957--MA0766.1.GATA5	chr18	75419639	75419646	+	0.000	0.000	Merged-chr18-75419579-57
NR1881--MA0766.1.GATA5	chr12	25013045	25013052	-	0.000	0.000	Merged-chr12-25013214-16
NR6524--MA0140.2.GATA1::TAL1	chr3	144261073	144261090	-	0.000	0.000	Merged-chr3-144261016-37
NR364--MA0766.1.GATA5	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR4002--MA0036.3.GATA2	chr16	57319938	57319948	-	0.000	0.000	Merged-chr16-57319907-20
