#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tbx21/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR1654--MA0690.1.TBX21	chr9	96795474	96795483	-	0.000	0.000	Merged-chr9-96795589-33
NR1612--MA0690.1.TBX21	chr9	27023912	27023921	-	0.000	0.000	Merged-chr9-27023866-37
NR1572--MA0690.1.TBX21	chr8	104436018	104436027	+	0.000	0.000	Merged-chr8-104435914-60
NR1062--MA0690.1.TBX21	chr3	115692527	115692536	-	0.000	0.000	Merged-chr3-115692552-34
NR1598--MA0690.1.TBX21	chr8	128645678	128645687	+	0.000	0.000	Merged-chr8-128645718-31
NR1673--MA0690.1.TBX21	chr9	124039156	124039165	+	0.000	0.000	Merged-chr9-124039143-13
NR892--MA0690.1.TBX21	chr2	68430657	68430666	+	0.000	0.000	Merged-chr2-68430660-54
NR1046--MA0690.1.TBX21	chr3	87523983	87523992	-	0.000	0.000	Merged-chr3-87523933-20
NR1418--MA0690.1.TBX21	chr6	146434347	146434356	+	0.000	0.000	Merged-chr6-146434496-35
NR563--MA0690.1.TBX21	chr14	122187098	122187107	-	0.000	0.000	Merged-chr14-122187060-26
NR1628--MA0690.1.TBX21	chr9	73038855	73038864	-	0.000	0.000	Merged-chr9-73038955-2
NR847--MA0690.1.TBX21	chr2	4873020	4873029	+	0.000	0.000	Merged-chr2-4872960-25
NR698--MA0690.1.TBX21	chr16	91366823	91366832	-	0.000	0.000	Merged-chr16-91366873-55
NR154--MA0690.1.TBX21	chr10	19577814	19577823	+	0.000	0.000	Merged-chr10-19577648-1
NR234--MA0690.1.TBX21	chr10	118884243	118884252	+	0.000	0.000	Merged-chr10-118884259-20
NR967--MA0690.1.TBX21	chr2	158719447	158719456	-	0.000	0.000	Merged-chr2-158719347-62
NR282--MA0690.1.TBX21	chr11	83640445	83640454	-	0.000	0.000	Merged-chr11-83640282-44
NR553--MA0690.1.TBX21	chr14	118124381	118124390	+	0.000	0.000	Merged-chr14-118124409-31
NR295--MA0690.1.TBX21	chr11	119166039	119166048	+	0.000	0.000	Merged-chr11-119166198-51
NR638--MA0690.1.TBX21	chr15	98934148	98934157	+	0.000	0.000	Merged-chr15-98934343-98
NR1162--MA0690.1.TBX21	chr4	88692663	88692672	-	0.000	0.000	Merged-chr4-88692699-24
NR671--MA0690.1.TBX21	chr16	45019136	45019145	+	0.000	0.000	Merged-chr16-45019020-28
NR846--MA0690.1.TBX21	chr2	4872916	4872925	+	0.000	0.000	Merged-chr2-4872960-25
NR1064--MA0690.1.TBX21	chr3	115758852	115758861	+	0.000	0.000	Merged-chr3-115758930-94
NR1444--MA0690.1.TBX21	chr7	25647993	25648002	+	0.000	0.000	Merged-chr7-25647877-43
NR1566--MA0690.1.TBX21	chr8	83758531	83758540	-	0.000	0.000	Merged-chr8-83758454-33
NR1035--MA0690.1.TBX21	chr3	75499429	75499438	-	0.000	0.000	Merged-chr3-75499335-90
NR1396--MA0690.1.TBX21	chr6	120193466	120193475	-	0.000	0.000	Merged-chr6-120193432-39
NR363--MA0690.1.TBX21	chr12	114299879	114299888	-	0.000	0.000	Merged-chr12-114300093-52
NR246--MA0690.1.TBX21	chr10	127141730	127141739	+	0.000	0.000	Merged-chr10-127141602-99
NR103--MA0690.1.TBX21	chr1	153085298	153085307	+	0.000	0.000	Merged-chr1-153085366-59
NR618--MA0690.1.TBX21	chr15	66445455	66445464	+	0.000	0.000	Merged-chr15-66445527-47
NR469--MA0690.1.TBX21	chr13	108303537	108303546	-	0.000	0.000	Merged-chr13-108303499-73
NR339--MA0690.1.TBX21	chr12	65065320	65065329	-	0.000	0.000	Merged-chr12-65065515-53
NR299--MA0690.1.TBX21	chr12	3524421	3524430	+	0.000	0.000	Merged-chr12-3524419-17
NR1623--MA0690.1.TBX21	chr9	63719930	63719939	-	0.000	0.000	Merged-chr9-63720041-13
NR1512--MA0690.1.TBX21	chr7	135605221	135605230	-	0.000	0.000	Merged-chr7-135605308-40
NR1347--MA0690.1.TBX21	chr6	52965720	52965729	-	0.000	0.000	Merged-chr6-52965594-53
NR784--MA0690.1.TBX21	chr18	38365028	38365037	-	0.000	0.000	Merged-chr18-38365063-36
NR1130--MA0690.1.TBX21	chr4	40781322	40781331	-	0.000	0.000	Merged-chr4-40781341-5
NR763--MA0690.1.TBX21	chr17	83846388	83846397	-	0.000	0.000	Merged-chr17-83846499-25
NR503--MA0690.1.TBX21	chr14	25560043	25560052	+	0.000	0.000	Merged-chr14-25560139-23
NR1419--MA0690.1.TBX21	chr6	146725119	146725128	+	0.000	0.000	Merged-chr6-146725139-81
NR1597--MA0690.1.TBX21	chr8	128645666	128645675	+	0.000	0.000	Merged-chr8-128645718-31
NR699--MA0690.1.TBX21	chr16	91780976	91780985	+	0.000	0.000	Merged-chr16-91781071-63
NR100--MA0690.1.TBX21	chr1	143985370	143985379	-	0.000	0.000	Merged-chr1-143985220-17
NR838--MA0690.1.TBX21	chr19	41874397	41874406	-	0.000	0.000	Merged-chr19-41874574-30
