#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR2077--MA0768.1.LEF1	chr5	100875851	100875865	-	0.000	0.000	Merged-chr5-100875815-38
NR356--MA0768.1.LEF1	chr10	120193465	120193479	+	0.000	0.000	Merged-chr10-120193454-50
NR253--MA0768.1.LEF1	chr10	44821926	44821940	+	0.000	0.000	Merged-chr10-44821803-43
NR276--MA0768.1.LEF1	chr10	61306349	61306363	+	0.000	0.000	Merged-chr10-61306308-35
NR1289--MA0768.1.LEF1	chr18	82607534	82607548	+	0.000	0.000	Merged-chr18-82607647-23
NR966--MA0768.1.LEF1	chr15	98623374	98623388	-	0.000	0.000	Merged-chr15-98623504-45
NR1424--MA0768.1.LEF1	chr2	48328421	48328435	-	0.000	0.000	Merged-chr2-48328415-44
NR2528--MA0768.1.LEF1	chr8	83779698	83779712	-	0.000	0.000	Merged-chr8-83779707-23
NR2121--MA0768.1.LEF1	chr5	137857125	137857139	+	0.000	0.000	Merged-chr5-137857044-20
NR2073--MA0768.1.LEF1	chr5	100526268	100526282	-	0.000	0.000	Merged-chr5-100526478-48
NR1888--MA0768.1.LEF1	chr4	88010644	88010658	-	0.000	0.000	Merged-chr4-88010715-29
NR1333--MA0768.1.LEF1	chr19	33081781	33081795	-	0.000	0.000	Merged-chr19-33081699-35
NR2553--MA0768.1.LEF1	chr8	115188725	115188739	-	0.000	0.000	Merged-chr8-115188643-43
NR795--MA0768.1.LEF1	chr14	54061806	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR1383--MA0768.1.LEF1	chr2	11617019	11617033	+	0.000	0.000	Merged-chr2-11617013-39
NR254--MA0768.1.LEF1	chr10	44821970	44821984	-	0.000	0.000	Merged-chr10-44821803-43
NR828--MA0768.1.LEF1	chr14	78687933	78687947	-	0.000	0.000	Merged-chr14-78687892-42
NR1550--MA0768.1.LEF1	chr2	127923292	127923306	-	0.000	0.000	Merged-chr2-127923410-36
NR871--MA0768.1.LEF1	chr14	122290588	122290602	+	0.000	0.000	Merged-chr14-122290582-19
NR415--MA0768.1.LEF1	chr11	73094444	73094458	+	0.000	0.000	Merged-chr11-73094317-1
NR1903--MA0768.1.LEF1	chr4	101176525	101176539	+	0.000	0.000	Merged-chr4-101176356-14
NR2394--MA0768.1.LEF1	chr7	98797475	98797489	-	0.000	0.000	Merged-chr7-98797577-28
NR1305--MA0768.1.LEF1	chr19	10698522	10698536	-	0.000	0.000	Merged-chr19-10698600-31
NR2086--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR1471--MA0768.1.LEF1	chr2	72282907	72282921	+	0.000	0.000	Merged-chr2-72282934-17
NR230--MA0768.1.LEF1	chr10	19504574	19504588	+	0.000	0.000	Merged-chr10-19504569-39
NR132--MA0768.1.LEF1	chr1	143466098	143466112	+	0.000	0.000	Merged-chr1-143466091-51
NR1047--MA0768.1.LEF1	chr16	58546298	58546312	+	0.000	0.000	Merged-chr16-58546287-56
NR774--MA0768.1.LEF1	chr14	36316954	36316968	-	0.000	0.000	Merged-chr14-36316941-55
NR1102--MA0768.1.LEF1	chr17	12727941	12727955	+	0.000	0.000	Merged-chr17-12727995-27
NR2210--MA0768.1.LEF1	chr6	82744605	82744619	+	0.000	0.000	Merged-chr6-82744737-54
NR1009--MA0768.1.LEF1	chr16	33053356	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR1139--MA0768.1.LEF1	chr17	48318939	48318953	+	0.000	0.000	Merged-chr17-48318964-29
NR2037--MA0768.1.LEF1	chr5	73236881	73236895	+	0.000	0.000	Merged-chr5-73237054-48
NR1077--MA0768.1.LEF1	chr16	92743981	92743995	+	0.000	0.000	Merged-chr16-92743989-33
NR736--MA0768.1.LEF1	chr13	117051689	117051703	+	0.000	0.000	Merged-chr13-117051602-40
NR2512--MA0768.1.LEF1	chr8	72291253	72291267	+	0.000	0.000	Merged-chr8-72291225-23
NR430--MA0768.1.LEF1	chr11	93995373	93995387	+	0.000	0.000	Merged-chr11-93995310-5
NR896--MA0768.1.LEF1	chr15	31440134	31440148	-	0.000	0.000	Merged-chr15-31440136-19
NR337--MA0768.1.LEF1	chr10	109115278	109115292	-	0.000	0.000	Merged-chr10-109115316-22
NR1238--MA0768.1.LEF1	chr18	56447167	56447181	+	0.000	0.000	Merged-chr18-56447278-50
NR1941--MA0768.1.LEF1	chr4	138089686	138089700	+	0.000	0.000	Merged-chr4-138089649-31
NR2458--MA0768.1.LEF1	chr7	140947310	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR918--MA0768.1.LEF1	chr15	52753837	52753851	+	0.000	0.000	Merged-chr15-52753697-52
NR184--MA0768.1.LEF1	chr1	180390378	180390392	-	0.000	0.000	Merged-chr1-180390562-55
NR1873--MA0768.1.LEF1	chr4	59214806	59214820	-	0.000	0.000	Merged-chr4-59214886-25
