#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR59572--MA0741.1.KLF16	chr7	78583833	78583843	-	0.000	0.000	Merged-chr7-78583930-15
NR22895--MA0741.1.KLF16	chr15	64382594	64382604	+	0.000	0.000	Merged-chr15-64382690-41
NR1538--MA0599.1.KLF5	chr1	89070348	89070357	+	0.000	0.000	Merged-chr1-89070221-114
NR1533--MA0493.1.Klf1	chr1	89070177	89070187	+	0.000	0.000	Merged-chr1-89070221-114
NR15500--MA0741.1.KLF16	chr12	108275432	108275442	+	0.000	0.000	Merged-chr12-108275445-64
NR25157--MA0599.1.KLF5	chr16	21204698	21204707	-	0.000	0.000	Merged-chr16-21204669-33
NR50040--MA0493.1.Klf1	chr5	86783215	86783225	+	0.000	0.000	Merged-chr5-86783243-43
NR47998--MA0740.1.KLF14	chr4	150087349	150087362	-	0.000	0.000	Merged-chr4-150087480-81
NR59182--MA0493.1.Klf1	chr7	52005846	52005856	+	0.000	0.000	Merged-chr7-52005667-2
NR22619--MA0741.1.KLF16	chr15	55906998	55907008	+	0.000	0.000	Merged-chr15-55906885-1
NR23896--MA0741.1.KLF16	chr15	89498796	89498806	+	0.000	0.000	Merged-chr15-89498857-24
NR15499--MA0493.1.Klf1	chr12	108275431	108275441	+	0.000	0.000	Merged-chr12-108275445-64
NR57555--MA0741.1.KLF16	chr7	3290416	3290426	-	0.000	0.000	Merged-chr7-3290343-35
NR59121--MA0599.1.KLF5	chr7	49246034	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR65319--MA0039.3.KLF4	chr8	125558864	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR12230--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR61127--MA0493.1.Klf1	chr7	125186708	125186718	-	0.000	0.000	Merged-chr7-125186656-23
NR65400--MA0741.1.KLF16	chr8	126536325	126536335	+	0.000	0.000	Merged-chr8-126536353-14
NR5412--MA0741.1.KLF16	chr10	34207259	34207269	-	0.000	0.000	Merged-chr10-34207023-88
NR54218--MA0740.1.KLF14	chr6	53709833	53709846	-	0.000	0.000	Merged-chr6-53709881-31
NR59120--MA0742.1.Klf12	chr7	49246033	49246047	+	0.000	0.000	Merged-chr7-49246156-57
NR54219--MA0657.1.KLF13	chr6	53709830	53709847	-	0.000	0.000	Merged-chr6-53709881-31
NR15501--MA1107.1.KLF9	chr12	108275431	108275443	+	0.000	0.000	Merged-chr12-108275445-64
NR41023--MA0493.1.Klf1	chr3	79451644	79451654	-	0.000	0.000	Merged-chr3-79451498-29
NR42906--MA0741.1.KLF16	chr3	132928122	132928132	-	0.000	0.000	Merged-chr3-132927951-20
NR41073--MA0599.1.KLF5	chr3	81835918	81835927	-	0.000	0.000	Merged-chr3-81835793-30
NR23049--MA0599.1.KLF5	chr15	74538494	74538503	-	0.000	0.000	Merged-chr15-74538442-18
NR19399--MA0741.1.KLF16	chr14	7791692	7791702	+	0.000	0.000	Merged-chr14-7791631-72
NR1539--MA0493.1.Klf1	chr1	89070318	89070328	+	0.000	0.000	Merged-chr1-89070221-114
NR23894--MA0740.1.KLF14	chr15	89498795	89498808	+	0.000	0.000	Merged-chr15-89498857-24
NR47999--MA0599.1.KLF5	chr4	150087352	150087361	-	0.000	0.000	Merged-chr4-150087480-81
NR19398--MA0493.1.Klf1	chr14	7791559	7791569	+	0.000	0.000	Merged-chr14-7791631-72
NR52592--MA0039.3.KLF4	chr5	140871490	140871500	+	0.000	0.000	Merged-chr5-140871418-38
NR23048--MA0742.1.Klf12	chr15	74538490	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR41024--MA0741.1.KLF16	chr3	79451643	79451653	-	0.000	0.000	Merged-chr3-79451498-29
NR59122--MA0493.1.Klf1	chr7	49246033	49246043	+	0.000	0.000	Merged-chr7-49246156-57
NR65398--MA0599.1.KLF5	chr8	126536325	126536334	+	0.000	0.000	Merged-chr8-126536353-14
NR1205--MA0039.3.KLF4	chr1	74570563	74570573	+	0.000	0.000	Merged-chr1-74570528-25
NR23047--MA0740.1.KLF14	chr15	74538491	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR25156--MA0493.1.Klf1	chr16	21204597	21204607	-	0.000	0.000	Merged-chr16-21204669-33
NR10329--MA0039.3.KLF4	chr11	66905994	66906004	+	0.000	0.000	Merged-chr11-66906049-23
NR15504--MA0741.1.KLF16	chr12	108275477	108275487	+	0.000	0.000	Merged-chr12-108275445-64
NR54465--MA0742.1.Klf12	chr6	71322741	71322755	+	0.000	0.000	Merged-chr6-71322825-41
NR41077--MA0741.1.KLF16	chr3	81835984	81835994	-	0.000	0.000	Merged-chr3-81835793-30
NR50039--MA0039.3.KLF4	chr5	86783217	86783227	+	0.000	0.000	Merged-chr5-86783243-43
NR2694--MA0039.3.KLF4	chr1	151236860	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR15639--MA0741.1.KLF16	chr12	110381480	110381490	+	0.000	0.000	Merged-chr12-110381552-59
NR31230--MA1107.1.KLF9	chr18	61622348	61622360	+	0.000	0.000	Merged-chr18-61622282-13
NR15638--MA0599.1.KLF5	chr12	110381480	110381489	+	0.000	0.000	Merged-chr12-110381552-59
NR59124--MA1107.1.KLF9	chr7	49246033	49246045	+	0.000	0.000	Merged-chr7-49246156-57
NR54464--MA0740.1.KLF14	chr6	71322741	71322754	+	0.000	0.000	Merged-chr6-71322825-41
NR47666--MA0741.1.KLF16	chr4	145342060	145342070	+	0.000	0.000	Merged-chr4-145342099-62
NR23051--MA0741.1.KLF16	chr15	74538493	74538503	-	0.000	0.000	Merged-chr15-74538442-18
NR65318--MA0740.1.KLF14	chr8	125558862	125558875	+	0.000	0.000	Merged-chr8-125558804-33
NR50038--MA0599.1.KLF5	chr5	86783216	86783225	+	0.000	0.000	Merged-chr5-86783243-43
NR1283--MA0741.1.KLF16	chr1	78422501	78422511	+	0.000	0.000	Merged-chr1-78422740-38
NR17979--MA1107.1.KLF9	chr13	92722554	92722566	-	0.000	0.000	Merged-chr13-92722597-29
NR42902--MA0740.1.KLF14	chr3	132928112	132928125	-	0.000	0.000	Merged-chr3-132927951-20
NR15711--MA0599.1.KLF5	chr12	111406901	111406910	+	0.000	0.000	Merged-chr12-111406868-16
NR15710--MA0657.1.KLF13	chr12	111406893	111406910	+	0.000	0.000	Merged-chr12-111406868-16
NR15503--MA0742.1.Klf12	chr12	108275476	108275490	+	0.000	0.000	Merged-chr12-108275445-64
NR59123--MA0741.1.KLF16	chr7	49246034	49246044	+	0.000	0.000	Merged-chr7-49246156-57
NR41022--MA0599.1.KLF5	chr3	79451644	79451653	-	0.000	0.000	Merged-chr3-79451498-29
NR67968--MA0741.1.KLF16	chr9	96545557	96545567	+	0.000	0.000	Merged-chr9-96545653-10
NR15497--MA0742.1.Klf12	chr12	108275431	108275445	+	0.000	0.000	Merged-chr12-108275445-64
NR42905--MA0741.1.KLF16	chr3	132928114	132928124	-	0.000	0.000	Merged-chr3-132927951-20
NR57553--MA0742.1.Klf12	chr7	3290413	3290427	-	0.000	0.000	Merged-chr7-3290343-35
NR54466--MA0599.1.KLF5	chr6	71322742	71322751	+	0.000	0.000	Merged-chr6-71322825-41
NR23659--MA0741.1.KLF16	chr15	84168813	84168823	-	0.000	0.000	Merged-chr15-84168860-11
NR12701--MA1107.1.KLF9	chr11	114219832	114219844	+	0.000	0.000	Merged-chr11-114219775-1
NR59180--MA0742.1.Klf12	chr7	52005846	52005860	+	0.000	0.000	Merged-chr7-52005667-2
NR4006--MA0599.1.KLF5	chr1	182764154	182764163	+	0.000	0.000	Merged-chr1-182764155-66
NR15502--MA0740.1.KLF14	chr12	108275476	108275489	+	0.000	0.000	Merged-chr12-108275445-64
NR1532--MA0039.3.KLF4	chr1	89070174	89070184	+	0.000	0.000	Merged-chr1-89070221-114
NR15496--MA0740.1.KLF14	chr12	108275431	108275444	+	0.000	0.000	Merged-chr12-108275445-64
NR23895--MA0599.1.KLF5	chr15	89498796	89498805	+	0.000	0.000	Merged-chr15-89498857-24
NR65399--MA0493.1.Klf1	chr8	126536324	126536334	+	0.000	0.000	Merged-chr8-126536353-14
NR2695--MA1107.1.KLF9	chr1	151236858	151236870	+	0.000	0.000	Merged-chr1-151236737-36
NR42903--MA0599.1.KLF5	chr3	132928115	132928124	-	0.000	0.000	Merged-chr3-132927951-20
NR31231--MA1107.1.KLF9	chr18	61622350	61622362	+	0.000	0.000	Merged-chr18-61622282-13
NR1531--MA0599.1.KLF5	chr1	89070178	89070187	+	0.000	0.000	Merged-chr1-89070221-114
NR48001--MA0599.1.KLF5	chr4	150087365	150087374	-	0.000	0.000	Merged-chr4-150087480-81
NR12699--MA0741.1.KLF16	chr11	114219809	114219819	+	0.000	0.000	Merged-chr11-114219775-1
NR23050--MA0493.1.Klf1	chr15	74538494	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR1281--MA0740.1.KLF14	chr1	78422500	78422513	+	0.000	0.000	Merged-chr1-78422740-38
NR22333--MA0599.1.KLF5	chr15	36474811	36474820	+	0.000	0.000	Merged-chr15-36474869-12
NR41075--MA0493.1.Klf1	chr3	81835918	81835928	-	0.000	0.000	Merged-chr3-81835793-30
NR25159--MA0741.1.KLF16	chr16	21204697	21204707	-	0.000	0.000	Merged-chr16-21204669-33
NR15712--MA0599.1.KLF5	chr12	111406906	111406915	+	0.000	0.000	Merged-chr12-111406868-16
NR50128--MA0741.1.KLF16	chr5	89882216	89882226	-	0.000	0.000	Merged-chr5-89882343-19
NR41076--MA0741.1.KLF16	chr3	81835917	81835927	-	0.000	0.000	Merged-chr3-81835793-30
NR47665--MA0599.1.KLF5	chr4	145342060	145342069	+	0.000	0.000	Merged-chr4-145342099-62
NR54468--MA0741.1.KLF16	chr6	71322742	71322752	+	0.000	0.000	Merged-chr6-71322825-41
NR1282--MA0493.1.Klf1	chr1	78422500	78422510	+	0.000	0.000	Merged-chr1-78422740-38
NR15713--MA0741.1.KLF16	chr12	111406895	111406905	+	0.000	0.000	Merged-chr12-111406868-16
NR44096--MA0599.1.KLF5	chr4	6941241	6941250	+	0.000	0.000	Merged-chr4-6941109-33
NR59118--MA0740.1.KLF14	chr7	49246033	49246046	+	0.000	0.000	Merged-chr7-49246156-57
NR41177--MA0741.1.KLF16	chr3	86915462	86915472	-	0.000	0.000	Merged-chr3-86915418-7
NR50035--MA0740.1.KLF14	chr5	86783215	86783228	+	0.000	0.000	Merged-chr5-86783243-43
NR12698--MA0493.1.Klf1	chr11	114219808	114219818	+	0.000	0.000	Merged-chr11-114219775-1
NR23052--MA1107.1.KLF9	chr15	74538492	74538504	-	0.000	0.000	Merged-chr15-74538442-18
NR12697--MA0039.3.KLF4	chr11	114219810	114219820	+	0.000	0.000	Merged-chr11-114219775-1
NR59119--MA0657.1.KLF13	chr7	49246032	49246049	+	0.000	0.000	Merged-chr7-49246156-57
NR33686--MA0740.1.KLF14	chr19	44078470	44078483	+	0.000	0.000	Merged-chr19-44078434-18
NR50036--MA0657.1.KLF13	chr5	86783214	86783231	+	0.000	0.000	Merged-chr5-86783243-43
NR22903--MA0742.1.Klf12	chr15	66285835	66285849	-	0.000	0.000	Merged-chr15-66285886-5
NR54467--MA0493.1.Klf1	chr6	71322741	71322751	+	0.000	0.000	Merged-chr6-71322825-41
NR57554--MA0599.1.KLF5	chr7	3290417	3290426	-	0.000	0.000	Merged-chr7-3290343-35
