#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR1663--MA0768.1.LEF1	chr3	55660081	55660095	+	0.000	0.000	Merged-chr3-55660012-44
NR1202--MA0768.1.LEF1	chr18	12876590	12876604	+	0.000	0.000	Merged-chr18-12876665-8
NR431--MA0768.1.LEF1	chr11	96058765	96058779	+	0.000	0.000	Merged-chr11-96058605-21
NR888--MA0768.1.LEF1	chr15	18952128	18952142	+	0.000	0.000	Merged-chr15-18951851-25
NR2539--MA0768.1.LEF1	chr8	104416244	104416258	+	0.000	0.000	Merged-chr8-104416222-18
NR1252--MA0768.1.LEF1	chr18	65016104	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR2557--MA0768.1.LEF1	chr8	123404745	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR123--MA0768.1.LEF1	chr1	135807883	135807897	-	0.000	0.000	Merged-chr1-135807785-37
NR1060--MA0768.1.LEF1	chr16	84982743	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR1714--MA0768.1.LEF1	chr3	97274117	97274131	+	0.000	0.000	Merged-chr3-97274158-19
NR1074--MA0768.1.LEF1	chr16	91413339	91413353	+	0.000	0.000	Merged-chr16-91413429-37
NR2379--MA0768.1.LEF1	chr7	84143203	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR2164--MA0768.1.LEF1	chr6	34939572	34939586	-	0.000	0.000	Merged-chr6-34939585-12
NR1401--MA0768.1.LEF1	chr2	32181551	32181565	-	0.000	0.000	Merged-chr2-32181600-13
