#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_dn.bed
NR1927--MA0523.1.TCF7L2	chr15	9533555	9533568	+	0.000	0.000	Merged-chr15-9533546-44
NR1405--MA0769.1.Tcf7	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR2330--MA0769.1.Tcf7	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR1030--MA0769.1.Tcf7	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR2329--MA0523.1.TCF7L2	chr16	95869617	95869630	+	0.000	0.000	Merged-chr16-95869616-44
NR2595--MA0769.1.Tcf7	chr18	32543281	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR1029--MA1421.1.TCF7L1	chr11	103808700	103808711	-	0.000	0.000	Merged-chr11-103808730-15
NR3878--MA0523.1.TCF7L2	chr4	118406372	118406385	-	0.000	0.000	Merged-chr4-118406334-12
NR532--MA1421.1.TCF7L1	chr10	38884932	38884943	+	0.000	0.000	Merged-chr10-38884993-65
NR3435--MA0523.1.TCF7L2	chr3	86915476	86915489	+	0.000	0.000	Merged-chr3-86915418-7
NR5285--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR533--MA0523.1.TCF7L2	chr10	38884932	38884945	+	0.000	0.000	Merged-chr10-38884993-65
NR5448--MA0523.1.TCF7L2	chr9	72890935	72890948	-	0.000	0.000	Merged-chr9-72890879-25
NR2328--MA1421.1.TCF7L1	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR4470--MA1421.1.TCF7L1	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR1404--MA1421.1.TCF7L1	chr12	117679066	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR4471--MA0523.1.TCF7L2	chr6	84617254	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR2594--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR4294--MA0523.1.TCF7L2	chr5	140871436	140871449	-	0.000	0.000	Merged-chr5-140871418-38
NR3434--MA1421.1.TCF7L1	chr3	86915476	86915487	+	0.000	0.000	Merged-chr3-86915418-7
NR4472--MA0769.1.Tcf7	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
