#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR13720--MA0496.2.MAFK	chr8	83131933	83131951	-	0.000	0.000	Merged-chr8-83131891-13
NR7665--MA0495.2.MAFF	chr2	44953119	44953139	-	0.000	0.000	Merged-chr2-44953031-31
NR10931--MA0089.1.MAFG::NFE2L1	chr5	64336882	64336887	-	0.000	0.000	Merged-chr5-64336866-17
NR2645--MA0496.2.MAFK	chr11	96435095	96435113	+	0.000	0.000	Merged-chr11-96435210-8
NR11005--MA0089.1.MAFG::NFE2L1	chr5	86673094	86673099	-	0.000	0.000	Merged-chr5-86673072-6
NR1411--MA0501.1.MAF::NFE2	chr10	25140546	25140560	-	0.000	0.000	Merged-chr10-25140477-16
NR14193--MA0495.2.MAFF	chr9	34996151	34996171	+	0.000	0.000	Merged-chr9-34996088-18
NR12445--MA0659.1.MAFG	chr6	143132507	143132527	-	0.000	0.000	Merged-chr6-143132490-15
NR9720--MA0591.1.Bach1::Mafk	chr3	157884231	157884245	-	0.000	0.000	Merged-chr3-157884103-23
NR1577--MA0591.1.Bach1::Mafk	chr10	58383473	58383487	-	0.000	0.000	Merged-chr10-58383440-43
NR14871--MA0659.1.MAFG	chrX	53607939	53607959	-	0.000	0.000	Merged-chrX-53607978-28
NR5976--MA0501.1.MAF::NFE2	chr16	87725009	87725023	-	0.000	0.000	Merged-chr16-87725101-16
NR1578--MA0496.2.MAFK	chr10	58383471	58383489	+	0.000	0.000	Merged-chr10-58383440-43
NR3082--MA0089.1.MAFG::NFE2L1	chr12	69501882	69501887	+	0.000	0.000	Merged-chr12-69501974-43
NR3963--MA0591.1.Bach1::Mafk	chr13	81351670	81351684	-	0.000	0.000	Merged-chr13-81351650-43
NR3499--MA0089.1.MAFG::NFE2L1	chr12	117712719	117712724	-	0.000	0.000	Merged-chr12-117712681-21
NR8698--MA0501.1.MAF::NFE2	chr2	174566021	174566035	-	0.000	0.000	Merged-chr2-174566072-46
NR9865--MA0117.2.Mafb	chr4	41314273	41314284	+	0.000	0.000	Merged-chr4-41314225-1
NR8587--MA0501.1.MAF::NFE2	chr2	163132451	163132465	-	0.000	0.000	Merged-chr2-163132473-10
NR2618--MA0501.1.MAF::NFE2	chr11	90512646	90512660	-	0.000	0.000	Merged-chr11-90512841-45
NR361--MA0591.1.Bach1::Mafk	chr1	78644144	78644158	-	0.000	0.000	Merged-chr1-78644356-22
NR6278--MA0501.1.MAF::NFE2	chr17	32023267	32023281	-	0.000	0.000	Merged-chr17-32023327-13
NR3212--MA0496.2.MAFK	chr12	91604328	91604346	+	0.000	0.000	Merged-chr12-91604478-1
NR1395--MA0501.1.MAF::NFE2	chr10	21659615	21659629	+	0.000	0.000	Merged-chr10-21659696-16
NR7790--MA0089.1.MAFG::NFE2L1	chr2	61474866	61474871	+	0.000	0.000	Merged-chr2-61474781-19
NR14200--MA0117.2.Mafb	chr9	35007258	35007269	-	0.000	0.000	Merged-chr9-35007274-11
NR1774--MA0591.1.Bach1::Mafk	chr10	85050870	85050884	+	0.000	0.000	Merged-chr10-85050856-11
NR478--MA0089.1.MAFG::NFE2L1	chr1	91626322	91626327	+	0.000	0.000	Merged-chr1-91626193-21
NR3118--MA0089.1.MAFG::NFE2L1	chr12	75494801	75494806	+	0.000	0.000	Merged-chr12-75494766-18
NR450--MA0089.1.MAFG::NFE2L1	chr1	89092903	89092908	-	0.000	0.000	Merged-chr1-89092949-17
NR289--MA0089.1.MAFG::NFE2L1	chr1	69683215	69683220	-	0.000	0.000	Merged-chr1-69683222-14
NR942--MA0496.2.MAFK	chr1	162773893	162773911	-	0.000	0.000	Merged-chr1-162773825-31
NR14874--MA0496.2.MAFK	chrX	53607940	53607958	-	0.000	0.000	Merged-chrX-53607978-28
NR13912--MA0659.1.MAFG	chr8	111624157	111624177	-	0.000	0.000	Merged-chr8-111624206-14
NR980--MA0117.2.Mafb	chr1	167296085	167296096	+	0.000	0.000	Merged-chr1-167296095-13
NR4591--MA0117.2.Mafb	chr14	52553468	52553479	+	0.000	0.000	Merged-chr14-52553618-9
