#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR5814--MA0511.2.RUNX2	chr3	60531040	60531048	+	0.000	0.000	Merged-chr3-60530998-30
NR3493--MA0002.2.RUNX1	chr15	80897004	80897014	-	0.000	0.000	Merged-chr15-80896921-31
NR3022--MA0684.1.RUNX3	chr14	73290033	73290042	-	0.000	0.000	Merged-chr14-73290096-39
NR3332--MA0511.2.RUNX2	chr15	41846676	41846684	-	0.000	0.000	Merged-chr15-41846585-48
NR540--MA0684.1.RUNX3	chr1	144355777	144355786	-	0.000	0.000	Merged-chr1-144355940-45
NR5545--MA0002.2.RUNX1	chr2	172390742	172390752	+	0.000	0.000	Merged-chr2-172390550-32
NR9235--MA0511.2.RUNX2	chr9	85671752	85671760	-	0.000	0.000	Merged-chr9-85671881-60
NR3625--MA0684.1.RUNX3	chr16	14088467	14088476	-	0.000	0.000	Merged-chr16-14088440-49
NR6711--MA0002.2.RUNX1	chr4	134041640	134041650	-	0.000	0.000	Merged-chr4-134041766-28
NR5143--MA0684.1.RUNX3	chr2	60774692	60774701	+	0.000	0.000	Merged-chr2-60774747-55
NR1306--MA0002.2.RUNX1	chr10	121189337	121189347	-	0.000	0.000	Merged-chr10-121189304-59
NR9149--MA0002.2.RUNX1	chr9	66504135	66504145	+	0.000	0.000	Merged-chr9-66504076-31
NR1144--MA0002.2.RUNX1	chr10	84897547	84897557	-	0.000	0.000	Merged-chr10-84897526-62
NR7726--MA0684.1.RUNX3	chr6	86850880	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR9244--MA0684.1.RUNX3	chr9	86624320	86624329	-	0.000	0.000	Merged-chr9-86624608-86
NR3425--MA0511.2.RUNX2	chr15	67130174	67130182	+	0.000	0.000	Merged-chr15-67130106-32
NR4133--MA0002.2.RUNX1	chr17	25584077	25584087	+	0.000	0.000	Merged-chr17-25583989-33
NR9598--MA0002.2.RUNX1	chrX	162868555	162868565	-	0.000	0.000	Merged-chrX-162868446-21
NR2671--MA0002.2.RUNX1	chr13	108303579	108303589	+	0.000	0.000	Merged-chr13-108303499-73
NR212--MA0002.2.RUNX1	chr1	62829800	62829810	+	0.000	0.000	Merged-chr1-62829921-36
NR420--MA0511.2.RUNX2	chr1	106612882	106612890	+	0.000	0.000	Merged-chr1-106612861-63
NR2975--MA0684.1.RUNX3	chr14	60712417	60712426	+	0.000	0.000	Merged-chr14-60712353-74
NR162--MA0511.2.RUNX2	chr1	52019869	52019877	-	0.000	0.000	Merged-chr1-52019898-50
NR605--MA0002.2.RUNX1	chr1	161794746	161794756	+	0.000	0.000	Merged-chr1-161794797-65
NR6933--MA0684.1.RUNX3	chr5	23637511	23637520	+	0.000	0.000	Merged-chr5-23637519-38
NR6741--MA0511.2.RUNX2	chr4	138257420	138257428	+	0.000	0.000	Merged-chr4-138257384-22
NR6642--MA0002.2.RUNX1	chr4	107210429	107210439	-	0.000	0.000	Merged-chr4-107210545-62
NR2414--MA0511.2.RUNX2	chr13	48979287	48979295	-	0.000	0.000	Merged-chr13-48979303-21
NR333--MA0684.1.RUNX3	chr1	86005772	86005781	+	0.000	0.000	Merged-chr1-86005917-70
NR727--MA0002.2.RUNX1	chr1	184005826	184005836	-	0.000	0.000	Merged-chr1-184005889-70
NR585--MA0684.1.RUNX3	chr1	155476449	155476458	-	0.000	0.000	Merged-chr1-155476472-40
NR508--MA0684.1.RUNX3	chr1	136685579	136685588	-	0.000	0.000	Merged-chr1-136685597-75
NR6145--MA0002.2.RUNX1	chr3	142281338	142281348	-	0.000	0.000	Merged-chr3-142281213-32
NR9329--MA0684.1.RUNX3	chr9	107280571	107280580	+	0.000	0.000	Merged-chr9-107280639-112
NR8707--MA0002.2.RUNX1	chr8	66497453	66497463	+	0.000	0.000	Merged-chr8-66497339-52
NR5015--MA0511.2.RUNX2	chr2	32062951	32062959	+	0.000	0.000	Merged-chr2-32063200-64
NR6756--MA0002.2.RUNX1	chr4	145045906	145045916	-	0.000	0.000	Merged-chr4-145045932-55
NR6964--MA0511.2.RUNX2	chr5	35166062	35166070	-	0.000	0.000	Merged-chr5-35166204-55
NR1307--MA0511.2.RUNX2	chr10	121189374	121189382	-	0.000	0.000	Merged-chr10-121189304-59
NR8545--MA0002.2.RUNX1	chr8	11464118	11464128	-	0.000	0.000	Merged-chr8-11464225-54
NR7056--MA0511.2.RUNX2	chr5	62772103	62772111	+	0.000	0.000	Merged-chr5-62772215-28
NR8753--MA0511.2.RUNX2	chr8	81704155	81704163	-	0.000	0.000	Merged-chr8-81703996-53
NR4837--MA0002.2.RUNX1	chr19	41874495	41874505	-	0.000	0.000	Merged-chr19-41874574-30
NR122--MA0002.2.RUNX1	chr1	38777641	38777651	-	0.000	0.000	Merged-chr1-38777708-41
NR8319--MA0002.2.RUNX1	chr7	80450004	80450014	-	0.000	0.000	Merged-chr7-80450087-44
NR8110--MA0002.2.RUNX1	chr7	16827511	16827521	+	0.000	0.000	Merged-chr7-16827547-27
NR6303--MA0511.2.RUNX2	chr4	10770174	10770182	+	0.000	0.000	Merged-chr4-10770192-53
NR8407--MA0002.2.RUNX1	chr7	114070252	114070262	+	0.000	0.000	Merged-chr7-114069993-85
NR2225--MA0002.2.RUNX1	chr12	118255872	118255882	-	0.000	0.000	Merged-chr12-118255780-45
NR352--MA0684.1.RUNX3	chr1	88587508	88587517	+	0.000	0.000	Merged-chr1-88587471-60
NR2956--MA0511.2.RUNX2	chr14	54138478	54138486	-	0.000	0.000	Merged-chr14-54138460-21
NR6203--MA0684.1.RUNX3	chr3	146686722	146686731	-	0.000	0.000	Merged-chr3-146686610-31
NR3620--MA0511.2.RUNX2	chr16	14088428	14088436	-	0.000	0.000	Merged-chr16-14088440-49
NR8863--MA0684.1.RUNX3	chr8	114879898	114879907	-	0.000	0.000	Merged-chr8-114879936-19
NR2456--MA0002.2.RUNX1	chr13	63189852	63189862	-	0.000	0.000	Merged-chr13-63189715-33
NR649--MA0684.1.RUNX3	chr1	170167995	170168004	+	0.000	0.000	Merged-chr1-170167960-28
NR4182--MA0511.2.RUNX2	chr17	35246464	35246472	-	0.000	0.000	Merged-chr17-35246340-22
NR9411--MA0002.2.RUNX1	chr9	123734267	123734277	+	0.000	0.000	Merged-chr9-123734197-54
NR4658--MA0684.1.RUNX3	chr18	73548756	73548765	-	0.000	0.000	Merged-chr18-73548790-35
NR4367--MA0002.2.RUNX1	chr17	83846459	83846469	+	0.000	0.000	Merged-chr17-83846499-25
NR3513--MA0002.2.RUNX1	chr15	89131568	89131578	-	0.000	0.000	Merged-chr15-89131620-40
NR8315--MA0511.2.RUNX2	chr7	80209934	80209942	-	0.000	0.000	Merged-chr7-80209951-53
NR5825--MA0002.2.RUNX1	chr3	61409818	61409828	+	0.000	0.000	Merged-chr3-61409766-58
NR2577--MA0684.1.RUNX3	chr13	92859008	92859017	-	0.000	0.000	Merged-chr13-92859070-18
NR4607--MA0511.2.RUNX2	chr18	62186217	62186225	+	0.000	0.000	Merged-chr18-62186304-32
NR7614--MA0002.2.RUNX1	chr6	58881090	58881100	-	0.000	0.000	Merged-chr6-58880983-47
NR8868--MA0684.1.RUNX3	chr8	115185669	115185678	-	0.000	0.000	Merged-chr8-115185594-22
NR2957--MA0684.1.RUNX3	chr14	54138477	54138486	-	0.000	0.000	Merged-chr14-54138460-21
NR7200--MA0002.2.RUNX1	chr5	100886743	100886753	-	0.000	0.000	Merged-chr5-100886788-32
NR5881--MA0002.2.RUNX1	chr3	75930325	75930335	+	0.000	0.000	Merged-chr3-75930291-55
NR6277--MA0684.1.RUNX3	chr4	6924977	6924986	+	0.000	0.000	Merged-chr4-6924913-49
NR9111--MA0002.2.RUNX1	chr9	54612825	54612835	+	0.000	0.000	Merged-chr9-54612864-43
NR1838--MA0002.2.RUNX1	chr12	17511242	17511252	+	0.000	0.000	Merged-chr12-17511273-48
NR3627--MA0002.2.RUNX1	chr16	14088506	14088516	+	0.000	0.000	Merged-chr16-14088440-49
NR5816--MA0684.1.RUNX3	chr3	60531040	60531049	+	0.000	0.000	Merged-chr3-60530998-30
NR4132--MA0511.2.RUNX2	chr17	25584079	25584087	-	0.000	0.000	Merged-chr17-25583989-33
NR3944--MA0511.2.RUNX2	chr16	93552877	93552885	-	0.000	0.000	Merged-chr16-93552984-42
NR9071--MA0002.2.RUNX1	chr9	42158806	42158816	-	0.000	0.000	Merged-chr9-42158908-46
NR3696--MA0002.2.RUNX1	chr16	32190254	32190264	-	0.000	0.000	Merged-chr16-32190230-31
NR3301--MA0002.2.RUNX1	chr15	36562936	36562946	-	0.000	0.000	Merged-chr15-36562926-39
NR3967--MA0002.2.RUNX1	chr16	96273469	96273479	-	0.000	0.000	Merged-chr16-96273446-72
NR4992--MA0002.2.RUNX1	chr2	27693898	27693908	-	0.000	0.000	Merged-chr2-27693880-30
NR3932--MA0684.1.RUNX3	chr16	91781029	91781038	+	0.000	0.000	Merged-chr16-91781071-63
NR5987--MA0002.2.RUNX1	chr3	103091964	103091974	+	0.000	0.000	Merged-chr3-103091976-34
NR8378--MA0002.2.RUNX1	chr7	104400913	104400923	-	0.000	0.000	Merged-chr7-104400949-29
NR3816--MA0002.2.RUNX1	chr16	64758703	64758713	+	0.000	0.000	Merged-chr16-64758494-145
NR1355--MA0002.2.RUNX1	chr11	4206049	4206059	-	0.000	0.000	Merged-chr11-4206247-48
NR702--MA0002.2.RUNX1	chr1	177670829	177670839	-	0.000	0.000	Merged-chr1-177670807-27
NR3623--MA0511.2.RUNX2	chr16	14088468	14088476	-	0.000	0.000	Merged-chr16-14088440-49
NR5141--MA0511.2.RUNX2	chr2	60774692	60774700	+	0.000	0.000	Merged-chr2-60774747-55
NR7724--MA0511.2.RUNX2	chr6	86850881	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR3427--MA0684.1.RUNX3	chr15	67130174	67130183	+	0.000	0.000	Merged-chr15-67130106-32
NR5815--MA0002.2.RUNX1	chr3	60531040	60531050	-	0.000	0.000	Merged-chr3-60530998-30
NR8318--MA0511.2.RUNX2	chr7	80450004	80450012	+	0.000	0.000	Merged-chr7-80450087-44
NR8934--MA0002.2.RUNX1	chr8	125725663	125725673	+	0.000	0.000	Merged-chr8-125725496-61
NR9374--MA0002.2.RUNX1	chr9	116212260	116212270	+	0.000	0.000	Merged-chr9-116212405-59
NR3333--MA0002.2.RUNX1	chr15	41846674	41846684	+	0.000	0.000	Merged-chr15-41846585-48
NR776--MA0002.2.RUNX1	chr1	193181245	193181255	+	0.000	0.000	Merged-chr1-193181317-39
NR5278--MA0002.2.RUNX1	chr2	102948327	102948337	-	0.000	0.000	Merged-chr2-102948525-77
NR6931--MA0511.2.RUNX2	chr5	23637511	23637519	+	0.000	0.000	Merged-chr5-23637519-38
NR5496--MA0002.2.RUNX1	chr2	160756899	160756909	+	0.000	0.000	Merged-chr2-160756885-65
NR375--MA0002.2.RUNX1	chr1	92469137	92469147	-	0.000	0.000	Merged-chr1-92469061-38
NR9236--MA0002.2.RUNX1	chr9	85671750	85671760	+	0.000	0.000	Merged-chr9-85671881-60
NR341--MA0002.2.RUNX1	chr1	87607792	87607802	-	0.000	0.000	Merged-chr1-87607643-76
NR3328--MA0511.2.RUNX2	chr15	41846517	41846525	-	0.000	0.000	Merged-chr15-41846585-48
NR2290--MA0002.2.RUNX1	chr13	12521851	12521861	+	0.000	0.000	Merged-chr13-12521905-15
NR2670--MA0002.2.RUNX1	chr13	108303436	108303446	+	0.000	0.000	Merged-chr13-108303499-73
NR5017--MA0684.1.RUNX3	chr2	32062951	32062960	+	0.000	0.000	Merged-chr2-32063200-64
NR952--MA0002.2.RUNX1	chr10	34118015	34118025	-	0.000	0.000	Merged-chr10-34117997-36
NR1309--MA0684.1.RUNX3	chr10	121189373	121189382	-	0.000	0.000	Merged-chr10-121189304-59
NR6152--MA0002.2.RUNX1	chr3	142437065	142437075	-	0.000	0.000	Merged-chr3-142437047-18
NR7058--MA0684.1.RUNX3	chr5	62772103	62772112	+	0.000	0.000	Merged-chr5-62772215-28
NR7613--MA0511.2.RUNX2	chr6	58881090	58881098	+	0.000	0.000	Merged-chr6-58880983-47
NR9195--MA0684.1.RUNX3	chr9	78074229	78074238	+	0.000	0.000	Merged-chr9-78074095-46
NR4233--MA0002.2.RUNX1	chr17	51789392	51789402	-	0.000	0.000	Merged-chr17-51789354-14
NR6545--MA0002.2.RUNX1	chr4	83234294	83234304	-	0.000	0.000	Merged-chr4-83234214-31
NR3534--MA0684.1.RUNX3	chr15	93302037	93302046	-	0.000	0.000	Merged-chr15-93302109-22
NR8320--MA0684.1.RUNX3	chr7	80450004	80450013	+	0.000	0.000	Merged-chr7-80450087-44
NR421--MA0002.2.RUNX1	chr1	106612882	106612892	-	0.000	0.000	Merged-chr1-106612861-63
NR9110--MA0511.2.RUNX2	chr9	54612827	54612835	-	0.000	0.000	Merged-chr9-54612864-43
NR1837--MA0511.2.RUNX2	chr12	17511244	17511252	-	0.000	0.000	Merged-chr12-17511273-48
NR2992--MA0511.2.RUNX2	chr14	65102596	65102604	+	0.000	0.000	Merged-chr14-65102691-41
NR163--MA0002.2.RUNX1	chr1	52019867	52019877	+	0.000	0.000	Merged-chr1-52019898-50
NR3626--MA0511.2.RUNX2	chr16	14088508	14088516	-	0.000	0.000	Merged-chr16-14088440-49
NR4225--MA0002.2.RUNX1	chr17	50071769	50071779	+	0.000	0.000	Merged-chr17-50071769-42
NR5144--MA0511.2.RUNX2	chr2	60845519	60845527	-	0.000	0.000	Merged-chr2-60845573-40
NR6742--MA0002.2.RUNX1	chr4	138257420	138257430	-	0.000	0.000	Merged-chr4-138257384-22
NR7599--MA0511.2.RUNX2	chr6	52965624	52965632	-	0.000	0.000	Merged-chr6-52965594-53
NR9070--MA0511.2.RUNX2	chr9	42158806	42158814	+	0.000	0.000	Merged-chr9-42158908-46
NR2872--MA0002.2.RUNX1	chr14	25421961	25421971	-	0.000	0.000	Merged-chr14-25421957-44
NR2667--MA0002.2.RUNX1	chr13	107897467	107897477	-	0.000	0.000	Merged-chr13-107897363-37
NR9245--MA0511.2.RUNX2	chr9	86624346	86624354	-	0.000	0.000	Merged-chr9-86624608-86
NR350--MA0511.2.RUNX2	chr1	88587508	88587516	+	0.000	0.000	Merged-chr1-88587471-60
NR6201--MA0511.2.RUNX2	chr3	146686723	146686731	-	0.000	0.000	Merged-chr3-146686610-31
NR8861--MA0511.2.RUNX2	chr8	114879899	114879907	-	0.000	0.000	Merged-chr8-114879936-19
NR121--MA0002.2.RUNX1	chr1	38694359	38694369	+	0.000	0.000	Merged-chr1-38694375-50
NR647--MA0511.2.RUNX2	chr1	170167995	170168003	+	0.000	0.000	Merged-chr1-170167960-28
NR2993--MA0684.1.RUNX3	chr14	65102596	65102605	+	0.000	0.000	Merged-chr14-65102691-41
NR4656--MA0511.2.RUNX2	chr18	73548757	73548765	-	0.000	0.000	Merged-chr18-73548790-35
NR6713--MA0002.2.RUNX1	chr4	134117084	134117094	+	0.000	0.000	Merged-chr4-134117148-42
NR7219--MA0002.2.RUNX1	chr5	105152073	105152083	-	0.000	0.000	Merged-chr5-105152132-21
NR6965--MA0002.2.RUNX1	chr5	35166060	35166070	+	0.000	0.000	Merged-chr5-35166204-55
NR7057--MA0002.2.RUNX1	chr5	62772103	62772113	-	0.000	0.000	Merged-chr5-62772215-28
NR8754--MA0002.2.RUNX1	chr8	81704153	81704163	+	0.000	0.000	Merged-chr8-81703996-53
NR2575--MA0511.2.RUNX2	chr13	92859009	92859017	-	0.000	0.000	Merged-chr13-92859070-18
NR6712--MA0684.1.RUNX3	chr4	134041640	134041649	+	0.000	0.000	Merged-chr4-134041766-28
NR8866--MA0511.2.RUNX2	chr8	115185670	115185678	-	0.000	0.000	Merged-chr8-115185594-22
