#Name (cmd = mergePeaks -d 200 -cobound 1 /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/8_footprint/1_mpbs/2_mpbs_Runx/Bcl6KO_Th1_rep1_fp_mpbs.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/pval-0.05-up/bed/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.05_up.bed
MA0684.1.RUNX3--1000	chr17	88985619	88985628	+	0.000	0.000	
MA0684.1.RUNX3--1001	chr17	90809343	90809352	-	0.000	0.000	
MA0684.1.RUNX3--1002	chr17	92492880	92492889	-	0.000	0.000	
MA0684.1.RUNX3--1003	chr18	4295245	4295254	+	0.000	0.000	
MA0684.1.RUNX3--1004	chr18	4295372	4295381	+	0.000	0.000	
MA0684.1.RUNX3--1005	chr18	6667590	6667599	+	0.000	0.000	
MA0684.1.RUNX3--1006	chr18	10532537	10532546	-	0.000	0.000	
MA0684.1.RUNX3--1007	chr18	10742979	10742988	-	0.000	0.000	
MA0684.1.RUNX3--1008	chr18	12643081	12643090	+	0.000	0.000	
MA0684.1.RUNX3--1009	chr18	15313253	15313262	-	0.000	0.000	
MA0684.1.RUNX3--1010	chr18	20869445	20869454	-	0.000	0.000	
MA0684.1.RUNX3--1011	chr18	23734926	23734935	-	0.000	0.000	
MA0684.1.RUNX3--1012	chr18	30272702	30272711	+	0.000	0.000	
MA0684.1.RUNX3--1013	chr18	32970446	32970455	-	0.000	0.000	
MA0684.1.RUNX3--1014	chr18	34119246	34119255	+	0.000	0.000	
MA0684.1.RUNX3--1015	chr18	37814060	37814069	-	0.000	0.000	
MA0684.1.RUNX3--1016	chr18	37926031	37926040	-	0.000	0.000	
MA0684.1.RUNX3--1017	chr18	38427119	38427128	+	0.000	0.000	
MA0684.1.RUNX3--1018	chr18	38631718	38631727	+	0.000	0.000	
MA0684.1.RUNX3--1019	chr18	39020734	39020743	-	0.000	0.000	
MA0684.1.RUNX3--1020	chr18	39282250	39282259	+	0.000	0.000	
MA0684.1.RUNX3--1021	chr18	46047542	46047551	+	0.000	0.000	
MA0684.1.RUNX3--1022	chr18	50009178	50009187	-	0.000	0.000	
MA0684.1.RUNX3--1023	chr18	52527805	52527814	-	0.000	0.000	
MA0684.1.RUNX3--1024	chr18	54921980	54921989	+	0.000	0.000	
MA0684.1.RUNX3--1025	chr18	54922129	54922138	-	0.000	0.000	
MA0684.1.RUNX3--1026	chr18	54970185	54970194	+	0.000	0.000	
MA0684.1.RUNX3--1027	chr18	56413121	56413130	-	0.000	0.000	
MA0684.1.RUNX3--1028	chr18	56871869	56871878	+	0.000	0.000	
MA0684.1.RUNX3--1029	chr18	59077277	59077286	+	0.000	0.000	
MA0684.1.RUNX3--1030	chr18	60481245	60481254	-	0.000	0.000	
MA0684.1.RUNX3--1031	chr18	61177216	61177225	-	0.000	0.000	
MA0684.1.RUNX3--1032	chr18	62169383	62169392	-	0.000	0.000	
MA0684.1.RUNX3--1033	chr18	62186217	62186226	+	0.000	0.000	
MA0684.1.RUNX3--1034	chr18	64510240	64510249	-	0.000	0.000	
MA0684.1.RUNX3--1035	chr18	64991733	64991742	+	0.000	0.000	
MA0684.1.RUNX3--1036	chr18	65312498	65312507	+	0.000	0.000	
MA0684.1.RUNX3--1037	chr18	65405563	65405572	+	0.000	0.000	
MA0684.1.RUNX3--1038	chr18	65726505	65726514	+	0.000	0.000	
MA0684.1.RUNX3--1039	chr18	65764555	65764564	+	0.000	0.000	
MA0684.1.RUNX3--1040	chr18	65819308	65819317	+	0.000	0.000	
MA0684.1.RUNX3--1041	chr18	67418275	67418284	-	0.000	0.000	
MA0684.1.RUNX3--1042	chr18	67435718	67435727	+	0.000	0.000	
MA0684.1.RUNX3--1043	chr18	67436067	67436076	-	0.000	0.000	
MA0684.1.RUNX3--1044	chr18	67732911	67732920	-	0.000	0.000	
MA0684.1.RUNX3--1045	chr18	67897988	67897997	-	0.000	0.000	
MA0684.1.RUNX3--1046	chr18	67966843	67966852	+	0.000	0.000	
