chr,start,end
chr11,52222864,52223131
chr11,52224252,52224553
chr11,52231893,52232340
chr11,52241057,52241317
chr11,52248738,52248888
chr11,52249723,52249873
chr11,52249905,52250168
chr11,52250238,52250470
chr11,52250519,52250669
chr11,52251886,52252036
chr11,52253920,52254077
chr11,52254089,52254363
chr11,52255179,52255422
chr11,52260935,52261196
chr11,52262009,52262305
chr11,52265809,52266042
chr11,52268411,52268662
chr11,52273909,52274059
chr11,52274161,52274311
chr11,52274841,52275158
chr11,52275224,52275548
chr11,52281005,52281385
chr11,52281852,52282002
chr11,52282980,52283366
chr11,52283464,52283637
chr11,52284124,52284398
chr11,52294186,52294554
chr11,52297512,52297662
chr11,52299558,52299708
chr11,52299727,52299914
chr11,52305311,52305554
chr11,52309483,52309829
chr11,52310848,52311109
