#name (cmd = mergePeaks -d 150 MACS2_Bcl6KO_Th1_peaks.Pdcd1.sig.bed MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed MACS2_DKO_Th1_peaks.Pdcd1.sig.bed MACS2_Naive_peaks.Pdcd1.sig.bed MACS2_Prdm1KO_Tfh_peaks.Pdcd1.sig.bed MACS2_WT_Tfh_peaks.Pdcd1.sig.bed MACS2_WT_Th1_peaks.Pdcd1.sig.bed)	chr	start	end	strand	Stat	Parent files	Total subpeaks	MACS2_Bcl6KO_Th1_peaks.Pdcd1.sig.bed	MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed	MACS2_DKO_Th1_peaks.Pdcd1.sig.bed	MACS2_Naive_peaks.Pdcd1.sig.bed	MACS2_Prdm1KO_Tfh_peaks.Pdcd1.sig.bed	MACS2_WT_Tfh_peaks.Pdcd1.sig.bed	MACS2_WT_Th1_peaks.Pdcd1.sig.bed
Merged-chr1-94053683-7	chr1	94053567	94053813	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Pdcd1.sig.bed|MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed|MACS2_DKO_Th1_peaks.Pdcd1.sig.bed|MACS2_Naive_peaks.Pdcd1.sig.bed|MACS2_WT_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Th1_peaks.Pdcd1.sig.bed	7	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_7881	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_6836	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_4755	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_13785a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_13785b		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8873	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_6248
Merged-chr1-94042554-8	chr1	94042446	94042674	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Pdcd1.sig.bed|MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed|MACS2_DKO_Th1_peaks.Pdcd1.sig.bed|MACS2_Naive_peaks.Pdcd1.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Th1_peaks.Pdcd1.sig.bed	8	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_7877	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_6832	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_4752	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_13783	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_11450	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8870a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8870b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_6245
Merged-chr1-94035516-10	chr1	94035340	94035669	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Pdcd1.sig.bed|MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed|MACS2_DKO_Th1_peaks.Pdcd1.sig.bed|MACS2_Naive_peaks.Pdcd1.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Th1_peaks.Pdcd1.sig.bed	10	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_7875a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_7875b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_6830	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_4750	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Naive_peak_13782	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_11448a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_11448b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8869a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8869b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_6243
Merged-chr1-94053138-2	chr1	94053063	94053213	+	0.000000	MACS2_Prdm1KO_Tfh_peaks.Pdcd1.sig.bed	2					/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_11454a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_11454b		
Merged-chr1-94040599-4	chr1	94040495	94040718	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Pdcd1.sig.bed|MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed|MACS2_DKO_Th1_peaks.Pdcd1.sig.bed|MACS2_WT_Th1_peaks.Pdcd1.sig.bed	4	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_7876	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_6831	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_4751				/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_6244
Merged-chr1-94052621-6	chr1	94052493	94052723	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Pdcd1.sig.bed|MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed|MACS2_DKO_Th1_peaks.Pdcd1.sig.bed|MACS2_WT_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Th1_peaks.Pdcd1.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_7880	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_6835	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_4754			/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8872a,/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8872b	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_6247
Merged-chr1-94048321-6	chr1	94048103	94048514	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Pdcd1.sig.bed|MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed|MACS2_DKO_Th1_peaks.Pdcd1.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Th1_peaks.Pdcd1.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_7879	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_6833	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_4753		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_11452	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8871	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_6246
Merged-chr1-94055184-6	chr1	94055033	94055339	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Pdcd1.sig.bed|MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed|MACS2_DKO_Th1_peaks.Pdcd1.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Th1_peaks.Pdcd1.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_7882	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_6837	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_4756		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_11455	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8874	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_6249
Merged-chr1-94056158-6	chr1	94056003	94056290	+	0.000000	MACS2_Bcl6KO_Th1_peaks.Pdcd1.sig.bed|MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed|MACS2_DKO_Th1_peaks.Pdcd1.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Th1_peaks.Pdcd1.sig.bed	6	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Bcl6KO_Th1_peak_7883	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_6838	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_4757		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_11456	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8875	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_6250
Merged-chr1-94025670-5	chr1	94025518	94025847	+	0.000000	MACS2_DKO_Tfh_peaks.Pdcd1.sig.bed|MACS2_DKO_Th1_peaks.Pdcd1.sig.bed|MACS2_Prdm1KO_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Tfh_peaks.Pdcd1.sig.bed|MACS2_WT_Th1_peaks.Pdcd1.sig.bed	5		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Tfh_peak_6829	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_DKO_Th1_peak_4749		/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_Prdm1KO_Tfh_peak_11447	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Tfh_peak_8868	/gpfs/group/pipkin/jycATAC/sorted_dupr_bam_combined/MACS2_WT_Th1_peak_6242
