chr,start,end
chr11,97082974,97083533
chr11,97090221,97090371
chr11,97090889,97091142
chr11,97091678,97091828
chr11,97091919,97092069
chr11,97092463,97092613
chr11,97093534,97093684
chr11,97093984,97094134
chr11,97096199,97096495
chr11,97101850,97102070
chr11,97103878,97104051
chr11,97104069,97104319
chr11,97109102,97109311
chr11,97109431,97109623
chr11,97109746,97109920
chr11,97112595,97112860
chr11,97115037,97115312
chr11,97115335,97115682
chr11,97115921,97116135
chr11,97118296,97118504
chr11,97123447,97123898
chr11,97124868,97125190
chr11,97127064,97127319
chr11,97128968,97129118
chr11,97130695,97130910
chr11,97133352,97133710
chr11,97133808,97134005
chr11,97134222,97134482
chr11,97140900,97141162
chr11,97142236,97142511
chr11,97143396,97143691
chr11,97145950,97146100
chr11,97146109,97146272
chr11,97146338,97146494
chr11,97146697,97146891
