"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097038","GO:0097038","perinuclear endoplasmic reticulum","4/337","21/21298",0.00029786193286591,0.0553197636331675,0.050395451941894,"Osbpl6/Osbpl3/Capn2/Syt6",4
"GO:0044291","GO:0044291","cell-cell contact zone","7/337","82/21298",0.000321074455497227,0.0553197636331675,0.050395451941894,"Tmem65/Akap6/Vcl/Atp1b1/Gja5/Camk2d/Pkp4",7
"GO:0014704","GO:0014704","intercalated disc","6/337","62/21298",0.000437887311080482,0.0553197636331675,0.050395451941894,"Tmem65/Akap6/Vcl/Atp1b1/Gja5/Camk2d",6
"GO:0009897","GO:0009897","external side of plasma membrane","16/337","399/21298",0.000671115151535962,0.0614350034048112,0.0559663411103405,"Lhcgr/Ccr6/Kcnj3/Gfra2/Cxcr4/S1pr1/Sell/Aqp4/Ccr7/Il1r1/Fcgr1/Cd83/Ccr4/Sdc1/Alcam/Ccr5",16
"GO:0097440","GO:0097440","apical dendrite","4/337","27/21298",0.00081048817156743,0.0614350034048112,0.0559663411103405,"Rasgrf1/Slc4a10/Slc7a10/Ptk2b",4
"GO:0042383","GO:0042383","sarcolemma","9/337","165/21298",0.00129246670140851,0.0816408133056378,0.0743735224670162,"Lama2/Kcnj3/Akap6/Ppp3r1/Vcl/Atp1b1/Ryr3/Aqp4/Camk2d",9
"GO:0031965","GO:0031965","nuclear membrane","11/337","241/21298",0.00166740811508987,0.0902782393741513,0.0822420844736054,"Nucb2/Akap6/Dnajb2/Sh3bgrl2/Osbpl6/Tmem201/Gtf3c3/Prickle1/Osbpl3/Lmnb1/Gch1",11
"GO:0031985","GO:0031985","Golgi cisterna","5/337","60/21298",0.00258017514790337,0.122235797631922,0.11135492743583,"Nucb2/Acpp/Man2a1/Nsg2/Gorasp2",5
"GO:0043197","GO:0043197","dendritic spine","9/337","194/21298",0.0038637111380256,0.161865828202035,0.147457274407076,"Grk3/Lama2/Rapgef4/Eef2k/Sipa1l1/Ptk2b/Nr3c1/Dock10/Ctnnd1",9
"GO:0044309","GO:0044309","neuron spine","9/337","197/21298",0.00427086617947322,0.161865828202035,0.147457274407076,"Grk3/Lama2/Rapgef4/Eef2k/Sipa1l1/Ptk2b/Nr3c1/Dock10/Ctnnd1",9
"GO:0005797","GO:0005797","Golgi medial cisterna","3/337","22/21298",0.00483745982418357,0.16667247939687,0.151836059553322,"Nucb2/Man2a1/Gorasp2",3
"GO:0099243","GO:0099243","extrinsic component of synaptic membrane","3/337","23/21298",0.00549860367460596,0.173664232722972,0.158205439058838,"Olfm2/Farp1/Magi2",3
"GO:0030017","GO:0030017","sarcomere","8/337","184/21298",0.00916618136697205,0.238975878727064,0.217703341820517,"Grk3/Ankrd2/Vcl/Tmod1/Myoz2/Neb/Ryr3/Tmod3",8
"GO:0014069","GO:0014069","postsynaptic density","13/337","394/21298",0.0104365065514853,0.238975878727064,0.217703341820517,"Rapgef4/Exoc4/Dlgap1/Eef2k/Nck2/Sipa1l1/Ptk2b/Arc/Nr3c1/Il1r1/Magi2/Ctnnd1/Pkp4",13
"GO:0005795","GO:0005795","Golgi stack","5/337","84/21298",0.0107395629607199,0.238975878727064,0.217703341820517,"Nucb2/Acpp/Man2a1/Nsg2/Gorasp2",5
"GO:0032279","GO:0032279","asymmetric synapse","13/337","397/21298",0.0110653056974512,0.238975878727064,0.217703341820517,"Rapgef4/Exoc4/Dlgap1/Eef2k/Nck2/Sipa1l1/Ptk2b/Arc/Nr3c1/Il1r1/Magi2/Ctnnd1/Pkp4",13
"GO:0005865","GO:0005865","striated muscle thin filament","3/337","30/21298",0.011620814448448,0.238975878727064,0.217703341820517,"Tmod1/Neb/Tmod3",3
"GO:0005770","GO:0005770","late endosome","8/337","192/21298",0.0116508641676439,0.238975878727064,0.217703341820517,"Cxcr4/Osbpl1a/Acpp/Wdr91/Nsg2/Magi2/Clec16a/Vti1a",8
"GO:1990907","GO:1990907","beta-catenin-TCF complex","2/337","11/21298",0.0124934562570099,0.238975878727064,0.217703341820517,"Tcf4/Tle4",2
"GO:0044449","GO:0044449","contractile fiber part","8/337","198/21298",0.013816657155562,0.238975878727064,0.217703341820517,"Grk3/Ankrd2/Vcl/Tmod1/Myoz2/Neb/Ryr3/Tmod3",8
"GO:0036379","GO:0036379","myofilament","3/337","32/21298",0.0138719507440512,0.238975878727064,0.217703341820517,"Tmod1/Neb/Tmod3",3
"GO:0099092","GO:0099092","postsynaptic density, intracellular component","3/337","32/21298",0.0138719507440512,0.238975878727064,0.217703341820517,"Dlgap1/Nr3c1/Ctnnd1",3
"GO:0031932","GO:0031932","TORC2 complex","2/337","12/21298",0.0148367651310547,0.244484086289988,0.222721234003933,"Sesn3/Rictor",2
"GO:0005911","GO:0005911","cell-cell junction","14/337","466/21298",0.0170260111132375,0.24819368042117,0.226100617075806,"Tmem65/Akap6/Vcl/Marveld3/Cxcr4/Prkch/Pard6g/Atp1b1/Aqp4/Magi2/Gja5/Ctnnd1/Camk2d/Pkp4",14
"GO:0098984","GO:0098984","neuron to neuron synapse","13/337","422/21298",0.0175180407345397,0.24819368042117,0.226100617075806,"Rapgef4/Exoc4/Dlgap1/Eef2k/Nck2/Sipa1l1/Ptk2b/Arc/Nr3c1/Il1r1/Magi2/Ctnnd1/Pkp4",13
"GO:0030016","GO:0030016","myofibril","8/337","207/21298",0.0175963642164886,0.24819368042117,0.226100617075806,"Grk3/Ankrd2/Vcl/Tmod1/Myoz2/Neb/Ryr3/Tmod3",8
"GO:0031463","GO:0031463","Cul3-RING ubiquitin ligase complex","3/337","35/21298",0.0176813439877879,0.24819368042117,0.226100617075806,"Gan/Klhl2/Klhl3",3
"GO:0008180","GO:0008180","COP9 signalosome","3/337","36/21298",0.0190675812464304,0.258093331871325,0.235119046948465,"Tmod1/Tespa1/Basp1",3
"GO:0099572","GO:0099572","postsynaptic specialization","13/337","433/21298",0.0211255662221347,0.269158357453685,0.245199114691873,"Rapgef4/Exoc4/Dlgap1/Eef2k/Nck2/Sipa1l1/Ptk2b/Arc/Nr3c1/Il1r1/Magi2/Ctnnd1/Pkp4",13
"GO:0031674","GO:0031674","I band","6/337","137/21298",0.0219783008664021,0.269158357453685,0.245199114691873,"Grk3/Ankrd2/Vcl/Myoz2/Neb/Ryr3",6
"GO:0099091","GO:0099091","postsynaptic specialization, intracellular component","3/337","38/21298",0.0220155912429136,0.269158357453685,0.245199114691873,"Dlgap1/Nr3c1/Ctnnd1",3
"GO:0038201","GO:0038201","TOR complex","2/337","15/21298",0.0228795305846662,0.270979440362141,0.246858093150346,"Sesn3/Rictor",2
"GO:0043292","GO:0043292","contractile fiber","8/337","222/21298",0.0254612024057268,0.282195752082016,0.257075980233027,"Grk3/Ankrd2/Vcl/Tmod1/Myoz2/Neb/Ryr3/Tmod3",8
"GO:0098890","GO:0098890","extrinsic component of postsynaptic membrane","2/337","16/21298",0.0258784786827652,0.282195752082016,0.257075980233027,"Farp1/Magi2",2
"GO:0034703","GO:0034703","cation channel complex","8/337","223/21298",0.0260602937278907,0.282195752082016,0.257075980233027,"Olfm2/Kcnj3/Akap6/Scn3a/Kcnk2/Ryr3/Ptk2b/Cnih3",8
"GO:0019898","GO:0019898","extrinsic component of membrane","10/337","312/21298",0.0274815939569531,0.282671310031164,0.257509206194201,"Olfm2/Gna13/Farp1/Vps13d/Esyt2/Wdr91/Ptk2b/Magi2/Ctnnd1/Syt6",10
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","7/337","185/21298",0.0282228474063209,0.282671310031164,0.257509206194201,"Olfm2/Gna13/Farp1/Esyt2/Ptk2b/Magi2/Ctnnd1",7
"GO:0005614","GO:0005614","interstitial matrix","2/337","17/21298",0.0290270031102126,0.282671310031164,0.257509206194201,"Tnc/Nav2",2
"GO:0016323","GO:0016323","basolateral plasma membrane","8/337","228/21298",0.0292035095669065,0.282671310031164,0.257509206194201,"Rapgef4/Slc4a4/Rasgrf1/Abcc4/Slc4a10/Atp1b1/Aqp4/Naip1",8
"GO:0030315","GO:0030315","T-tubule","4/337","74/21298",0.0298333836444501,0.282671310031164,0.257509206194201,"Kcnj3/Akap6/Aqp4/Camk2d",4
"GO:0005667","GO:0005667","transcription factor complex","12/337","417/21298",0.0345035290057998,0.310581145155775,0.282934635775849,"Cebpa/Tcf12/Gtf3c3/Ascc1/Pou2af1/Tcf4/Arnt2/Sox6/Mef2b/Hnf1b/Tle4/Lmo4",12
"GO:0001725","GO:0001725","stress fiber","4/337","78/21298",0.0352374386324494,0.310581145155775,0.282934635775849,"Vcl/Tlnrd1/Klhl2/Flnb",4
"GO:0097517","GO:0097517","contractile actin filament bundle","4/337","78/21298",0.0352374386324494,0.310581145155775,0.282934635775849,"Vcl/Tlnrd1/Klhl2/Flnb",4
