#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR3700--MA0149.1.EWSR1-FLI1	chr14	62928399	62928416	+	0.000	0.000	Merged-chr14-62928345-50
NR1204--MA0149.1.EWSR1-FLI1	chr10	62543750	62543767	-	0.000	0.000	Merged-chr10-62543854-97
NR2382--MA0475.2.FLI1	chr12	13518319	13518328	-	0.000	0.000	Merged-chr12-13518316-35
NR1429--MA0149.1.EWSR1-FLI1	chr10	95179031	95179048	+	0.000	0.000	Merged-chr10-95179066-28
NR11273--MA0475.2.FLI1	chr8	91082198	91082207	+	0.000	0.000	Merged-chr8-91082333-75
NR10076--MA0475.2.FLI1	chr6	142561312	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR11086--MA0149.1.EWSR1-FLI1	chr8	34654904	34654921	+	0.000	0.000	Merged-chr8-34654936-23
NR5858--MA0475.2.FLI1	chr19	18591201	18591210	+	0.000	0.000	Merged-chr19-18591291-34
NR2608--MA0149.1.EWSR1-FLI1	chr12	86310072	86310089	-	0.000	0.000	Merged-chr12-86310059-67
NR8107--MA0475.2.FLI1	chr4	63399546	63399555	-	0.000	0.000	Merged-chr4-63399469-54
NR4800--MA0149.1.EWSR1-FLI1	chr16	76549756	76549773	-	0.000	0.000	Merged-chr16-76549789-43
NR4343--MA0475.2.FLI1	chr15	92134529	92134538	+	0.000	0.000	Merged-chr15-92134460-52
NR9582--MA0149.1.EWSR1-FLI1	chr6	54923030	54923047	+	0.000	0.000	Merged-chr6-54923134-7
NR12357--MA0149.1.EWSR1-FLI1	chrX	100504590	100504607	+	0.000	0.000	Merged-chrX-100504535-34
NR2321--MA0475.2.FLI1	chr11	119677333	119677342	-	0.000	0.000	Merged-chr11-119677198-48
NR1902--MA0149.1.EWSR1-FLI1	chr11	64116963	64116980	-	0.000	0.000	Merged-chr11-64116814-48
NR4828--MA0475.2.FLI1	chr16	90995189	90995198	-	0.000	0.000	Merged-chr16-90995039-12
NR11537--MA0149.1.EWSR1-FLI1	chr9	14499346	14499363	+	0.000	0.000	Merged-chr9-14499189-81
