#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR2732--MA0098.3.ETS1	chr6	135218513	135218522	-	0.000	0.000	Merged-chr6-135218530-45
NR1302--MA0098.3.ETS1	chr16	91780992	91781001	+	0.000	0.000	Merged-chr16-91781071-63
NR3155--MA0098.3.ETS1	chr9	62455432	62455441	+	0.000	0.000	Merged-chr9-62455455-9
NR1585--MA0098.3.ETS1	chr18	84043732	84043741	+	0.000	0.000	Merged-chr18-84043834-16
NR2769--MA0098.3.ETS1	chr7	16024990	16024999	+	0.000	0.000	Merged-chr7-16024979-19
NR1491--MA0098.3.ETS1	chr18	23734944	23734953	+	0.000	0.000	Merged-chr18-23734973-16
NR1697--MA0098.3.ETS1	chr2	11801756	11801765	+	0.000	0.000	Merged-chr2-11801641-32
NR1800--MA0098.3.ETS1	chr2	85014107	85014116	-	0.000	0.000	Merged-chr2-85014071-48
NR2102--MA0098.3.ETS1	chr3	115730512	115730521	+	0.000	0.000	Merged-chr3-115730419-1
NR2693--MA0098.3.ETS1	chr6	120149870	120149879	+	0.000	0.000	Merged-chr6-120149856-18
NR116--MA0098.3.ETS1	chr1	133763356	133763365	+	0.000	0.000	Merged-chr1-133763303-37
NR380--MA0098.3.ETS1	chr10	98848448	98848457	+	0.000	0.000	Merged-chr10-98848437-17
NR1129--MA0098.3.ETS1	chr15	58655090	58655099	+	0.000	0.000	Merged-chr15-58655104-54
NR801--MA0098.3.ETS1	chr13	22714321	22714330	-	0.000	0.000	Merged-chr13-22714452-30
NR1908--MA0098.3.ETS1	chr2	152906972	152906981	-	0.000	0.000	Merged-chr2-152906761-58
