#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR132--MA0641.1.ELF4	chr1	160054531	160054542	-	0.000	0.000	Merged-chr1-160054348-51
NR598--MA0641.1.ELF4	chr12	100871414	100871425	+	0.000	0.000	Merged-chr12-100871436-2
NR2468--MA0641.1.ELF4	chr9	118716122	118716133	-	0.000	0.000	Merged-chr9-118716150-51
NR2374--MA0641.1.ELF4	chr9	56419116	56419127	-	0.000	0.000	Merged-chr9-56419056-3
NR397--MA0641.1.ELF4	chr11	58096350	58096361	-	0.000	0.000	Merged-chr11-58096378-33
NR500--MA0641.1.ELF4	chr11	119677333	119677344	-	0.000	0.000	Merged-chr11-119677198-48
NR1298--MA0641.1.ELF4	chr19	61265616	61265627	+	0.000	0.000	Merged-chr19-61265627-44
NR2066--MA0641.1.ELF4	chr7	16024806	16024817	+	0.000	0.000	Merged-chr7-16024979-19
NR729--MA0641.1.ELF4	chr13	98832685	98832696	-	0.000	0.000	Merged-chr13-98832743-37
NR662--MA0641.1.ELF4	chr13	38503675	38503686	+	0.000	0.000	Merged-chr13-38503650-43
NR2407--MA0641.1.ELF4	chr9	73073390	73073401	-	0.000	0.000	Merged-chr9-73073244-62
NR452--MA0641.1.ELF4	chr11	88599470	88599481	-	0.000	0.000	Merged-chr11-88599257-91
NR77--MA0641.1.ELF4	chr1	90740861	90740872	-	0.000	0.000	Merged-chr1-90740920-30
NR206--MA0641.1.ELF4	chr10	8065954	8065965	-	0.000	0.000	Merged-chr10-8065893-29
NR1143--MA0641.1.ELF4	chr17	88123916	88123927	-	0.000	0.000	Merged-chr17-88123873-45
NR1027--MA0641.1.ELF4	chr16	78560287	78560298	-	0.000	0.000	Merged-chr16-78560297-42
NR2229--MA0641.1.ELF4	chr8	35674896	35674907	+	0.000	0.000	Merged-chr8-35674862-23
NR2032--MA0641.1.ELF4	chr6	137795293	137795304	+	0.000	0.000	Merged-chr6-137795480-24
NR834--MA0641.1.ELF4	chr14	73290133	73290144	-	0.000	0.000	Merged-chr14-73290096-39
NR2037--MA0641.1.ELF4	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR176--MA0641.1.ELF4	chr1	181860834	181860845	+	0.000	0.000	Merged-chr1-181860828-54
NR964--MA0641.1.ELF4	chr16	11448765	11448776	+	0.000	0.000	Merged-chr16-11448842-30
NR606--MA0641.1.ELF4	chr12	105001156	105001167	-	0.000	0.000	Merged-chr12-105001185-43
NR1507--MA0641.1.ELF4	chr3	19240050	19240061	-	0.000	0.000	Merged-chr3-19240113-21
NR2073--MA0641.1.ELF4	chr7	19871181	19871192	-	0.000	0.000	Merged-chr7-19871294-33
NR2297--MA0641.1.ELF4	chr8	114815450	114815461	-	0.000	0.000	Merged-chr8-114815485-46
NR772--MA0641.1.ELF4	chr14	15769817	15769828	-	0.000	0.000	Merged-chr14-15770075-60
NR2414--MA0641.1.ELF4	chr9	80266659	80266670	+	0.000	0.000	Merged-chr9-80266579-55
NR580--MA0641.1.ELF4	chr12	84285371	84285382	+	0.000	0.000	Merged-chr12-84285297-56
NR1016--MA0641.1.ELF4	chr16	55735846	55735857	-	0.000	0.000	Merged-chr16-55735684-24
NR1804--MA0641.1.ELF4	chr5	62574658	62574669	+	0.000	0.000	Merged-chr5-62574565-45
NR2464--MA0641.1.ELF4	chr9	114787948	114787959	-	0.000	0.000	Merged-chr9-114787935-34
NR2124--MA0641.1.ELF4	chr7	72280930	72280941	-	0.000	0.000	Merged-chr7-72280908-31
NR174--MA0641.1.ELF4	chr1	181212032	181212043	-	0.000	0.000	Merged-chr1-181211865-134
NR761--MA0641.1.ELF4	chr13	117223278	117223289	+	0.000	0.000	Merged-chr13-117223399-24
NR28--MA0641.1.ELF4	chr1	51577824	51577835	-	0.000	0.000	Merged-chr1-51577937-41
NR1546--MA0641.1.ELF4	chr3	87847895	87847906	+	0.000	0.000	Merged-chr3-87847872-25
NR793--MA0641.1.ELF4	chr14	31531989	31532000	-	0.000	0.000	Merged-chr14-31531950-40
NR1569--MA0641.1.ELF4	chr3	101296566	101296577	+	0.000	0.000	Merged-chr3-101296410-67
NR2001--MA0641.1.ELF4	chr6	119199069	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR2476--MA0641.1.ELF4	chr9	123058887	123058898	-	0.000	0.000	Merged-chr9-123058823-37
NR1713--MA0641.1.ELF4	chr4	119812930	119812941	-	0.000	0.000	Merged-chr4-119812995-31
NR2136--MA0641.1.ELF4	chr7	81863359	81863370	+	0.000	0.000	Merged-chr7-81863346-31
NR1615--MA0641.1.ELF4	chr3	144381746	144381757	-	0.000	0.000	Merged-chr3-144381817-2
NR1521--MA0641.1.ELF4	chr3	54567503	54567514	-	0.000	0.000	Merged-chr3-54567528-25
NR2038--MA0641.1.ELF4	chr6	142561358	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR177--MA0641.1.ELF4	chr1	183266363	183266374	-	0.000	0.000	Merged-chr1-183266289-26
NR1866--MA0641.1.ELF4	chr5	124075224	124075235	+	0.000	0.000	Merged-chr5-124075287-59
NR1307--MA0641.1.ELF4	chr2	11801754	11801765	+	0.000	0.000	Merged-chr2-11801641-32
NR1571--MA0641.1.ELF4	chr3	102755966	102755977	-	0.000	0.000	Merged-chr3-102756086-59
NR899--MA0641.1.ELF4	chr15	66718579	66718590	+	0.000	0.000	Merged-chr15-66718609-34
NR1491--MA0641.1.ELF4	chr2	173436809	173436820	-	0.000	0.000	Merged-chr2-173436778-46
NR1133--MA0641.1.ELF4	chr17	80067466	80067477	+	0.000	0.000	Merged-chr17-80067484-12
NR116--MA0641.1.ELF4	chr1	144300846	144300857	+	0.000	0.000	Merged-chr1-144301040-48
NR1129--MA0641.1.ELF4	chr17	73952402	73952413	+	0.000	0.000	Merged-chr17-73952254-58
NR1393--MA0641.1.ELF4	chr2	103754816	103754827	-	0.000	0.000	Merged-chr2-103754819-28
NR2125--MA0641.1.ELF4	chr7	72344489	72344500	-	0.000	0.000	Merged-chr7-72344400-34
NR1841--MA0641.1.ELF4	chr5	108312789	108312800	-	0.000	0.000	Merged-chr5-108312691-63
NR1855--MA0641.1.ELF4	chr5	115516596	115516607	-	0.000	0.000	Merged-chr5-115516638-85
NR1757--MA0641.1.ELF4	chr4	145229288	145229299	+	0.000	0.000	Merged-chr4-145229202-5
NR2310--MA0641.1.ELF4	chr8	122463912	122463923	-	0.000	0.000	Merged-chr8-122464115-42
NR2020--MA0641.1.ELF4	chr6	134333182	134333193	+	0.000	0.000	Merged-chr6-134333133-48
NR128--MA0641.1.ELF4	chr1	156921741	156921752	+	0.000	0.000	Merged-chr1-156921832-27
NR2016--MA0641.1.ELF4	chr6	129406137	129406148	+	0.000	0.000	Merged-chr6-129406250-15
NR2164--MA0641.1.ELF4	chr7	112210218	112210229	+	0.000	0.000	Merged-chr7-112210103-38
NR2285--MA0641.1.ELF4	chr8	106643248	106643259	-	0.000	0.000	Merged-chr8-106643215-49
NR505--MA0641.1.ELF4	chr11	120784270	120784281	+	0.000	0.000	Merged-chr11-120784342-58
NR1979--MA0641.1.ELF4	chr6	95621889	95621900	+	0.000	0.000	Merged-chr6-95621938-31
NR1885--MA0641.1.ELF4	chr5	139775709	139775720	+	0.000	0.000	Merged-chr5-139775648-51
NR1997--MA0641.1.ELF4	chr6	115971342	115971353	-	0.000	0.000	Merged-chr6-115971349-10
NR2318--MA0641.1.ELF4	chr8	124242384	124242395	-	0.000	0.000	Merged-chr8-124242348-54
NR578--MA0641.1.ELF4	chr12	84206914	84206925	-	0.000	0.000	Merged-chr12-84206763-48
NR2372--MA0641.1.ELF4	chr9	48817512	48817523	-	0.000	0.000	Merged-chr9-48817420-28
NR1972--MA0641.1.ELF4	chr6	88769725	88769736	+	0.000	0.000	Merged-chr6-88769866-45
NR740--MA0641.1.ELF4	chr13	104139774	104139785	+	0.000	0.000	Merged-chr13-104139835-43
NR2503--MA0641.1.ELF4	chrX	100504401	100504412	-	0.000	0.000	Merged-chrX-100504535-34
NR530--MA0641.1.ELF4	chr12	25255010	25255021	+	0.000	0.000	Merged-chr12-25254889-35
NR629--MA0641.1.ELF4	chr13	4191167	4191178	-	0.000	0.000	Merged-chr13-4191269-39
NR1566--MA0641.1.ELF4	chr3	97796858	97796869	-	0.000	0.000	Merged-chr3-97796692-21
NR571--MA0641.1.ELF4	chr12	78981009	78981020	-	0.000	0.000	Merged-chr12-78980936-73
NR455--MA0641.1.ELF4	chr11	95805235	95805246	-	0.000	0.000	Merged-chr11-95805339-25
NR473--MA0641.1.ELF4	chr11	106272806	106272817	-	0.000	0.000	Merged-chr11-106272877-78
NR2455--MA0641.1.ELF4	chr9	111046422	111046433	-	0.000	0.000	Merged-chr9-111046426-26
NR1907--MA0641.1.ELF4	chr5	149246224	149246235	+	0.000	0.000	Merged-chr5-149246178-51
NR487--MA0641.1.ELF4	chr11	115475668	115475679	+	0.000	0.000	Merged-chr11-115475686-55
NR1294--MA0641.1.ELF4	chr19	57970720	57970731	-	0.000	0.000	Merged-chr19-57970893-58
NR944--MA0641.1.ELF4	chr15	101388063	101388074	-	0.000	0.000	Merged-chr15-101388154-52
NR295--MA0641.1.ELF4	chr10	99127217	99127228	+	0.000	0.000	Merged-chr10-99127099-1
NR837--MA0641.1.ELF4	chr14	75034283	75034294	-	0.000	0.000	Merged-chr14-75034378-51
NR622--MA0641.1.ELF4	chr12	117418165	117418176	+	0.000	0.000	Merged-chr12-117418203-35
NR50--MA0641.1.ELF4	chr1	69454206	69454217	+	0.000	0.000	Merged-chr1-69454132-24
NR1886--MA0641.1.ELF4	chr5	140999186	140999197	+	0.000	0.000	Merged-chr5-140999389-30
NR1998--MA0641.1.ELF4	chr6	115971425	115971436	+	0.000	0.000	Merged-chr6-115971349-10
NR408--MA0641.1.ELF4	chr11	62576653	62576664	-	0.000	0.000	Merged-chr11-62576695-29
NR556--MA0641.1.ELF4	chr12	69579725	69579736	-	0.000	0.000	Merged-chr12-69579802-27
NR2453--MA0641.1.ELF4	chr9	110641209	110641220	-	0.000	0.000	Merged-chr9-110641188-21
NR480--MA0641.1.ELF4	chr11	109495041	109495052	-	0.000	0.000	Merged-chr11-109495099-18
NR1229--MA0641.1.ELF4	chr18	80686236	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR2319--MA0641.1.ELF4	chr8	124520793	124520804	+	0.000	0.000	Merged-chr8-124520851-52
NR1265--MA0641.1.ELF4	chr19	31337438	31337449	-	0.000	0.000	Merged-chr19-31337298-1
NR1171--MA0641.1.ELF4	chr18	31911272	31911283	-	0.000	0.000	Merged-chr18-31911303-2
NR499--MA0641.1.ELF4	chr11	119491364	119491375	+	0.000	0.000	Merged-chr11-119491430-54
NR2293--MA0641.1.ELF4	chr8	111030249	111030260	+	0.000	0.000	Merged-chr8-111030084-39
NR1414--MA0641.1.ELF4	chr2	119787522	119787533	-	0.000	0.000	Merged-chr2-119787564-60
NR1320--MA0641.1.ELF4	chr2	29725208	29725219	-	0.000	0.000	Merged-chr2-29725132-37
NR1790--MA0641.1.ELF4	chr5	31596876	31596887	-	0.000	0.000	Merged-chr5-31596875-46
NR1030--MA0641.1.ELF4	chr16	90475941	90475952	-	0.000	0.000	Merged-chr16-90475942-51
