#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR4622--MA0473.2.ELF1	chr18	14604614	14604625	-	0.000	0.000	Merged-chr18-14604609-11
NR2258--MA0640.1.ELF3	chr12	99565809	99565821	-	0.000	0.000	Merged-chr12-99565808-18
NR6613--MA0640.1.ELF3	chr3	142281041	142281053	-	0.000	0.000	Merged-chr3-142281213-32
NR1513--MA0640.1.ELF3	chr11	62576652	62576664	-	0.000	0.000	Merged-chr11-62576695-29
NR9869--MA0641.1.ELF4	chr9	72097346	72097357	-	0.000	0.000	Merged-chr9-72097262-35
NR5090--MA0473.2.ELF1	chr19	32869427	32869438	-	0.000	0.000	Merged-chr19-32869388-31
NR3565--MA0136.2.ELF5	chr15	80216606	80216616	-	0.000	0.000	Merged-chr15-80216610-25
NR9866--MA0473.2.ELF1	chr9	72097346	72097357	-	0.000	0.000	Merged-chr9-72097262-35
NR8795--MA0136.2.ELF5	chr7	98809736	98809746	-	0.000	0.000	Merged-chr7-98809754-32
NR7488--MA0641.1.ELF4	chr5	65653942	65653953	+	0.000	0.000	Merged-chr5-65654078-14
NR6645--MA0640.1.ELF3	chr3	148419859	148419871	+	0.000	0.000	Merged-chr3-148419698-33
NR3337--MA0136.2.ELF5	chr15	27578205	27578215	+	0.000	0.000	Merged-chr15-27578127-37
NR8283--MA0640.1.ELF3	chr6	120473592	120473604	-	0.000	0.000	Merged-chr6-120473667-10
NR5641--MA0473.2.ELF1	chr2	102852136	102852147	+	0.000	0.000	Merged-chr2-102852175-26
NR5694--MA0640.1.ELF3	chr2	117374443	117374455	+	0.000	0.000	Merged-chr2-117374468-47
NR4335--MA0641.1.ELF4	chr17	45488789	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR4897--MA0136.2.ELF5	chr18	80686236	80686246	-	0.000	0.000	Merged-chr18-80686265-50
NR765--MA0640.1.ELF3	chr1	189608792	189608804	+	0.000	0.000	Merged-chr1-189608778-45
NR6844--MA0136.2.ELF5	chr4	62481416	62481426	+	0.000	0.000	Merged-chr4-62481319-32
NR2037--MA0136.2.ELF5	chr12	35123734	35123744	-	0.000	0.000	Merged-chr12-35123715-16
NR5649--MA0641.1.ELF4	chr2	103754816	103754827	-	0.000	0.000	Merged-chr2-103754819-28
NR2843--MA0136.2.ELF5	chr13	113580129	113580139	+	0.000	0.000	Merged-chr13-113580257-62
NR5544--MA0136.2.ELF5	chr2	79122881	79122891	-	0.000	0.000	Merged-chr2-79122721-3
NR7396--MA0473.2.ELF1	chr5	28315734	28315745	-	0.000	0.000	Merged-chr5-28315754-44
NR9343--MA0473.2.ELF1	chr8	91082196	91082207	+	0.000	0.000	Merged-chr8-91082333-75
NR3163--MA0136.2.ELF5	chr14	72778075	72778085	-	0.000	0.000	Merged-chr14-72778135-45
NR3994--MA0640.1.ELF3	chr16	91780990	91781002	+	0.000	0.000	Merged-chr16-91781071-63
NR7075--MA0136.2.ELF5	chr4	128594169	128594179	+	0.000	0.000	Merged-chr4-128594333-42
NR9812--MA0641.1.ELF4	chr9	62455348	62455359	-	0.000	0.000	Merged-chr9-62455455-9
NR66--MA0136.2.ELF5	chr1	37481431	37481441	-	0.000	0.000	Merged-chr1-37481502-14
NR10371--MA0473.2.ELF1	chrX	136986218	136986229	+	0.000	0.000	Merged-chrX-136986316-28
NR9867--MA0640.1.ELF3	chr9	72097345	72097357	-	0.000	0.000	Merged-chr9-72097262-35
NR8508--MA0641.1.ELF4	chr7	19322574	19322585	+	0.000	0.000	Merged-chr7-19322692-6
NR3113--MA0640.1.ELF3	chr14	64487029	64487041	+	0.000	0.000	Merged-chr14-64487000-12
NR6577--MA0136.2.ELF5	chr3	136698020	136698030	+	0.000	0.000	Merged-chr3-136697993-45
NR919--MA0640.1.ELF3	chr10	54041060	54041072	-	0.000	0.000	Merged-chr10-54040975-1
NR3518--MA0136.2.ELF5	chr15	78248552	78248562	-	0.000	0.000	Merged-chr15-78248653-25
NR1136--MA0473.2.ELF1	chr10	95180325	95180336	-	0.000	0.000	Merged-chr10-95180406-32
NR5091--MA0641.1.ELF4	chr19	32869427	32869438	-	0.000	0.000	Merged-chr19-32869388-31
NR377--MA0641.1.ELF4	chr1	133763354	133763365	+	0.000	0.000	Merged-chr1-133763303-37
NR3104--MA0641.1.ELF4	chr14	62845239	62845250	+	0.000	0.000	Merged-chr14-62845397-18
NR7150--MA0641.1.ELF4	chr4	134117194	134117205	-	0.000	0.000	Merged-chr4-134117148-42
NR8357--MA0640.1.ELF3	chr6	129817884	129817896	+	0.000	0.000	Merged-chr6-129817846-22
NR3101--MA0473.2.ELF1	chr14	62845239	62845250	+	0.000	0.000	Merged-chr14-62845397-18
NR8211--MA0136.2.ELF5	chr6	108922759	108922769	+	0.000	0.000	Merged-chr6-108922782-44
NR2030--MA0136.2.ELF5	chr12	32285291	32285301	+	0.000	0.000	Merged-chr12-32285209-18
NR3571--MA0473.2.ELF1	chr15	80639246	80639257	+	0.000	0.000	Merged-chr15-80639278-38
NR1840--MA0136.2.ELF5	chr11	113153519	113153529	-	0.000	0.000	Merged-chr11-113153533-26
NR9344--MA0640.1.ELF3	chr8	91082196	91082208	+	0.000	0.000	Merged-chr8-91082333-75
NR7014--MA0136.2.ELF5	chr4	121024097	121024107	+	0.000	0.000	Merged-chr4-121024111-11
NR3830--MA0640.1.ELF3	chr16	32651185	32651197	-	0.000	0.000	Merged-chr16-32651222-48
NR8341--MA0136.2.ELF5	chr6	127617402	127617412	-	0.000	0.000	Merged-chr6-127617353-34
NR6148--MA0136.2.ELF5	chr3	28244401	28244411	-	0.000	0.000	Merged-chr3-28244555-21
NR1706--MA0136.2.ELF5	chr11	95351191	95351201	-	0.000	0.000	Merged-chr11-95351110-19
NR4322--MA0136.2.ELF5	chr17	36971682	36971692	-	0.000	0.000	Merged-chr17-36971617-22
NR5432--MA0641.1.ELF4	chr2	53088932	53088943	+	0.000	0.000	Merged-chr2-53088913-36
NR9810--MA0640.1.ELF3	chr9	62455347	62455359	-	0.000	0.000	Merged-chr9-62455455-9
NR4658--MA0136.2.ELF5	chr18	32994120	32994130	-	0.000	0.000	Merged-chr18-32994204-28
NR2259--MA0136.2.ELF5	chr12	99565810	99565820	-	0.000	0.000	Merged-chr12-99565808-18
NR4804--MA0640.1.ELF3	chr18	62164387	62164399	-	0.000	0.000	Merged-chr18-62164450-51
NR2279--MA0641.1.ELF4	chr12	102945744	102945755	+	0.000	0.000	Merged-chr12-102945751-11
