#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR4241--MA0149.1.EWSR1-FLI1	chr15	75634657	75634674	-	0.000	0.000	Merged-chr15-75634516-4
NR3003--MA0149.1.EWSR1-FLI1	chr13	53390320	53390337	+	0.000	0.000	Merged-chr13-53390437-27
NR4219--MA0149.1.EWSR1-FLI1	chr15	73627643	73627660	+	0.000	0.000	Merged-chr15-73627530-51
NR11291--MA0149.1.EWSR1-FLI1	chr8	95142682	95142699	-	0.000	0.000	Merged-chr8-95142662-41
NR12381--MA0475.2.FLI1	chrX	106962412	106962421	+	0.000	0.000	Merged-chrX-106962471-28
NR3356--MA0475.2.FLI1	chr13	113418396	113418405	+	0.000	0.000	Merged-chr13-113418245-6
NR7486--MA0149.1.EWSR1-FLI1	chr3	101066280	101066297	+	0.000	0.000	Merged-chr3-101066330-34
NR8744--MA0149.1.EWSR1-FLI1	chr5	33125252	33125269	+	0.000	0.000	Merged-chr5-33125438-11
NR12391--MA0149.1.EWSR1-FLI1	chrX	114474282	114474299	+	0.000	0.000	Merged-chrX-114474330-36
NR7548--MA0149.1.EWSR1-FLI1	chr3	109371634	109371651	-	0.000	0.000	Merged-chr3-109371864-26
NR5571--MA0149.1.EWSR1-FLI1	chr18	56810059	56810076	-	0.000	0.000	Merged-chr18-56810000-44
NR9389--MA0149.1.EWSR1-FLI1	chr5	149440183	149440200	+	0.000	0.000	Merged-chr5-149439971-46
NR12369--MA0149.1.EWSR1-FLI1	chrX	104033879	104033896	-	0.000	0.000	Merged-chrX-104034056-13
NR2741--MA0475.2.FLI1	chr12	110210356	110210365	+	0.000	0.000	Merged-chr12-110210281-21
NR2186--MA0475.2.FLI1	chr11	108901270	108901279	-	0.000	0.000	Merged-chr11-108901238-21
NR10575--MA0149.1.EWSR1-FLI1	chr7	96920766	96920783	+	0.000	0.000	Merged-chr7-96920782-38
NR477--MA0149.1.EWSR1-FLI1	chr1	128667543	128667560	-	0.000	0.000	Merged-chr1-128667443-20
NR3182--MA0475.2.FLI1	chr13	93546231	93546240	+	0.000	0.000	Merged-chr13-93546286-16
NR9596--MA0475.2.FLI1	chr6	59185549	59185558	-	0.000	0.000	Merged-chr6-59185393-33
NR1562--MA0475.2.FLI1	chr10	121264130	121264139	+	0.000	0.000	Merged-chr10-121264138-48
NR2193--MA0149.1.EWSR1-FLI1	chr11	109375544	109375561	+	0.000	0.000	Merged-chr11-109375589-56
NR10637--MA0149.1.EWSR1-FLI1	chr7	104647327	104647344	-	0.000	0.000	Merged-chr7-104647244-39
NR6998--MA0475.2.FLI1	chr2	163123634	163123643	-	0.000	0.000	Merged-chr2-163123770-16
NR2376--MA0149.1.EWSR1-FLI1	chr12	12287519	12287536	+	0.000	0.000	Merged-chr12-12287538-60
NR1674--MA0475.2.FLI1	chr11	11726279	11726288	-	0.000	0.000	Merged-chr11-11726036-106
NR1961--MA0149.1.EWSR1-FLI1	chr11	74444200	74444217	+	0.000	0.000	Merged-chr11-74444076-12
NR848--MA0149.1.EWSR1-FLI1	chr1	180483502	180483519	+	0.000	0.000	Merged-chr1-180483466-4
NR3204--MA0149.1.EWSR1-FLI1	chr13	97386801	97386818	-	0.000	0.000	Merged-chr13-97386814-39
NR3066--MA0475.2.FLI1	chr13	64432482	64432491	-	0.000	0.000	Merged-chr13-64432516-70
NR4054--MA0149.1.EWSR1-FLI1	chr15	12104018	12104035	+	0.000	0.000	Merged-chr15-12104064-10
NR9368--MA0475.2.FLI1	chr5	148501373	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR2255--MA0149.1.EWSR1-FLI1	chr11	114945153	114945170	+	0.000	0.000	Merged-chr11-114945333-7
NR11549--MA0149.1.EWSR1-FLI1	chr9	15534348	15534365	-	0.000	0.000	Merged-chr9-15534330-2
NR1101--MA0149.1.EWSR1-FLI1	chr10	38884942	38884959	+	0.000	0.000	Merged-chr10-38884993-65
NR8878--MA0149.1.EWSR1-FLI1	chr5	75661048	75661065	-	0.000	0.000	Merged-chr5-75660966-11
NR5045--MA0149.1.EWSR1-FLI1	chr17	32341338	32341355	-	0.000	0.000	Merged-chr17-32341276-19
NR3597--MA0149.1.EWSR1-FLI1	chr14	46671216	46671233	-	0.000	0.000	Merged-chr14-46671310-13
NR6078--MA0149.1.EWSR1-FLI1	chr2	12924013	12924030	+	0.000	0.000	Merged-chr2-12924162-70
NR4813--MA0149.1.EWSR1-FLI1	chr16	84995801	84995818	+	0.000	0.000	Merged-chr16-84995665-26
NR1190--MA0149.1.EWSR1-FLI1	chr10	62187112	62187129	-	0.000	0.000	Merged-chr10-62187045-24
NR7417--MA0475.2.FLI1	chr3	89911273	89911282	-	0.000	0.000	Merged-chr3-89911440-10
NR2060--MA0149.1.EWSR1-FLI1	chr11	96462409	96462426	-	0.000	0.000	Merged-chr11-96462507-15
NR1314--MA0149.1.EWSR1-FLI1	chr10	80152172	80152189	-	0.000	0.000	Merged-chr10-80152261-5
NR11846--MA0149.1.EWSR1-FLI1	chr9	78732426	78732443	-	0.000	0.000	Merged-chr9-78732444-13
