#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR427--MA0062.2.Gabpa	chr10	94846862	94846872	+	0.000	0.000	Merged-chr10-94847043-19
NR1753--MA0062.2.Gabpa	chr18	31911270	31911280	-	0.000	0.000	Merged-chr18-31911303-2
NR106--MA0062.2.Gabpa	chr1	91984723	91984733	+	0.000	0.000	Merged-chr1-91984658-28
NR3051--MA0062.2.Gabpa	chr6	54775988	54775998	+	0.000	0.000	Merged-chr6-54775842-27
NR1485--MA0062.2.Gabpa	chr16	52468635	52468645	+	0.000	0.000	Merged-chr16-52468577-24
NR1071--MA0062.2.Gabpa	chr13	109239449	109239459	-	0.000	0.000	Merged-chr13-109239401-35
NR954--MA0062.2.Gabpa	chr13	38010721	38010731	-	0.000	0.000	Merged-chr13-38010701-23
NR1300--MA0062.2.Gabpa	chr15	61582562	61582572	-	0.000	0.000	Merged-chr15-61582488-19
NR2914--MA0062.2.Gabpa	chr5	115167591	115167601	-	0.000	0.000	Merged-chr5-115167638-30
NR3128--MA0062.2.Gabpa	chr6	119199072	119199082	+	0.000	0.000	Merged-chr6-119199024-52
NR1448--MA0062.2.Gabpa	chr16	32107832	32107842	-	0.000	0.000	Merged-chr16-32108013-65
NR2983--MA0062.2.Gabpa	chr5	146757461	146757471	+	0.000	0.000	Merged-chr5-146757539-9
NR3184--MA0062.2.Gabpa	chr6	142561313	142561323	+	0.000	0.000	Merged-chr6-142561422-52
NR1156--MA0062.2.Gabpa	chr14	55946477	55946487	+	0.000	0.000	Merged-chr14-55946478-14
NR909--MA0062.2.Gabpa	chr13	3611045	3611055	+	0.000	0.000	Merged-chr13-3611189-5
NR3025--MA0062.2.Gabpa	chr6	31216572	31216582	+	0.000	0.000	Merged-chr6-31216711-63
NR455--MA0062.2.Gabpa	chr10	118628150	118628160	-	0.000	0.000	Merged-chr10-118628235-24
NR2675--MA0062.2.Gabpa	chr4	120053796	120053806	-	0.000	0.000	Merged-chr4-120053646-59
NR2925--MA0062.2.Gabpa	chr5	120709171	120709181	+	0.000	0.000	Merged-chr5-120709155-5
NR997--MA0062.2.Gabpa	chr13	62880477	62880487	+	0.000	0.000	Merged-chr13-62880327-44
NR2346--MA0062.2.Gabpa	chr3	41604818	41604828	+	0.000	0.000	Merged-chr3-41604848-38
NR267--MA0062.2.Gabpa	chr1	193198509	193198519	+	0.000	0.000	Merged-chr1-193198474-9
NR3552--MA0062.2.Gabpa	chr8	71668353	71668363	+	0.000	0.000	Merged-chr8-71668308-31
NR3836--MA0062.2.Gabpa	chr9	106312963	106312973	-	0.000	0.000	Merged-chr9-106313051-17
NR1768--MA0062.2.Gabpa	chr18	39185920	39185930	+	0.000	0.000	Merged-chr18-39185847-29
NR1083--MA0062.2.Gabpa	chr13	115179338	115179348	-	0.000	0.000	Merged-chr13-115179427-17
NR3645--MA0062.2.Gabpa	chr8	122474338	122474348	-	0.000	0.000	Merged-chr8-122474248-52
NR661--MA0062.2.Gabpa	chr11	100804649	100804659	+	0.000	0.000	Merged-chr11-100804708-41
NR911--MA0062.2.Gabpa	chr13	4191165	4191175	-	0.000	0.000	Merged-chr13-4191269-39
NR3637--MA0062.2.Gabpa	chr8	121570335	121570345	-	0.000	0.000	Merged-chr8-121570466-14
NR1176--MA0062.2.Gabpa	chr14	66805606	66805616	+	0.000	0.000	Merged-chr14-66805736-29
NR23--MA0062.2.Gabpa	chr1	36282005	36282015	+	0.000	0.000	Merged-chr1-36282158-44
NR998--MA0062.2.Gabpa	chr13	62880526	62880536	-	0.000	0.000	Merged-chr13-62880327-44
NR855--MA0062.2.Gabpa	chr12	92823580	92823590	+	0.000	0.000	Merged-chr12-92823421-39
NR964--MA0062.2.Gabpa	chr13	45455805	45455815	+	0.000	0.000	Merged-chr13-45455779-40
NR292--MA0062.2.Gabpa	chr10	21976494	21976504	-	0.000	0.000	Merged-chr10-21976372-39
NR162--MA0062.2.Gabpa	chr1	139413663	139413673	+	0.000	0.000	Merged-chr1-139413614-14
NR2924--MA0062.2.Gabpa	chr5	120688594	120688604	+	0.000	0.000	Merged-chr5-120688663-27
NR1187--MA0062.2.Gabpa	chr14	70283699	70283709	+	0.000	0.000	Merged-chr14-70283811-50
NR1831--MA0062.2.Gabpa	chr18	81423565	81423575	+	0.000	0.000	Merged-chr18-81423542-12
NR1640--MA0062.2.Gabpa	chr17	35870335	35870345	+	0.000	0.000	Merged-chr17-35870412-57
NR2377--MA0062.2.Gabpa	chr3	79181774	79181784	-	0.000	0.000	Merged-chr3-79181699-42
NR375--MA0062.2.Gabpa	chr10	77537975	77537985	-	0.000	0.000	Merged-chr10-77538017-2
NR279--MA0062.2.Gabpa	chr10	8535555	8535565	-	0.000	0.000	Merged-chr10-8535682-19
NR1754--MA0062.2.Gabpa	chr18	31911299	31911309	+	0.000	0.000	Merged-chr18-31911303-2
NR2348--MA0062.2.Gabpa	chr3	51270156	51270166	-	0.000	0.000	Merged-chr3-51270328-58
NR1738--MA0062.2.Gabpa	chr18	7869019	7869029	+	0.000	0.000	Merged-chr18-7869140-116
NR3365--MA0062.2.Gabpa	chr7	89253015	89253025	-	0.000	0.000	Merged-chr7-89253007-2
NR3474--MA0062.2.Gabpa	chr8	3355806	3355816	-	0.000	0.000	Merged-chr8-3355667-46
NR1744--MA0062.2.Gabpa	chr18	23734945	23734955	+	0.000	0.000	Merged-chr18-23734973-16
NR692--MA0062.2.Gabpa	chr11	107458530	107458540	+	0.000	0.000	Merged-chr11-107458669-70
NR1377--MA0062.2.Gabpa	chr15	99335952	99335962	-	0.000	0.000	Merged-chr15-99336095-27
NR2801--MA0062.2.Gabpa	chr5	31602549	31602559	-	0.000	0.000	Merged-chr5-31602596-35
NR1858--MA0062.2.Gabpa	chr19	5571992	5572002	+	0.000	0.000	Merged-chr19-5572133-30
NR663--MA0062.2.Gabpa	chr11	101082526	101082536	+	0.000	0.000	Merged-chr11-101082516-61
NR1199--MA0062.2.Gabpa	chr14	75034281	75034291	-	0.000	0.000	Merged-chr14-75034378-51
