#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR112--MA0641.1.ELF4	chr1	153617598	153617609	+	0.000	0.000	Merged-chr1-153617501-53
NR1119--MA0641.1.ELF4	chr17	78351748	78351759	-	0.000	0.000	Merged-chr17-78351969-128
NR2044--MA0641.1.ELF4	chr6	119199069	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR828--MA0641.1.ELF4	chr14	120572386	120572397	+	0.000	0.000	Merged-chr14-120572441-59
NR2080--MA0641.1.ELF4	chr6	142561310	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR2172--MA0641.1.ELF4	chr7	81863359	81863370	+	0.000	0.000	Merged-chr7-81863346-31
NR1615--MA0641.1.ELF4	chr3	130796687	130796698	-	0.000	0.000	Merged-chr3-130796721-21
NR1311--MA0641.1.ELF4	chr2	23041621	23041632	-	0.000	0.000	Merged-chr2-23041695-10
NR1003--MA0641.1.ELF4	chr17	5798601	5798612	+	0.000	0.000	Merged-chr17-5798527-14
NR429--MA0641.1.ELF4	chr11	89024285	89024296	+	0.000	0.000	Merged-chr11-89024298-29
NR1971--MA0641.1.ELF4	chr6	42343588	42343599	-	0.000	0.000	Merged-chr6-42343728-43
NR399--MA0641.1.ELF4	chr11	73132331	73132342	-	0.000	0.000	Merged-chr11-73132319-6
NR977--MA0641.1.ELF4	chr16	76357293	76357304	+	0.000	0.000	Merged-chr16-76357413-27
NR404--MA0641.1.ELF4	chr11	76209998	76210009	+	0.000	0.000	Merged-chr11-76209894-14
NR516--MA0641.1.ELF4	chr12	34806744	34806755	-	0.000	0.000	Merged-chr12-34806738-15
NR1529--MA0641.1.ELF4	chr3	32409319	32409330	-	0.000	0.000	Merged-chr3-32409159-38
NR1583--MA0641.1.ELF4	chr3	106493373	106493384	+	0.000	0.000	Merged-chr3-106493265-20
NR1122--MA0641.1.ELF4	chr17	80067466	80067477	+	0.000	0.000	Merged-chr17-80067484-12
NR79--MA0641.1.ELF4	chr1	128417149	128417160	-	0.000	0.000	Merged-chr1-128417160-94
NR123--MA0641.1.ELF4	chr1	162565204	162565215	+	0.000	0.000	Merged-chr1-162565187-22
NR244--MA0641.1.ELF4	chr10	80693003	80693014	+	0.000	0.000	Merged-chr10-80692829-7
NR486--MA0641.1.ELF4	chr11	118260235	118260246	+	0.000	0.000	Merged-chr11-118260262-42
NR2039--MA0641.1.ELF4	chr6	115971342	115971353	-	0.000	0.000	Merged-chr6-115971349-10
NR948--MA0641.1.ELF4	chr16	32658909	32658920	+	0.000	0.000	Merged-chr16-32659000-27
NR1867--MA0641.1.ELF4	chr5	107546224	107546235	-	0.000	0.000	Merged-chr5-107546120-23
NR1721--MA0641.1.ELF4	chr4	124755687	124755698	+	0.000	0.000	Merged-chr4-124755730-37
NR2041--MA0641.1.ELF4	chr6	117874786	117874797	+	0.000	0.000	Merged-chr6-117874923-6
NR807--MA0641.1.ELF4	chr14	103363319	103363330	-	0.000	0.000	Merged-chr14-103363341-36
NR2158--MA0641.1.ELF4	chr7	67421966	67421977	-	0.000	0.000	Merged-chr7-67421949-40
NR1025--MA0641.1.ELF4	chr17	21383681	21383692	+	0.000	0.000	Merged-chr17-21383828-70
NR1943--MA0641.1.ELF4	chr5	150262968	150262979	-	0.000	0.000	Merged-chr5-150262822-29
NR542--MA0641.1.ELF4	chr12	76085162	76085173	+	0.000	0.000	Merged-chr12-76085234-6
NR1037--MA0641.1.ELF4	chr17	25016824	25016835	-	0.000	0.000	Merged-chr17-25016921-2
NR924--MA0641.1.ELF4	chr16	8843216	8843227	-	0.000	0.000	Merged-chr16-8843171-18
NR821--MA0641.1.ELF4	chr14	118834426	118834437	-	0.000	0.000	Merged-chr14-118834540-52
NR616--MA0641.1.ELF4	chr13	4191167	4191178	-	0.000	0.000	Merged-chr13-4191269-39
NR1357--MA0641.1.ELF4	chr2	57356668	57356679	-	0.000	0.000	Merged-chr2-57356493-40
NR1026--MA0641.1.ELF4	chr17	21383718	21383729	+	0.000	0.000	Merged-chr17-21383828-70
NR1290--MA0641.1.ELF4	chr19	61265616	61265627	+	0.000	0.000	Merged-chr19-61265627-44
NR1259--MA0641.1.ELF4	chr19	36926076	36926087	-	0.000	0.000	Merged-chr19-36926163-72
NR291--MA0641.1.ELF4	chr10	117925769	117925780	-	0.000	0.000	Merged-chr10-117925903-63
NR605--MA0641.1.ELF4	chr12	117418165	117418176	+	0.000	0.000	Merged-chr12-117418203-35
