#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR9714--MA0136.2.ELF5	chr7	127922763	127922773	-	0.000	0.000	Merged-chr7-127922827-35
NR2555--MA0136.2.ELF5	chr12	109067867	109067877	-	0.000	0.000	Merged-chr12-109068052-48
NR4981--MA0136.2.ELF5	chr17	88386846	88386856	+	0.000	0.000	Merged-chr17-88387050-12
NR4067--MA0473.2.ELF1	chr15	100182724	100182735	-	0.000	0.000	Merged-chr15-100182935-17
NR4507--MA0136.2.ELF5	chr16	96208604	96208614	-	0.000	0.000	Merged-chr16-96208613-13
NR925--MA0641.1.ELF4	chr10	21395589	21395600	+	0.000	0.000	Merged-chr10-21395563-5
NR8573--MA0641.1.ELF4	chr6	57449465	57449476	+	0.000	0.000	Merged-chr6-57449516-18
NR8665--MA0136.2.ELF5	chr6	83413099	83413109	-	0.000	0.000	Merged-chr6-83413092-38
NR9079--MA0136.2.ELF5	chr7	4464553	4464563	-	0.000	0.000	Merged-chr7-4464501-45
NR2836--MA0640.1.ELF3	chr13	48842447	48842459	-	0.000	0.000	Merged-chr13-48842323-16
NR8795--MA0136.2.ELF5	chr6	113645080	113645090	-	0.000	0.000	Merged-chr6-113645003-16
NR4223--MA0641.1.ELF4	chr16	21835895	21835906	+	0.000	0.000	Merged-chr16-21835778-19
NR7068--MA0640.1.ELF3	chr3	143647080	143647092	-	0.000	0.000	Merged-chr3-143647123-49
NR5443--MA0641.1.ELF4	chr19	9066092	9066103	+	0.000	0.000	Merged-chr19-9066188-87
NR8709--MA0640.1.ELF3	chr6	91698969	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR3811--MA0473.2.ELF1	chr15	49671413	49671424	-	0.000	0.000	Merged-chr15-49671464-12
NR5023--MA0640.1.ELF3	chr18	6484957	6484969	-	0.000	0.000	Merged-chr18-6484878-33
