#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR132--MA0641.1.ELF4	chr1	51585134	51585145	-	0.000	0.000	Merged-chr1-51585090-58
NR3551--MA0136.2.ELF5	chr14	70798837	70798847	+	0.000	0.000	Merged-chr14-70798760-56
NR4949--MA0473.2.ELF1	chr17	86323620	86323631	+	0.000	0.000	Merged-chr17-86323453-65
NR10157--MA0641.1.ELF4	chr8	111030249	111030260	+	0.000	0.000	Merged-chr8-111030084-39
NR7013--MA0641.1.ELF4	chr3	131250570	131250581	-	0.000	0.000	Merged-chr3-131250529-24
NR1746--MA0640.1.ELF3	chr11	69073536	69073548	-	0.000	0.000	Merged-chr11-69073525-67
NR9869--MA0641.1.ELF4	chr8	35674896	35674907	+	0.000	0.000	Merged-chr8-35674862-23
NR8923--MA0640.1.ELF3	chr6	130312007	130312019	+	0.000	0.000	Merged-chr6-130312055-26
NR840--MA0641.1.ELF4	chr1	193181164	193181175	+	0.000	0.000	Merged-chr1-193181317-39
NR932--MA0136.2.ELF5	chr10	21419426	21419436	-	0.000	0.000	Merged-chr10-21419295-38
NR7458--MA0473.2.ELF1	chr4	97861176	97861187	-	0.000	0.000	Merged-chr4-97861060-64
NR6387--MA0136.2.ELF5	chr2	164867046	164867056	-	0.000	0.000	Merged-chr2-164866998-31
NR5624--MA0136.2.ELF5	chr19	57970720	57970730	-	0.000	0.000	Merged-chr19-57970893-58
NR6049--MA0641.1.ELF4	chr2	103754816	103754827	-	0.000	0.000	Merged-chr2-103754819-28
NR5098--MA0641.1.ELF4	chr18	32880675	32880686	+	0.000	0.000	Merged-chr18-32880667-46
NR928--MA0136.2.ELF5	chr10	21419395	21419405	-	0.000	0.000	Merged-chr10-21419295-38
NR6855--MA0641.1.ELF4	chr3	101296566	101296577	+	0.000	0.000	Merged-chr3-101296410-67
NR4447--MA0641.1.ELF4	chr16	78560287	78560298	-	0.000	0.000	Merged-chr16-78560297-42
NR6852--MA0473.2.ELF1	chr3	101296566	101296577	+	0.000	0.000	Merged-chr3-101296410-67
NR9010--MA0641.1.ELF4	chr6	142561358	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR7039--MA0136.2.ELF5	chr3	137833472	137833482	-	0.000	0.000	Merged-chr3-137833460-41
NR7970--MA0136.2.ELF5	chr5	62574659	62574669	+	0.000	0.000	Merged-chr5-62574565-45
NR7198--MA0641.1.ELF4	chr4	10940842	10940853	-	0.000	0.000	Merged-chr4-10940994-39
NR4477--MA0136.2.ELF5	chr16	90475941	90475951	-	0.000	0.000	Merged-chr16-90475942-51
NR7187--MA0136.2.ELF5	chr4	6925041	6925051	+	0.000	0.000	Merged-chr4-6924913-49
NR9801--MA0136.2.ELF5	chr8	11464235	11464245	-	0.000	0.000	Merged-chr8-11464225-54
NR8062--MA0136.2.ELF5	chr5	92000977	92000987	-	0.000	0.000	Merged-chr5-92000971-27
NR7872--MA0136.2.ELF5	chr5	28269924	28269934	-	0.000	0.000	Merged-chr5-28269924-54
NR6104--MA0641.1.ELF4	chr2	117089742	117089753	+	0.000	0.000	Merged-chr2-117089625-28
NR1230--MA0136.2.ELF5	chr10	93818902	93818912	-	0.000	0.000	Merged-chr10-93818937-32
NR4822--MA0136.2.ELF5	chr17	46829109	46829119	-	0.000	0.000	Merged-chr17-46829209-35
NR10121--MA0136.2.ELF5	chr8	106643248	106643258	-	0.000	0.000	Merged-chr8-106643215-49
NR6101--MA0473.2.ELF1	chr2	117089742	117089753	+	0.000	0.000	Merged-chr2-117089625-28
NR562--MA0136.2.ELF5	chr1	155223188	155223198	+	0.000	0.000	Merged-chr1-155223277-24
NR4986--MA0640.1.ELF3	chr17	88479260	88479272	-	0.000	0.000	Merged-chr17-88479234-18
NR130--MA0641.1.ELF4	chr1	51577824	51577835	-	0.000	0.000	Merged-chr1-51577937-41
NR3522--MA0136.2.ELF5	chr14	67878079	67878089	+	0.000	0.000	Merged-chr14-67877957-30
NR2203--MA0473.2.ELF1	chr12	25255010	25255021	+	0.000	0.000	Merged-chr12-25254889-35
NR3079--MA0136.2.ELF5	chr13	98832685	98832695	-	0.000	0.000	Merged-chr13-98832743-37
NR10023--MA0136.2.ELF5	chr8	83779718	83779728	+	0.000	0.000	Merged-chr8-83779707-23
NR2795--MA0136.2.ELF5	chr13	38503676	38503686	+	0.000	0.000	Merged-chr13-38503650-43
NR9860--MA0136.2.ELF5	chr8	34654866	34654876	+	0.000	0.000	Merged-chr8-34654936-23
NR4975--MA0136.2.ELF5	chr17	88123916	88123926	-	0.000	0.000	Merged-chr17-88123873-45
NR6853--MA0640.1.ELF3	chr3	101296566	101296578	+	0.000	0.000	Merged-chr3-101296410-67
NR3565--MA0641.1.ELF4	chr14	73290133	73290144	-	0.000	0.000	Merged-chr14-73290096-39
NR5512--MA0641.1.ELF4	chr19	31337438	31337449	-	0.000	0.000	Merged-chr19-31337298-1
NR599--MA0136.2.ELF5	chr1	160054531	160054541	-	0.000	0.000	Merged-chr1-160054348-51
NR11032--MA0473.2.ELF1	chrX	100504401	100504412	-	0.000	0.000	Merged-chrX-100504535-34
NR10843--MA0136.2.ELF5	chr9	114787948	114787958	-	0.000	0.000	Merged-chr9-114787935-34
NR6862--MA0641.1.ELF4	chr3	102755966	102755977	-	0.000	0.000	Merged-chr3-102756086-59
NR6184--MA0136.2.ELF5	chr2	127923488	127923498	-	0.000	0.000	Merged-chr2-127923410-36
NR3228--MA0136.2.ELF5	chr13	117223279	117223289	+	0.000	0.000	Merged-chr13-117223399-24
NR6102--MA0640.1.ELF3	chr2	117089742	117089754	+	0.000	0.000	Merged-chr2-117089625-28
NR4285--MA0640.1.ELF3	chr16	32651185	32651197	-	0.000	0.000	Merged-chr16-32651222-48
NR9472--MA0136.2.ELF5	chr7	90345045	90345055	-	0.000	0.000	Merged-chr7-90345081-52
NR2204--MA0640.1.ELF3	chr12	25255010	25255022	+	0.000	0.000	Merged-chr12-25254889-35
NR4390--MA0136.2.ELF5	chr16	55735846	55735856	-	0.000	0.000	Merged-chr16-55735684-24
NR5482--MA0641.1.ELF4	chr19	23323347	23323358	+	0.000	0.000	Merged-chr19-23323312-56
NR2506--MA0136.2.ELF5	chr12	99564768	99564778	+	0.000	0.000	Merged-chr12-99564769-43
NR9007--MA0136.2.ELF5	chr6	142561311	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR550--MA0473.2.ELF1	chr1	153288173	153288184	+	0.000	0.000	Merged-chr1-153288080-22
NR551--MA0136.2.ELF5	chr1	153288174	153288184	+	0.000	0.000	Merged-chr1-153288080-22
NR8723--MA0136.2.ELF5	chr6	95621890	95621900	+	0.000	0.000	Merged-chr6-95621938-31
NR3563--MA0640.1.ELF3	chr14	73290132	73290144	-	0.000	0.000	Merged-chr14-73290096-39
NR5510--MA0640.1.ELF3	chr19	31337437	31337449	-	0.000	0.000	Merged-chr19-31337298-1
NR4836--MA0641.1.ELF4	chr17	51814552	51814563	+	0.000	0.000	Merged-chr17-51814512-17
NR2896--MA0136.2.ELF5	chr13	59656576	59656586	-	0.000	0.000	Merged-chr13-59656636-89
NR10119--MA0473.2.ELF1	chr8	106643248	106643259	-	0.000	0.000	Merged-chr8-106643215-49
NR10375--MA0136.2.ELF5	chr9	25191907	25191917	+	0.000	0.000	Merged-chr9-25191824-38
NR6860--MA0640.1.ELF3	chr3	102755965	102755977	-	0.000	0.000	Merged-chr3-102756086-59
NR9776--MA0640.1.ELF3	chr7	142056771	142056783	+	0.000	0.000	Merged-chr7-142056944-50
NR109--MA0136.2.ELF5	chr1	40391598	40391608	+	0.000	0.000	Merged-chr1-40391569-24
NR10508--MA0640.1.ELF3	chr9	60991720	60991732	-	0.000	0.000	Merged-chr9-60991715-48
NR174--MA0641.1.ELF4	chr1	60016451	60016462	+	0.000	0.000	Merged-chr1-60016690-100
NR9868--MA0136.2.ELF5	chr8	35674897	35674907	+	0.000	0.000	Merged-chr8-35674862-23
NR4440--MA0473.2.ELF1	chr16	76549838	76549849	+	0.000	0.000	Merged-chr16-76549789-43
NR8190--MA0640.1.ELF3	chr5	115517733	115517745	-	0.000	0.000	Merged-chr5-115517682-11
NR7642--MA0640.1.ELF3	chr4	130922204	130922216	-	0.000	0.000	Merged-chr4-130922235-36
NR7969--MA0640.1.ELF3	chr5	62574658	62574670	+	0.000	0.000	Merged-chr5-62574565-45
NR6794--MA0640.1.ELF3	chr3	94375597	94375609	+	0.000	0.000	Merged-chr3-94375656-27
NR11111--MA0640.1.ELF3	chrX	136986180	136986192	+	0.000	0.000	Merged-chrX-136986316-28
NR521--MA0473.2.ELF1	chr1	144300846	144300857	+	0.000	0.000	Merged-chr1-144301040-48
NR2091--MA0473.2.ELF1	chr11	119677333	119677344	-	0.000	0.000	Merged-chr11-119677198-48
NR5334--MA0473.2.ELF1	chr18	80686236	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR9134--MA0473.2.ELF1	chr7	16024806	16024817	+	0.000	0.000	Merged-chr7-16024979-19
NR5353--MA0136.2.ELF5	chr18	82607481	82607491	+	0.000	0.000	Merged-chr18-82607647-23
NR7558--MA0640.1.ELF3	chr4	121196715	121196727	-	0.000	0.000	Merged-chr4-121196708-94
NR4286--MA0136.2.ELF5	chr16	32651186	32651196	-	0.000	0.000	Merged-chr16-32651222-48
NR214--MA0136.2.ELF5	chr1	69454207	69454217	+	0.000	0.000	Merged-chr1-69454132-24
NR2205--MA0136.2.ELF5	chr12	25255011	25255021	+	0.000	0.000	Merged-chr12-25254889-35
NR4188--MA0136.2.ELF5	chr16	18075432	18075442	+	0.000	0.000	Merged-chr16-18075425-17
NR4334--MA0640.1.ELF3	chr16	44337607	44337619	+	0.000	0.000	Merged-chr16-44337753-20
NR933--MA0641.1.ELF4	chr10	21419426	21419437	-	0.000	0.000	Merged-chr10-21419295-38
NR10601--MA0473.2.ELF1	chr9	73073390	73073401	-	0.000	0.000	Merged-chr9-73073244-62
NR10808--MA0136.2.ELF5	chr9	110641209	110641219	-	0.000	0.000	Merged-chr9-110641188-21
NR5625--MA0641.1.ELF4	chr19	57970720	57970731	-	0.000	0.000	Merged-chr19-57970893-58
NR11034--MA0136.2.ELF5	chrX	100504401	100504411	-	0.000	0.000	Merged-chrX-100504535-34
NR929--MA0641.1.ELF4	chr10	21419395	21419406	-	0.000	0.000	Merged-chr10-21419295-38
NR926--MA0473.2.ELF1	chr10	21419395	21419406	-	0.000	0.000	Merged-chr10-21419295-38
NR5335--MA0640.1.ELF3	chr18	80686235	80686247	-	0.000	0.000	Merged-chr18-80686265-50
NR8686--MA0473.2.ELF1	chr6	88769725	88769736	+	0.000	0.000	Merged-chr6-88769866-45
NR9135--MA0640.1.ELF3	chr7	16024806	16024818	+	0.000	0.000	Merged-chr7-16024979-19
NR9777--MA0136.2.ELF5	chr7	142056772	142056782	+	0.000	0.000	Merged-chr7-142056944-50
NR7971--MA0641.1.ELF4	chr5	62574658	62574669	+	0.000	0.000	Merged-chr5-62574565-45
