#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR1549--MA0098.3.ETS1	chr17	86833180	86833189	-	0.000	0.000	Merged-chr17-86833009-31
NR94--MA0098.3.ETS1	chr1	92469002	92469011	+	0.000	0.000	Merged-chr1-92469061-38
NR1357--MA0098.3.ETS1	chr16	43650493	43650502	-	0.000	0.000	Merged-chr16-43650685-39
NR2072--MA0098.3.ETS1	chr3	41604830	41604839	-	0.000	0.000	Merged-chr3-41604848-38
NR838--MA0098.3.ETS1	chr13	3611044	3611053	+	0.000	0.000	Merged-chr13-3611189-5
NR3377--MA0098.3.ETS1	chr9	122246091	122246100	+	0.000	0.000	Merged-chr9-122246104-16
NR2708--MA0098.3.ETS1	chr6	119199071	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR1332--MA0098.3.ETS1	chr16	23328323	23328332	-	0.000	0.000	Merged-chr16-23328334-50
NR1574--MA0098.3.ETS1	chr18	31911272	31911281	-	0.000	0.000	Merged-chr18-31911303-2
NR2758--MA0098.3.ETS1	chr6	142561360	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR388--MA0098.3.ETS1	chr10	95196011	95196020	-	0.000	0.000	Merged-chr10-95195945-40
NR1531--MA0098.3.ETS1	chr17	78351748	78351757	-	0.000	0.000	Merged-chr17-78351969-128
NR2836--MA0098.3.ETS1	chr7	31089891	31089900	+	0.000	0.000	Merged-chr7-31089914-34
NR1894--MA0098.3.ETS1	chr2	102850015	102850024	+	0.000	0.000	Merged-chr2-102849968-21
NR3398--MA0098.3.ETS1	chrX	50565234	50565243	-	0.000	0.000	Merged-chrX-50565283-19
NR1568--MA0098.3.ETS1	chr18	23734944	23734953	+	0.000	0.000	Merged-chr18-23734973-16
NR3010--MA0098.3.ETS1	chr8	3355808	3355817	-	0.000	0.000	Merged-chr8-3355667-46
NR16--MA0098.3.ETS1	chr1	36282004	36282013	+	0.000	0.000	Merged-chr1-36282158-44
NR3145--MA0098.3.ETS1	chr8	120715572	120715581	+	0.000	0.000	Merged-chr8-120715474-36
NR2955--MA0098.3.ETS1	chr7	118294968	118294977	-	0.000	0.000	Merged-chr7-118294847-26
NR982--MA0098.3.ETS1	chr13	106836434	106836443	+	0.000	0.000	Merged-chr13-106836459-51
NR839--MA0098.3.ETS1	chr13	3611311	3611320	+	0.000	0.000	Merged-chr13-3611189-5
NR889--MA0098.3.ETS1	chr13	45455804	45455813	+	0.000	0.000	Merged-chr13-45455779-40
NR1575--MA0098.3.ETS1	chr18	31911298	31911307	+	0.000	0.000	Merged-chr18-31911303-2
NR240--MA0098.3.ETS1	chr1	193201472	193201481	+	0.000	0.000	Merged-chr1-193201306-86
NR370--MA0098.3.ETS1	chr10	88551240	88551249	+	0.000	0.000	Merged-chr10-88551161-11
NR2124--MA0098.3.ETS1	chr3	101274897	101274906	+	0.000	0.000	Merged-chr3-101274930-55
NR1285--MA0098.3.ETS1	chr15	99333096	99333105	-	0.000	0.000	Merged-chr15-99333202-49
NR2147--MA0098.3.ETS1	chr3	116465822	116465831	-	0.000	0.000	Merged-chr3-116465927-56
NR841--MA0098.3.ETS1	chr13	4191167	4191176	-	0.000	0.000	Merged-chr13-4191269-39
NR2962--MA0098.3.ETS1	chr7	125620300	125620309	+	0.000	0.000	Merged-chr7-125620287-12
NR2622--MA0098.3.ETS1	chr6	31216571	31216580	+	0.000	0.000	Merged-chr6-31216711-63
NR2757--MA0098.3.ETS1	chr6	142561312	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR592--MA0098.3.ETS1	chr11	95805235	95805244	-	0.000	0.000	Merged-chr11-95805339-25
NR145--MA0098.3.ETS1	chr1	144206482	144206491	-	0.000	0.000	Merged-chr1-144206482-15
NR1064--MA0098.3.ETS1	chr14	55946476	55946485	+	0.000	0.000	Merged-chr14-55946478-14
NR1096--MA0098.3.ETS1	chr14	75034283	75034292	-	0.000	0.000	Merged-chr14-75034378-51
NR1790--MA0098.3.ETS1	chr2	22807474	22807483	-	0.000	0.000	Merged-chr2-22807498-58
NR791--MA0098.3.ETS1	chr12	100508848	100508857	+	0.000	0.000	Merged-chr12-100508863-24
NR107--MA0098.3.ETS1	chr1	98130242	98130251	-	0.000	0.000	Merged-chr1-98130284-39
NR3313--MA0098.3.ETS1	chr9	88709889	88709898	-	0.000	0.000	Merged-chr9-88709854-64
NR385--MA0098.3.ETS1	chr10	94846861	94846870	+	0.000	0.000	Merged-chr10-94847043-19
NR1286--MA0098.3.ETS1	chr15	99333137	99333146	-	0.000	0.000	Merged-chr15-99333202-49
NR1725--MA0098.3.ETS1	chr19	45579257	45579266	-	0.000	0.000	Merged-chr19-45579112-22
NR2909--MA0098.3.ETS1	chr7	89253017	89253026	-	0.000	0.000	Merged-chr7-89253007-2
NR1631--MA0098.3.ETS1	chr18	80178566	80178575	+	0.000	0.000	Merged-chr18-80178605-23
NR1341--MA0098.3.ETS1	chr16	32107834	32107843	-	0.000	0.000	Merged-chr16-32108013-65
NR879--MA0098.3.ETS1	chr13	38010723	38010732	-	0.000	0.000	Merged-chr13-38010701-23
NR230--MA0098.3.ETS1	chr1	189499921	189499930	+	0.000	0.000	Merged-chr1-189499965-39
NR799--MA0098.3.ETS1	chr12	102651600	102651609	+	0.000	0.000	Merged-chr12-102651576-1
NR3307--MA0098.3.ETS1	chr9	80282604	80282613	-	0.000	0.000	Merged-chr9-80282711-23
NR1387--MA0098.3.ETS1	chr16	78606486	78606495	-	0.000	0.000	Merged-chr16-78606501-17
NR1563--MA0098.3.ETS1	chr18	7869018	7869027	+	0.000	0.000	Merged-chr18-7869140-116
NR3314--MA0098.3.ETS1	chr9	89221072	89221081	+	0.000	0.000	Merged-chr9-89221104-50
NR2457--MA0098.3.ETS1	chr5	65851074	65851083	-	0.000	0.000	Merged-chr5-65850971-35
NR3001--MA0098.3.ETS1	chr7	141303015	141303024	+	0.000	0.000	Merged-chr7-141303065-41
NR1095--MA0098.3.ETS1	chr14	75034264	75034273	+	0.000	0.000	Merged-chr14-75034378-51
NR2521--MA0098.3.ETS1	chr5	115167638	115167647	-	0.000	0.000	Merged-chr5-115167638-30
NR2866--MA0098.3.ETS1	chr7	66104822	66104831	+	0.000	0.000	Merged-chr7-66104804-17
NR2692--MA0098.3.ETS1	chr6	108844223	108844232	+	0.000	0.000	Merged-chr6-108844262-40
NR2496--MA0098.3.ETS1	chr5	105649612	105649621	+	0.000	0.000	Merged-chr5-105649431-102
NR2953--MA0098.3.ETS1	chr7	117521544	117521553	+	0.000	0.000	Merged-chr7-117521528-27
NR2533--MA0098.3.ETS1	chr5	120688593	120688602	+	0.000	0.000	Merged-chr5-120688663-27
NR2588--MA0098.3.ETS1	chr5	146757460	146757469	+	0.000	0.000	Merged-chr5-146757539-9
NR257--MA0098.3.ETS1	chr10	19494576	19494585	+	0.000	0.000	Merged-chr10-19494707-34
NR1055--MA0098.3.ETS1	chr14	54218921	54218930	-	0.000	0.000	Merged-chr14-54218984-23
