#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR12156--MA0149.1.EWSR1-FLI1	chr9	121455153	121455170	+	0.000	0.000	Merged-chr9-121454962-55
NR12162--MA0149.1.EWSR1-FLI1	chr9	121455169	121455186	+	0.000	0.000	Merged-chr9-121454962-55
NR5931--MA0149.1.EWSR1-FLI1	chr19	40508990	40509007	+	0.000	0.000	Merged-chr19-40509084-1
NR2795--MA0149.1.EWSR1-FLI1	chr12	117763386	117763403	+	0.000	0.000	Merged-chr12-117763442-4
NR12158--MA0149.1.EWSR1-FLI1	chr9	121455161	121455178	+	0.000	0.000	Merged-chr9-121454962-55
NR7488--MA0149.1.EWSR1-FLI1	chr3	101884090	101884107	-	0.000	0.000	Merged-chr3-101884248-30
NR2306--MA0149.1.EWSR1-FLI1	chr11	119023854	119023871	-	0.000	0.000	Merged-chr11-119023765-1
NR12159--MA0149.1.EWSR1-FLI1	chr9	121455164	121455181	+	0.000	0.000	Merged-chr9-121454962-55
NR3697--MA0475.2.FLI1	chr14	62845241	62845250	+	0.000	0.000	Merged-chr14-62845397-18
NR7489--MA0149.1.EWSR1-FLI1	chr3	101884094	101884111	-	0.000	0.000	Merged-chr3-101884248-30
NR2307--MA0149.1.EWSR1-FLI1	chr11	119023858	119023875	-	0.000	0.000	Merged-chr11-119023765-1
NR7184--MA0475.2.FLI1	chr3	19240050	19240059	-	0.000	0.000	Merged-chr3-19240113-21
NR4680--MA0149.1.EWSR1-FLI1	chr16	45108373	45108390	+	0.000	0.000	Merged-chr16-45108470-22
NR1134--MA0149.1.EWSR1-FLI1	chr10	42839108	42839125	+	0.000	0.000	Merged-chr10-42838902-52
NR9411--MA0149.1.EWSR1-FLI1	chr5	150894478	150894495	-	0.000	0.000	Merged-chr5-150894547-1
NR2144--MA0149.1.EWSR1-FLI1	chr11	102728743	102728760	-	0.000	0.000	Merged-chr11-102728773-11
NR4073--MA0475.2.FLI1	chr15	30693960	30693969	+	0.000	0.000	Merged-chr15-30693983-13
NR12161--MA0149.1.EWSR1-FLI1	chr9	121455168	121455185	+	0.000	0.000	Merged-chr9-121454962-55
NR5922--MA0475.2.FLI1	chr19	36926076	36926085	-	0.000	0.000	Merged-chr19-36926163-72
NR12157--MA0149.1.EWSR1-FLI1	chr9	121455157	121455174	+	0.000	0.000	Merged-chr9-121454962-55
NR1665--MA0149.1.EWSR1-FLI1	chr11	6680667	6680684	-	0.000	0.000	Merged-chr11-6680624-1
NR2796--MA0149.1.EWSR1-FLI1	chr12	117763426	117763443	-	0.000	0.000	Merged-chr12-117763442-4
NR2433--MA0149.1.EWSR1-FLI1	chr12	33109802	33109819	-	0.000	0.000	Merged-chr12-33109714-15
NR2308--MA0149.1.EWSR1-FLI1	chr11	119023862	119023879	-	0.000	0.000	Merged-chr11-119023765-1
NR4681--MA0149.1.EWSR1-FLI1	chr16	45108377	45108394	+	0.000	0.000	Merged-chr16-45108470-22
NR1135--MA0149.1.EWSR1-FLI1	chr10	42839109	42839126	+	0.000	0.000	Merged-chr10-42838902-52
NR5134--MA0149.1.EWSR1-FLI1	chr17	46388460	46388477	-	0.000	0.000	Merged-chr17-46388393-29
NR12160--MA0149.1.EWSR1-FLI1	chr9	121455165	121455182	+	0.000	0.000	Merged-chr9-121454962-55
NR2145--MA0149.1.EWSR1-FLI1	chr11	102728747	102728764	-	0.000	0.000	Merged-chr11-102728773-11
