#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR4241--MA0149.1.EWSR1-FLI1	chr16	92787054	92787071	-	0.000	0.000	Merged-chr16-92786948-54
NR5662--MA0149.1.EWSR1-FLI1	chr2	32493580	32493597	+	0.000	0.000	Merged-chr2-32493543-52
NR1158--MA0475.2.FLI1	chr10	83330422	83330431	-	0.000	0.000	Merged-chr10-83330457-45
NR7340--MA0149.1.EWSR1-FLI1	chr4	63859369	63859386	-	0.000	0.000	Merged-chr4-63859317-1
NR998--MA0149.1.EWSR1-FLI1	chr10	59897792	59897809	+	0.000	0.000	Merged-chr10-59897691-5
NR9485--MA0149.1.EWSR1-FLI1	chr7	80782400	80782417	-	0.000	0.000	Merged-chr7-80782374-50
NR3579--MA0149.1.EWSR1-FLI1	chr15	36562918	36562935	+	0.000	0.000	Merged-chr15-36562926-39
NR396--MA0475.2.FLI1	chr1	133763356	133763365	+	0.000	0.000	Merged-chr1-133763303-37
NR2425--MA0149.1.EWSR1-FLI1	chr12	107924952	107924969	-	0.000	0.000	Merged-chr12-107924897-7
NR4213--MA0475.2.FLI1	chr16	90475941	90475950	-	0.000	0.000	Merged-chr16-90475942-51
NR1624--MA0475.2.FLI1	chr11	57958444	57958453	+	0.000	0.000	Merged-chr11-57958407-27
NR2079--MA0149.1.EWSR1-FLI1	chr12	3871326	3871343	-	0.000	0.000	Merged-chr12-3871224-57
NR368--MA0149.1.EWSR1-FLI1	chr1	128540500	128540517	-	0.000	0.000	Merged-chr1-128540410-9
NR452--MA0149.1.EWSR1-FLI1	chr1	151084240	151084257	-	0.000	0.000	Merged-chr1-151084034-24
NR9103--MA0475.2.FLI1	chr6	130237920	130237929	-	0.000	0.000	Merged-chr6-130237898-58
NR8786--MA0149.1.EWSR1-FLI1	chr6	72957867	72957884	+	0.000	0.000	Merged-chr6-72957924-4
NR3486--MA0475.2.FLI1	chr14	118926632	118926641	-	0.000	0.000	Merged-chr14-118926822-16
NR6127--MA0149.1.EWSR1-FLI1	chr2	129180087	129180104	-	0.000	0.000	Merged-chr2-129180074-1
NR7548--MA0149.1.EWSR1-FLI1	chr4	116806598	116806615	-	0.000	0.000	Merged-chr4-116806659-9
NR5178--MA0149.1.EWSR1-FLI1	chr18	89126607	89126624	+	0.000	0.000	Merged-chr18-89126622-17
NR1660--MA0475.2.FLI1	chr11	61602958	61602967	-	0.000	0.000	Merged-chr11-61602995-47
NR7857--MA0149.1.EWSR1-FLI1	chr4	155354167	155354184	-	0.000	0.000	Merged-chr4-155354250-14
NR8052--MA0149.1.EWSR1-FLI1	chr5	64814694	64814711	-	0.000	0.000	Merged-chr5-64814599-21
NR289--MA0149.1.EWSR1-FLI1	chr1	95657430	95657447	-	0.000	0.000	Merged-chr1-95657390-37
NR3384--MA0149.1.EWSR1-FLI1	chr14	78679082	78679099	+	0.000	0.000	Merged-chr14-78679093-56
NR3567--MA0149.1.EWSR1-FLI1	chr15	34467959	34467976	-	0.000	0.000	Merged-chr15-34468001-12
NR5317--MA0475.2.FLI1	chr19	32869427	32869436	-	0.000	0.000	Merged-chr19-32869388-31
NR1773--MA0149.1.EWSR1-FLI1	chr11	79093048	79093065	-	0.000	0.000	Merged-chr11-79093031-26
NR6666--MA0149.1.EWSR1-FLI1	chr3	87846999	87847016	+	0.000	0.000	Merged-chr3-87846918-77
NR4563--MA0149.1.EWSR1-FLI1	chr17	46388464	46388481	-	0.000	0.000	Merged-chr17-46388393-29
NR2601--MA0149.1.EWSR1-FLI1	chr13	30754198	30754215	+	0.000	0.000	Merged-chr13-30754228-8
NR1652--MA0149.1.EWSR1-FLI1	chr11	60114529	60114546	+	0.000	0.000	Merged-chr11-60114477-20
NR11141--MA0149.1.EWSR1-FLI1	chrX	102037072	102037089	-	0.000	0.000	Merged-chrX-102037181-28
NR2255--MA0149.1.EWSR1-FLI1	chr12	75837849	75837866	+	0.000	0.000	Merged-chr12-75837700-7
NR4237--MA0149.1.EWSR1-FLI1	chr16	92787041	92787058	-	0.000	0.000	Merged-chr16-92786948-54
NR4116--MA0149.1.EWSR1-FLI1	chr16	49781746	49781763	-	0.000	0.000	Merged-chr16-49781889-37
NR9706--MA0149.1.EWSR1-FLI1	chr7	120921284	120921301	+	0.000	0.000	Merged-chr7-120921372-21
NR5663--MA0149.1.EWSR1-FLI1	chr2	32493618	32493635	-	0.000	0.000	Merged-chr2-32493543-52
NR4425--MA0149.1.EWSR1-FLI1	chr17	28488420	28488437	-	0.000	0.000	Merged-chr17-28488439-21
NR9177--MA0149.1.EWSR1-FLI1	chr6	145249575	145249592	-	0.000	0.000	Merged-chr6-145249454-6
NR9711--MA0149.1.EWSR1-FLI1	chr7	122317032	122317049	-	0.000	0.000	Merged-chr7-122317075-24
NR8636--MA0149.1.EWSR1-FLI1	chr6	33618851	33618868	+	0.000	0.000	Merged-chr6-33618746-27
NR10127--MA0475.2.FLI1	chr8	91082198	91082207	+	0.000	0.000	Merged-chr8-91082333-75
NR1865--MA0149.1.EWSR1-FLI1	chr11	97123486	97123503	+	0.000	0.000	Merged-chr11-97123645-15
NR8641--MA0149.1.EWSR1-FLI1	chr6	34497555	34497572	+	0.000	0.000	Merged-chr6-34497714-15
NR5909--MA0475.2.FLI1	chr2	85014107	85014116	-	0.000	0.000	Merged-chr2-85014071-48
NR3108--MA0149.1.EWSR1-FLI1	chr14	20168527	20168544	+	0.000	0.000	Merged-chr14-20168649-33
NR6328--MA0149.1.EWSR1-FLI1	chr2	166625733	166625750	+	0.000	0.000	Merged-chr2-166625583-45
NR10729--MA0149.1.EWSR1-FLI1	chr9	92274697	92274714	+	0.000	0.000	Merged-chr9-92274591-56
NR2552--MA0149.1.EWSR1-FLI1	chr13	17627380	17627397	-	0.000	0.000	Merged-chr13-17627310-18
NR11107--MA0149.1.EWSR1-FLI1	chrX	77796296	77796313	+	0.000	0.000	Merged-chrX-77796416-1
NR8787--MA0149.1.EWSR1-FLI1	chr6	72957871	72957888	+	0.000	0.000	Merged-chr6-72957924-4
NR5651--MA0149.1.EWSR1-FLI1	chr2	32063228	32063245	+	0.000	0.000	Merged-chr2-32063200-64
NR3222--MA0149.1.EWSR1-FLI1	chr14	55078792	55078809	+	0.000	0.000	Merged-chr14-55078725-7
NR1957--MA0149.1.EWSR1-FLI1	chr11	106752371	106752388	-	0.000	0.000	Merged-chr11-106752328-41
NR7658--MA0149.1.EWSR1-FLI1	chr4	133079266	133079283	+	0.000	0.000	Merged-chr4-133079256-48
NR1837--MA0475.2.FLI1	chr11	88951068	88951077	-	0.000	0.000	Merged-chr11-88951020-7
NR4547--MA0475.2.FLI1	chr17	45488791	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR1082--MA0149.1.EWSR1-FLI1	chr10	75446601	75446618	-	0.000	0.000	Merged-chr10-75446685-44
NR2166--MA0475.2.FLI1	chr12	35123544	35123553	+	0.000	0.000	Merged-chr12-35123715-16
NR193--MA0475.2.FLI1	chr1	79751327	79751336	-	0.000	0.000	Merged-chr1-79751461-38
NR4181--MA0149.1.EWSR1-FLI1	chr16	76549756	76549773	-	0.000	0.000	Merged-chr16-76549789-43
NR2318--MA0149.1.EWSR1-FLI1	chr12	86310072	86310089	-	0.000	0.000	Merged-chr12-86310059-67
NR1369--MA0149.1.EWSR1-FLI1	chr10	120978271	120978288	-	0.000	0.000	Merged-chr10-120978282-10
NR11063--MA0149.1.EWSR1-FLI1	chrX	51431430	51431447	+	0.000	0.000	Merged-chrX-51431471-1
NR8019--MA0149.1.EWSR1-FLI1	chr5	43824787	43824804	-	0.000	0.000	Merged-chr5-43824623-50
NR2056--MA0149.1.EWSR1-FLI1	chr11	120642301	120642318	+	0.000	0.000	Merged-chr11-120642267-6
NR9012--MA0475.2.FLI1	chr6	120149870	120149879	+	0.000	0.000	Merged-chr6-120149856-18
NR11251--MA0149.1.EWSR1-FLI1	chrX	167089018	167089035	-	0.000	0.000	Merged-chrX-167089139-46
NR4347--MA0149.1.EWSR1-FLI1	chr17	12165540	12165557	-	0.000	0.000	Merged-chr17-12165459-54
NR2553--MA0149.1.EWSR1-FLI1	chr13	17627384	17627401	-	0.000	0.000	Merged-chr13-17627310-18
NR77--MA0149.1.EWSR1-FLI1	chr1	40470149	40470166	+	0.000	0.000	Merged-chr1-40470075-45
NR10673--MA0149.1.EWSR1-FLI1	chr9	80252354	80252371	+	0.000	0.000	Merged-chr9-80252331-18
NR2736--MA0149.1.EWSR1-FLI1	chr13	59656633	59656650	-	0.000	0.000	Merged-chr13-59656636-89
NR11108--MA0149.1.EWSR1-FLI1	chrX	77796304	77796321	+	0.000	0.000	Merged-chrX-77796416-1
NR1671--MA0149.1.EWSR1-FLI1	chr11	64116963	64116980	-	0.000	0.000	Merged-chr11-64116814-48
NR10310--MA0149.1.EWSR1-FLI1	chr8	124319417	124319434	+	0.000	0.000	Merged-chr8-124319534-38
NR8279--MA0149.1.EWSR1-FLI1	chr5	113825799	113825816	-	0.000	0.000	Merged-chr5-113825707-48
NR3781--MA0475.2.FLI1	chr15	83474145	83474154	+	0.000	0.000	Merged-chr15-83474258-63
NR1471--MA0149.1.EWSR1-FLI1	chr11	4289446	4289463	-	0.000	0.000	Merged-chr11-4289401-53
NR5739--MA0149.1.EWSR1-FLI1	chr2	52561333	52561350	-	0.000	0.000	Merged-chr2-52561333-21
NR3369--MA0149.1.EWSR1-FLI1	chr14	76579899	76579916	-	0.000	0.000	Merged-chr14-76580010-38
NR6673--MA0149.1.EWSR1-FLI1	chr3	88150973	88150990	-	0.000	0.000	Merged-chr3-88150976-43
NR3762--MA0149.1.EWSR1-FLI1	chr15	80192515	80192532	-	0.000	0.000	Merged-chr15-80192413-58
NR2074--MA0149.1.EWSR1-FLI1	chr12	3871314	3871331	-	0.000	0.000	Merged-chr12-3871224-57
NR9646--MA0149.1.EWSR1-FLI1	chr7	114617052	114617069	+	0.000	0.000	Merged-chr7-114616980-17
NR3515--MA0149.1.EWSR1-FLI1	chr14	122852788	122852805	-	0.000	0.000	Merged-chr14-122852603-67
NR4239--MA0149.1.EWSR1-FLI1	chr16	92787049	92787066	-	0.000	0.000	Merged-chr16-92786948-54
NR11064--MA0149.1.EWSR1-FLI1	chrX	51431434	51431451	+	0.000	0.000	Merged-chrX-51431471-1
NR4867--MA0475.2.FLI1	chr18	32994120	32994129	-	0.000	0.000	Merged-chr18-32994204-28
NR4639--MA0475.2.FLI1	chr17	62857497	62857506	+	0.000	0.000	Merged-chr17-62857583-41
NR5240--MA0149.1.EWSR1-FLI1	chr19	10698477	10698494	+	0.000	0.000	Merged-chr19-10698600-31
NR1993--MA0149.1.EWSR1-FLI1	chr11	113802664	113802681	+	0.000	0.000	Merged-chr11-113802652-27
NR10239--MA0149.1.EWSR1-FLI1	chr8	116590561	116590578	-	0.000	0.000	Merged-chr8-116590566-65
NR10244--MA0149.1.EWSR1-FLI1	chr8	117074643	117074660	-	0.000	0.000	Merged-chr8-117074609-38
NR8297--MA0149.1.EWSR1-FLI1	chr5	115521909	115521926	-	0.000	0.000	Merged-chr5-115521959-49
NR2397--MA0475.2.FLI1	chr12	102945746	102945755	+	0.000	0.000	Merged-chr12-102945751-11
NR5210--MA0475.2.FLI1	chr19	5571991	5572000	+	0.000	0.000	Merged-chr19-5572133-30
NR9104--MA0475.2.FLI1	chr6	130387092	130387101	-	0.000	0.000	Merged-chr6-130387166-57
NR9789--MA0475.2.FLI1	chr7	130816514	130816523	-	0.000	0.000	Merged-chr7-130816442-11
NR6523--MA0149.1.EWSR1-FLI1	chr3	37603654	37603671	-	0.000	0.000	Merged-chr3-37603744-6
NR8794--MA0149.1.EWSR1-FLI1	chr6	82744566	82744583	-	0.000	0.000	Merged-chr6-82744737-54
NR1867--MA0475.2.FLI1	chr11	97146133	97146142	-	0.000	0.000	Merged-chr11-97146058-3
NR8977--MA0149.1.EWSR1-FLI1	chr6	115524564	115524581	+	0.000	0.000	Merged-chr6-115524627-15
NR4603--MA0149.1.EWSR1-FLI1	chr17	51789270	51789287	-	0.000	0.000	Merged-chr17-51789354-14
NR984--MA0475.2.FLI1	chr10	53461573	53461582	-	0.000	0.000	Merged-chr10-53461441-37
NR7005--MA0149.1.EWSR1-FLI1	chr3	139033385	139033402	-	0.000	0.000	Merged-chr3-139033383-15
NR1959--MA0149.1.EWSR1-FLI1	chr11	106752376	106752393	-	0.000	0.000	Merged-chr11-106752328-41
NR1472--MA0149.1.EWSR1-FLI1	chr11	4289450	4289467	-	0.000	0.000	Merged-chr11-4289401-53
NR7089--MA0149.1.EWSR1-FLI1	chr3	148419849	148419866	+	0.000	0.000	Merged-chr3-148419698-33
NR2075--MA0149.1.EWSR1-FLI1	chr12	3871318	3871335	-	0.000	0.000	Merged-chr12-3871224-57
NR3622--MA0475.2.FLI1	chr15	52753930	52753939	+	0.000	0.000	Merged-chr15-52753697-52
NR9647--MA0149.1.EWSR1-FLI1	chr7	114617056	114617073	+	0.000	0.000	Merged-chr7-114616980-17
NR3516--MA0149.1.EWSR1-FLI1	chr14	122852792	122852809	-	0.000	0.000	Merged-chr14-122852603-67
NR7544--MA0149.1.EWSR1-FLI1	chr4	116806585	116806602	-	0.000	0.000	Merged-chr4-116806659-9
NR2137--MA0149.1.EWSR1-FLI1	chr12	25247187	25247204	+	0.000	0.000	Merged-chr12-25247115-16
NR9694--MA0149.1.EWSR1-FLI1	chr7	119860367	119860384	+	0.000	0.000	Merged-chr7-119860527-21
NR10650--MA0149.1.EWSR1-FLI1	chr9	77558114	77558131	-	0.000	0.000	Merged-chr9-77558150-7
NR5359--MA0475.2.FLI1	chr19	42266481	42266490	+	0.000	0.000	Merged-chr19-42266343-14
NR6783--MA0149.1.EWSR1-FLI1	chr3	101748373	101748390	-	0.000	0.000	Merged-chr3-101748481-44
NR9143--MA0149.1.EWSR1-FLI1	chr6	137492005	137492022	+	0.000	0.000	Merged-chr6-137492060-50
NR9168--MA0475.2.FLI1	chr6	144670589	144670598	+	0.000	0.000	Merged-chr6-144670724-72
NR8978--MA0475.2.FLI1	chr6	115524635	115524644	+	0.000	0.000	Merged-chr6-115524627-15
NR4632--MA0475.2.FLI1	chr17	57264335	57264344	+	0.000	0.000	Merged-chr17-57264332-13
NR2582--MA0475.2.FLI1	chr13	22714321	22714330	-	0.000	0.000	Merged-chr13-22714452-30
NR10816--MA0149.1.EWSR1-FLI1	chr9	107280632	107280649	-	0.000	0.000	Merged-chr9-107280639-112
NR2555--MA0149.1.EWSR1-FLI1	chr13	17627392	17627409	-	0.000	0.000	Merged-chr13-17627310-18
NR8298--MA0149.1.EWSR1-FLI1	chr5	115521989	115522006	-	0.000	0.000	Merged-chr5-115521959-49
NR5345--MA0149.1.EWSR1-FLI1	chr19	37110663	37110680	-	0.000	0.000	Merged-chr19-37110576-17
NR6912--MA0149.1.EWSR1-FLI1	chr3	127887706	127887723	+	0.000	0.000	Merged-chr3-127887835-6
NR1139--MA0475.2.FLI1	chr10	81127671	81127680	+	0.000	0.000	Merged-chr10-81127720-40
NR7945--MA0149.1.EWSR1-FLI1	chr5	24776973	24776990	-	0.000	0.000	Merged-chr5-24777004-40
NR3776--MA0149.1.EWSR1-FLI1	chr15	82235563	82235580	-	0.000	0.000	Merged-chr15-82235726-13
NR5297--MA0475.2.FLI1	chr19	27967790	27967799	-	0.000	0.000	Merged-chr19-27967760-35
NR8140--MA0149.1.EWSR1-FLI1	chr5	92961726	92961743	-	0.000	0.000	Merged-chr5-92961688-16
NR4604--MA0149.1.EWSR1-FLI1	chr17	51789274	51789291	-	0.000	0.000	Merged-chr17-51789354-14
NR10742--MA0149.1.EWSR1-FLI1	chr9	95315218	95315235	-	0.000	0.000	Merged-chr9-95315222-46
NR1159--MA0149.1.EWSR1-FLI1	chr10	83664026	83664043	-	0.000	0.000	Merged-chr10-83664117-9
NR1038--MA0149.1.EWSR1-FLI1	chr10	68036605	68036622	+	0.000	0.000	Merged-chr10-68036383-95
NR5679--MA0149.1.EWSR1-FLI1	chr2	36220320	36220337	-	0.000	0.000	Merged-chr2-36220233-13
NR1431--MA0149.1.EWSR1-FLI1	chr10	127678162	127678179	-	0.000	0.000	Merged-chr10-127678068-5
NR10908--MA0149.1.EWSR1-FLI1	chr9	117892762	117892779	-	0.000	0.000	Merged-chr9-117892877-51
NR936--MA0149.1.EWSR1-FLI1	chr10	39456038	39456055	-	0.000	0.000	Merged-chr10-39456022-41
NR10379--MA0149.1.EWSR1-FLI1	chr9	14908207	14908224	-	0.000	0.000	Merged-chr9-14908176-52
NR6984--MA0149.1.EWSR1-FLI1	chr3	136698002	136698019	-	0.000	0.000	Merged-chr3-136697993-45
NR1856--MA0475.2.FLI1	chr11	95367263	95367272	-	0.000	0.000	Merged-chr11-95367219-42
NR7503--MA0149.1.EWSR1-FLI1	chr4	108350042	108350059	+	0.000	0.000	Merged-chr4-108350117-42
NR9335--MA0475.2.FLI1	chr7	31087463	31087472	-	0.000	0.000	Merged-chr7-31087462-13
