#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR132--MA0641.1.ELF4	chr1	51585134	51585145	-	0.000	0.000	Merged-chr1-51585090-58
NR10815--MA0641.1.ELF4	chr9	111046422	111046433	-	0.000	0.000	Merged-chr9-111046426-26
NR2696--MA0641.1.ELF4	chr13	19139301	19139312	+	0.000	0.000	Merged-chr13-19139213-36
NR2429--MA0473.2.ELF1	chr12	84285371	84285382	+	0.000	0.000	Merged-chr12-84285297-56
NR3551--MA0136.2.ELF5	chr14	70798837	70798847	+	0.000	0.000	Merged-chr14-70798760-56
NR2693--MA0473.2.ELF1	chr13	19139301	19139312	+	0.000	0.000	Merged-chr13-19139213-36
NR4949--MA0473.2.ELF1	chr17	86323620	86323631	+	0.000	0.000	Merged-chr17-86323453-65
NR10157--MA0641.1.ELF4	chr8	111030249	111030260	+	0.000	0.000	Merged-chr8-111030084-39
NR3877--MA0473.2.ELF1	chr15	66718579	66718590	+	0.000	0.000	Merged-chr15-66718609-34
NR10175--MA0641.1.ELF4	chr8	114815450	114815461	-	0.000	0.000	Merged-chr8-114815485-46
NR1728--MA0640.1.ELF3	chr11	62576652	62576664	-	0.000	0.000	Merged-chr11-62576695-29
NR10172--MA0473.2.ELF1	chr8	114815450	114815461	-	0.000	0.000	Merged-chr8-114815485-46
NR10860--MA0641.1.ELF4	chr9	118716122	118716133	-	0.000	0.000	Merged-chr9-118716150-51
NR1746--MA0640.1.ELF3	chr11	69073536	69073548	-	0.000	0.000	Merged-chr11-69073525-67
