#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR10378--MA0473.2.ELF1	chr9	44579512	44579523	+	0.000	0.000	Merged-chr9-44579570-13
NR4451--MA0641.1.ELF4	chr17	21231931	21231942	-	0.000	0.000	Merged-chr17-21231861-25
NR10409--MA0641.1.ELF4	chr9	52349426	52349437	-	0.000	0.000	Merged-chr9-52349266-37
NR2968--MA0473.2.ELF1	chr13	92722532	92722543	-	0.000	0.000	Merged-chr13-92722597-29
NR2969--MA0136.2.ELF5	chr13	92722532	92722542	-	0.000	0.000	Merged-chr13-92722597-29
NR2425--MA0641.1.ELF4	chr12	90236357	90236368	+	0.000	0.000	Merged-chr12-90236268-16
NR10379--MA0640.1.ELF3	chr9	44579512	44579524	+	0.000	0.000	Merged-chr9-44579570-13
NR809--MA0473.2.ELF1	chr10	13424768	13424779	-	0.000	0.000	Merged-chr10-13424690-40
NR8475--MA0473.2.ELF1	chr6	37399186	37399197	+	0.000	0.000	Merged-chr6-37399175-29
NR8364--MA0640.1.ELF3	chr5	150262967	150262979	-	0.000	0.000	Merged-chr5-150262822-29
NR4786--MA0136.2.ELF5	chr17	70888017	70888027	+	0.000	0.000	Merged-chr17-70888088-40
NR812--MA0641.1.ELF4	chr10	13424768	13424779	-	0.000	0.000	Merged-chr10-13424690-40
NR4206--MA0473.2.ELF1	chr16	58465439	58465450	+	0.000	0.000	Merged-chr16-58465503-54
NR4207--MA0136.2.ELF5	chr16	58465440	58465450	+	0.000	0.000	Merged-chr16-58465503-54
NR8365--MA0136.2.ELF5	chr5	150262968	150262978	-	0.000	0.000	Merged-chr5-150262822-29
NR810--MA0640.1.ELF3	chr10	13424767	13424779	-	0.000	0.000	Merged-chr10-13424690-40
NR10380--MA0136.2.ELF5	chr9	44579513	44579523	+	0.000	0.000	Merged-chr9-44579570-13
NR3094--MA0136.2.ELF5	chr13	110540800	110540810	+	0.000	0.000	Merged-chr13-110540791-23
NR811--MA0136.2.ELF5	chr10	13424768	13424778	-	0.000	0.000	Merged-chr10-13424690-40
NR10079--MA0473.2.ELF1	chr8	115878021	115878032	+	0.000	0.000	Merged-chr8-115877965-1
NR10406--MA0473.2.ELF1	chr9	52349426	52349437	-	0.000	0.000	Merged-chr9-52349266-37
NR4141--MA0136.2.ELF5	chr16	44497000	44497010	+	0.000	0.000	Merged-chr16-44497186-22
NR2422--MA0473.2.ELF1	chr12	90236357	90236368	+	0.000	0.000	Merged-chr12-90236268-16
NR10407--MA0640.1.ELF3	chr9	52349425	52349437	-	0.000	0.000	Merged-chr9-52349266-37
NR4208--MA0641.1.ELF4	chr16	58465439	58465450	+	0.000	0.000	Merged-chr16-58465503-54
NR8366--MA0641.1.ELF4	chr5	150262968	150262979	-	0.000	0.000	Merged-chr5-150262822-29
NR2423--MA0640.1.ELF3	chr12	90236357	90236369	+	0.000	0.000	Merged-chr12-90236268-16
NR10381--MA0641.1.ELF4	chr9	44579512	44579523	+	0.000	0.000	Merged-chr9-44579570-13
NR10408--MA0136.2.ELF5	chr9	52349426	52349436	-	0.000	0.000	Merged-chr9-52349266-37
NR3095--MA0641.1.ELF4	chr13	110540799	110540810	+	0.000	0.000	Merged-chr13-110540791-23
NR3092--MA0473.2.ELF1	chr13	110540799	110540810	+	0.000	0.000	Merged-chr13-110540791-23
NR2424--MA0136.2.ELF5	chr12	90236358	90236368	+	0.000	0.000	Merged-chr12-90236268-16
NR10080--MA0640.1.ELF3	chr8	115878021	115878033	+	0.000	0.000	Merged-chr8-115877965-1
NR3093--MA0640.1.ELF3	chr13	110540799	110540811	+	0.000	0.000	Merged-chr13-110540791-23
NR767--MA0136.2.ELF5	chr1	192190640	192190650	-	0.000	0.000	Merged-chr1-192190727-18
NR10081--MA0136.2.ELF5	chr8	115878022	115878032	+	0.000	0.000	Merged-chr8-115877965-1
NR4450--MA0473.2.ELF1	chr17	21231931	21231942	-	0.000	0.000	Merged-chr17-21231861-25
