#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR4241--MA0149.1.EWSR1-FLI1	chr15	75634657	75634674	-	0.000	0.000	Merged-chr15-75634516-4
NR3003--MA0149.1.EWSR1-FLI1	chr13	53390320	53390337	+	0.000	0.000	Merged-chr13-53390437-27
NR12381--MA0475.2.FLI1	chrX	106962412	106962421	+	0.000	0.000	Merged-chrX-106962471-28
NR9490--MA0149.1.EWSR1-FLI1	chr6	41189126	41189143	+	0.000	0.000	Merged-chr6-41189154-9
NR10609--MA0475.2.FLI1	chr7	101414324	101414333	-	0.000	0.000	Merged-chr7-101414402-16
NR7486--MA0149.1.EWSR1-FLI1	chr3	101066280	101066297	+	0.000	0.000	Merged-chr3-101066330-34
NR8744--MA0149.1.EWSR1-FLI1	chr5	33125252	33125269	+	0.000	0.000	Merged-chr5-33125438-11
NR12391--MA0149.1.EWSR1-FLI1	chrX	114474282	114474299	+	0.000	0.000	Merged-chrX-114474330-36
NR5571--MA0149.1.EWSR1-FLI1	chr18	56810059	56810076	-	0.000	0.000	Merged-chr18-56810000-44
NR9389--MA0149.1.EWSR1-FLI1	chr5	149440183	149440200	+	0.000	0.000	Merged-chr5-149439971-46
NR2741--MA0475.2.FLI1	chr12	110210356	110210365	+	0.000	0.000	Merged-chr12-110210281-21
NR618--MA0149.1.EWSR1-FLI1	chr1	151683073	151683090	-	0.000	0.000	Merged-chr1-151683056-48
NR10575--MA0149.1.EWSR1-FLI1	chr7	96920766	96920783	+	0.000	0.000	Merged-chr7-96920782-38
NR9596--MA0475.2.FLI1	chr6	59185549	59185558	-	0.000	0.000	Merged-chr6-59185393-33
NR969--MA0149.1.EWSR1-FLI1	chr1	192537153	192537170	+	0.000	0.000	Merged-chr1-192537162-38
NR6998--MA0475.2.FLI1	chr2	163123634	163123643	-	0.000	0.000	Merged-chr2-163123770-16
NR10721--MA0149.1.EWSR1-FLI1	chr7	117486852	117486869	-	0.000	0.000	Merged-chr7-117487039-1
NR3066--MA0475.2.FLI1	chr13	64432482	64432491	-	0.000	0.000	Merged-chr13-64432516-70
NR4054--MA0149.1.EWSR1-FLI1	chr15	12104018	12104035	+	0.000	0.000	Merged-chr15-12104064-10
NR9368--MA0475.2.FLI1	chr5	148501373	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR11549--MA0149.1.EWSR1-FLI1	chr9	15534348	15534365	-	0.000	0.000	Merged-chr9-15534330-2
NR1101--MA0149.1.EWSR1-FLI1	chr10	38884942	38884959	+	0.000	0.000	Merged-chr10-38884993-65
NR8878--MA0149.1.EWSR1-FLI1	chr5	75661048	75661065	-	0.000	0.000	Merged-chr5-75660966-11
NR5045--MA0149.1.EWSR1-FLI1	chr17	32341338	32341355	-	0.000	0.000	Merged-chr17-32341276-19
NR6916--MA0149.1.EWSR1-FLI1	chr2	150869693	150869710	+	0.000	0.000	Merged-chr2-150869596-45
NR3597--MA0149.1.EWSR1-FLI1	chr14	46671216	46671233	-	0.000	0.000	Merged-chr14-46671310-13
NR9402--MA0149.1.EWSR1-FLI1	chr5	150262921	150262938	+	0.000	0.000	Merged-chr5-150262822-29
NR10391--MA0475.2.FLI1	chr7	49802828	49802837	+	0.000	0.000	Merged-chr7-49802865-9
NR2060--MA0149.1.EWSR1-FLI1	chr11	96462409	96462426	-	0.000	0.000	Merged-chr11-96462507-15
NR8070--MA0149.1.EWSR1-FLI1	chr4	56916177	56916194	+	0.000	0.000	Merged-chr4-56916071-19
NR1314--MA0149.1.EWSR1-FLI1	chr10	80152172	80152189	-	0.000	0.000	Merged-chr10-80152261-5
NR11846--MA0149.1.EWSR1-FLI1	chr9	78732426	78732443	-	0.000	0.000	Merged-chr9-78732444-13
NR11233--MA0149.1.EWSR1-FLI1	chr8	79953099	79953116	+	0.000	0.000	Merged-chr8-79952934-1
NR1138--MA0475.2.FLI1	chr10	42934828	42934837	+	0.000	0.000	Merged-chr10-42934777-29
NR11092--MA0149.1.EWSR1-FLI1	chr8	34818012	34818029	+	0.000	0.000	Merged-chr8-34817852-8
NR11112--MA0149.1.EWSR1-FLI1	chr8	36165107	36165124	+	0.000	0.000	Merged-chr8-36165125-29
NR4188--MA0149.1.EWSR1-FLI1	chr15	66286817	66286834	-	0.000	0.000	Merged-chr15-66286791-54
NR6071--MA0149.1.EWSR1-FLI1	chr2	11441878	11441895	-	0.000	0.000	Merged-chr2-11441982-17
NR3160--MA0149.1.EWSR1-FLI1	chr13	91178595	91178612	+	0.000	0.000	Merged-chr13-91178743-26
NR5629--MA0149.1.EWSR1-FLI1	chr18	68009939	68009956	-	0.000	0.000	Merged-chr18-68009892-31
NR11342--MA0149.1.EWSR1-FLI1	chr8	105278945	105278962	-	0.000	0.000	Merged-chr8-105279164-33
NR624--MA0149.1.EWSR1-FLI1	chr1	152624961	152624978	+	0.000	0.000	Merged-chr1-152625115-53
NR10581--MA0149.1.EWSR1-FLI1	chr7	97842904	97842921	-	0.000	0.000	Merged-chr7-97843006-38
NR12487--MA0475.2.FLI1	chrY	90744631	90744640	-	0.000	0.000	Merged-chrY-90744539-24
