#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR26--MA0098.3.ETS1	chr1	39281145	39281154	-	0.000	0.000	Merged-chr1-39281232-20
NR2750--MA0098.3.ETS1	chr5	149368329	149368338	-	0.000	0.000	Merged-chr5-149368318-30
NR1759--MA0098.3.ETS1	chr19	25360796	25360805	-	0.000	0.000	Merged-chr19-25360847-26
NR2540--MA0098.3.ETS1	chr4	152247182	152247191	-	0.000	0.000	Merged-chr4-152247398-23
NR3057--MA0098.3.ETS1	chr7	97878069	97878078	+	0.000	0.000	Merged-chr7-97878127-12
NR321--MA0098.3.ETS1	chr10	42849069	42849078	+	0.000	0.000	Merged-chr10-42848913-29
NR1795--MA0098.3.ETS1	chr19	53356189	53356198	-	0.000	0.000	Merged-chr19-53356212-16
NR1455--MA0098.3.ETS1	chr17	5295761	5295770	-	0.000	0.000	Merged-chr17-5295840-41
NR1106--MA0098.3.ETS1	chr14	50981486	50981495	+	0.000	0.000	Merged-chr14-50981493-30
NR3420--MA0098.3.ETS1	chr9	102622579	102622588	-	0.000	0.000	Merged-chr9-102622526-34
NR586--MA0098.3.ETS1	chr11	78679018	78679027	+	0.000	0.000	Merged-chr11-78678960-17
NR1259--MA0098.3.ETS1	chr15	73627490	73627499	-	0.000	0.000	Merged-chr15-73627530-51
NR3112--MA0098.3.ETS1	chr7	132335462	132335471	+	0.000	0.000	Merged-chr7-132335509-39
NR1819--MA0098.3.ETS1	chr2	4559708	4559717	+	0.000	0.000	Merged-chr2-4559721-92
NR2170--MA0098.3.ETS1	chr3	37483879	37483888	-	0.000	0.000	Merged-chr3-37484009-38
NR166--MA0098.3.ETS1	chr1	152019396	152019405	+	0.000	0.000	Merged-chr1-152019421-49
NR972--MA0098.3.ETS1	chr13	93546231	93546240	+	0.000	0.000	Merged-chr13-93546286-16
NR3390--MA0098.3.ETS1	chr9	77683616	77683625	+	0.000	0.000	Merged-chr9-77683679-29
NR2614--MA0098.3.ETS1	chr5	67300127	67300136	-	0.000	0.000	Merged-chr5-67300252-37
NR3180--MA0098.3.ETS1	chr8	64826428	64826437	-	0.000	0.000	Merged-chr8-64826546-37
NR2990--MA0098.3.ETS1	chr7	35235429	35235438	+	0.000	0.000	Merged-chr7-35235542-10
NR1099--MA0098.3.ETS1	chr14	47395855	47395864	-	0.000	0.000	Merged-chr14-47395869-114
NR1560--MA0098.3.ETS1	chr17	72967596	72967605	+	0.000	0.000	Merged-chr17-72967626-25
NR1887--MA0098.3.ETS1	chr2	43992672	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR1672--MA0098.3.ETS1	chr18	67502710	67502719	-	0.000	0.000	Merged-chr18-67502827-16
NR892--MA0098.3.ETS1	chr13	41773997	41774006	+	0.000	0.000	Merged-chr13-41774048-23
NR3158--MA0098.3.ETS1	chr8	24547210	24547219	+	0.000	0.000	Merged-chr8-24547289-41
NR1999--MA0098.3.ETS1	chr2	114032497	114032506	+	0.000	0.000	Merged-chr2-114032469-18
NR1211--MA0098.3.ETS1	chr15	31166862	31166871	-	0.000	0.000	Merged-chr15-31166801-87
NR2203--MA0098.3.ETS1	chr3	79273117	79273126	-	0.000	0.000	Merged-chr3-79273035-30
NR3508--MA0098.3.ETS1	chrX	106962412	106962421	+	0.000	0.000	Merged-chrX-106962471-28
NR141--MA0098.3.ETS1	chr1	128667523	128667532	+	0.000	0.000	Merged-chr1-128667443-20
NR2226--MA0098.3.ETS1	chr3	89911273	89911282	-	0.000	0.000	Merged-chr3-89911440-10
NR3446--MA0098.3.ETS1	chr9	115134833	115134842	-	0.000	0.000	Merged-chr9-115134877-14
NR2280--MA0098.3.ETS1	chr3	127824632	127824641	-	0.000	0.000	Merged-chr3-127824503-101
NR1168--MA0098.3.ETS1	chr14	103850710	103850719	+	0.000	0.000	Merged-chr14-103850623-36
NR2813--MA0098.3.ETS1	chr6	82922057	82922066	+	0.000	0.000	Merged-chr6-82922037-57
NR191--MA0098.3.ETS1	chr1	165063128	165063137	+	0.000	0.000	Merged-chr1-165063084-17
NR2505--MA0098.3.ETS1	chr4	134091325	134091334	+	0.000	0.000	Merged-chr4-134091309-8
NR1451--MA0098.3.ETS1	chr16	96208604	96208613	-	0.000	0.000	Merged-chr16-96208613-13
NR1456--MA0098.3.ETS1	chr17	5303459	5303468	-	0.000	0.000	Merged-chr17-5303448-46
NR112--MA0098.3.ETS1	chr1	94091937	94091946	+	0.000	0.000	Merged-chr1-94091974-43
NR439--MA0098.3.ETS1	chr10	121264130	121264139	+	0.000	0.000	Merged-chr10-121264138-48
NR1801--MA0098.3.ETS1	chr19	55915655	55915664	-	0.000	0.000	Merged-chr19-55915456-76
NR1913--MA0098.3.ETS1	chr2	61483987	61483996	-	0.000	0.000	Merged-chr2-61484018-22
NR2694--MA0098.3.ETS1	chr5	122232400	122232409	+	0.000	0.000	Merged-chr5-122232202-28
NR2121--MA0098.3.ETS1	chr2	168540013	168540022	-	0.000	0.000	Merged-chr2-168539977-33
NR2327--MA0098.3.ETS1	chr3	148867814	148867823	+	0.000	0.000	Merged-chr3-148867817-36
NR699--MA0098.3.ETS1	chr12	3569008	3569017	+	0.000	0.000	Merged-chr12-3568895-12
NR802--MA0098.3.ETS1	chr12	100165008	100165017	+	0.000	0.000	Merged-chr12-100165165-51
NR3341--MA0098.3.ETS1	chr9	48538409	48538418	+	0.000	0.000	Merged-chr9-48538454-59
NR2905--MA0098.3.ETS1	chr6	136695549	136695558	+	0.000	0.000	Merged-chr6-136695516-20
NR180--MA0098.3.ETS1	chr1	160079332	160079341	-	0.000	0.000	Merged-chr1-160079403-35
NR2820--MA0098.3.ETS1	chr6	85513718	85513727	+	0.000	0.000	Merged-chr6-85513633-28
NR3140--MA0098.3.ETS1	chr8	13213659	13213668	+	0.000	0.000	Merged-chr8-13213750-72
NR279--MA0098.3.ETS1	chr10	9575557	9575566	-	0.000	0.000	Merged-chr10-9575778-20
NR3015--MA0098.3.ETS1	chr7	65693450	65693459	+	0.000	0.000	Merged-chr7-65693564-67
NR2167--MA0098.3.ETS1	chr3	35318441	35318450	+	0.000	0.000	Merged-chr3-35318440-37
NR3145--MA0098.3.ETS1	chr8	13917172	13917181	+	0.000	0.000	Merged-chr8-13917171-10
NR2740--MA0098.3.ETS1	chr5	148501373	148501382	+	0.000	0.000	Merged-chr5-148501527-73
NR1655--MA0098.3.ETS1	chr18	55146708	55146717	-	0.000	0.000	Merged-chr18-55146782-23
