#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR9714--MA0136.2.ELF5	chr7	127922763	127922773	-	0.000	0.000	Merged-chr7-127922827-35
NR2555--MA0136.2.ELF5	chr12	109067867	109067877	-	0.000	0.000	Merged-chr12-109068052-48
NR4981--MA0136.2.ELF5	chr17	88386846	88386856	+	0.000	0.000	Merged-chr17-88387050-12
NR3757--MA0136.2.ELF5	chr15	25269823	25269833	-	0.000	0.000	Merged-chr15-25269773-79
NR4067--MA0473.2.ELF1	chr15	100182724	100182735	-	0.000	0.000	Merged-chr15-100182935-17
NR119--MA0641.1.ELF4	chr1	43457258	43457269	-	0.000	0.000	Merged-chr1-43457148-27
NR6699--MA0473.2.ELF1	chr3	79273117	79273128	-	0.000	0.000	Merged-chr3-79273035-30
NR4507--MA0136.2.ELF5	chr16	96208604	96208614	-	0.000	0.000	Merged-chr16-96208613-13
NR939--MA0640.1.ELF3	chr10	25268624	25268636	-	0.000	0.000	Merged-chr10-25268678-14
NR8573--MA0641.1.ELF4	chr6	57449465	57449476	+	0.000	0.000	Merged-chr6-57449516-18
NR8041--MA0640.1.ELF3	chr5	86783396	86783408	+	0.000	0.000	Merged-chr5-86783243-43
NR2061--MA0641.1.ELF4	chr11	115699582	115699593	-	0.000	0.000	Merged-chr11-115699455-67
NR4223--MA0641.1.ELF4	chr16	21835895	21835906	+	0.000	0.000	Merged-chr16-21835778-19
NR7068--MA0640.1.ELF3	chr3	143647080	143647092	-	0.000	0.000	Merged-chr3-143647123-49
NR4427--MA0136.2.ELF5	chr16	70007061	70007071	+	0.000	0.000	Merged-chr16-70007136-17
NR4488--MA0640.1.ELF3	chr16	92059990	92060002	+	0.000	0.000	Merged-chr16-92060091-18
NR8709--MA0640.1.ELF3	chr6	91698969	91698981	-	0.000	0.000	Merged-chr6-91699017-27
NR5023--MA0640.1.ELF3	chr18	6484957	6484969	-	0.000	0.000	Merged-chr18-6484878-33
