#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR2288--MA0062.2.Gabpa	chr2	120970734	120970744	-	0.000	0.000	Merged-chr2-120970665-62
NR2092--MA0062.2.Gabpa	chr2	11801757	11801767	+	0.000	0.000	Merged-chr2-11801641-32
NR299--MA0062.2.Gabpa	chr10	19718890	19718900	-	0.000	0.000	Merged-chr10-19718932-45
NR156--MA0062.2.Gabpa	chr1	128417076	128417086	+	0.000	0.000	Merged-chr1-128417160-94
NR3964--MA0062.2.Gabpa	chr9	80081169	80081179	+	0.000	0.000	Merged-chr9-80081246-66
NR4056--MA0062.2.Gabpa	chr9	121881067	121881077	-	0.000	0.000	Merged-chr9-121881048-26
NR3542--MA0062.2.Gabpa	chr7	81863362	81863372	+	0.000	0.000	Merged-chr7-81863346-31
NR1591--MA0062.2.Gabpa	chr16	55735844	55735854	-	0.000	0.000	Merged-chr16-55735684-24
NR4048--MA0062.2.Gabpa	chr9	119334503	119334513	-	0.000	0.000	Merged-chr9-119334532-37
NR114--MA0062.2.Gabpa	chr1	90740910	90740920	-	0.000	0.000	Merged-chr1-90740920-30
NR759--MA0062.2.Gabpa	chr11	115475671	115475681	+	0.000	0.000	Merged-chr11-115475686-55
NR3630--MA0062.2.Gabpa	chr7	139197268	139197278	+	0.000	0.000	Merged-chr7-139197222-17
NR1854--MA0062.2.Gabpa	chr18	31911299	31911309	+	0.000	0.000	Merged-chr18-31911303-2
NR1201--MA0062.2.Gabpa	chr14	31531987	31531997	-	0.000	0.000	Merged-chr14-31531950-40
NR1453--MA0062.2.Gabpa	chr15	84896467	84896477	-	0.000	0.000	Merged-chr15-84896641-45
NR2286--MA0062.2.Gabpa	chr2	119787543	119787553	-	0.000	0.000	Merged-chr2-119787564-60
NR2395--MA0062.2.Gabpa	chr2	166448879	166448889	-	0.000	0.000	Merged-chr2-166448890-20
NR1031--MA0062.2.Gabpa	chr13	43250881	43250891	-	0.000	0.000	Merged-chr13-43250604-89
NR3919--MA0062.2.Gabpa	chr9	57968558	57968568	+	0.000	0.000	Merged-chr9-57968801-58
NR1411--MA0062.2.Gabpa	chr15	59795809	59795819	+	0.000	0.000	Merged-chr15-59795826-47
NR4054--MA0062.2.Gabpa	chr9	121675153	121675163	-	0.000	0.000	Merged-chr9-121675261-45
NR3832--MA0062.2.Gabpa	chr8	124520790	124520800	+	0.000	0.000	Merged-chr8-124520851-52
NR1947--MA0062.2.Gabpa	chr18	81385770	81385780	+	0.000	0.000	Merged-chr18-81385709-31
NR2018--MA0062.2.Gabpa	chr19	31337436	31337446	-	0.000	0.000	Merged-chr19-31337298-1
NR1145--MA0062.2.Gabpa	chr13	109239449	109239459	-	0.000	0.000	Merged-chr13-109239401-35
NR561--MA0062.2.Gabpa	chr11	32580771	32580781	+	0.000	0.000	Merged-chr11-32580688-47
NR3383--MA0062.2.Gabpa	chr6	142561361	142561371	+	0.000	0.000	Merged-chr6-142561422-52
NR3633--MA0062.2.Gabpa	chr7	140857385	140857395	-	0.000	0.000	Merged-chr7-140857448-6
NR1857--MA0062.2.Gabpa	chr18	32939370	32939380	-	0.000	0.000	Merged-chr18-32939306-98
NR3070--MA0062.2.Gabpa	chr5	93109685	93109695	-	0.000	0.000	Merged-chr5-93109666-38
NR40--MA0062.2.Gabpa	chr1	40391600	40391610	+	0.000	0.000	Merged-chr1-40391569-24
NR1706--MA0062.2.Gabpa	chr17	28217904	28217914	-	0.000	0.000	Merged-chr17-28217876-56
NR3333--MA0062.2.Gabpa	chr6	115971428	115971438	+	0.000	0.000	Merged-chr6-115971349-10
NR3585--MA0062.2.Gabpa	chr7	112210221	112210231	+	0.000	0.000	Merged-chr7-112210103-38
NR1034--MA0062.2.Gabpa	chr13	45455805	45455815	+	0.000	0.000	Merged-chr13-45455779-40
NR2460--MA0062.2.Gabpa	chr3	19240048	19240058	-	0.000	0.000	Merged-chr3-19240113-21
NR3237--MA0062.2.Gabpa	chr6	43382546	43382556	-	0.000	0.000	Merged-chr6-43382669-61
NR1286--MA0062.2.Gabpa	chr14	73290131	73290141	-	0.000	0.000	Merged-chr14-73290096-39
NR7--MA0062.2.Gabpa	chr1	9944164	9944174	-	0.000	0.000	Merged-chr1-9944103-43
NR776--MA0062.2.Gabpa	chr11	119491367	119491377	+	0.000	0.000	Merged-chr11-119491430-54
NR1148--MA0062.2.Gabpa	chr13	112398265	112398275	+	0.000	0.000	Merged-chr13-112398369-43
NR1114--MA0062.2.Gabpa	chr13	98832683	98832693	-	0.000	0.000	Merged-chr13-98832743-37
NR2540--MA0062.2.Gabpa	chr3	87847891	87847901	+	0.000	0.000	Merged-chr3-87847872-25
NR171--MA0062.2.Gabpa	chr1	133763357	133763367	+	0.000	0.000	Merged-chr1-133763303-37
NR694--MA0062.2.Gabpa	chr11	95805233	95805243	-	0.000	0.000	Merged-chr11-95805339-25
NR421--MA0062.2.Gabpa	chr10	83722631	83722641	-	0.000	0.000	Merged-chr10-83722684-72
NR2492--MA0062.2.Gabpa	chr3	54567533	54567543	-	0.000	0.000	Merged-chr3-54567528-25
NR2415--MA0062.2.Gabpa	chr2	173436807	173436817	-	0.000	0.000	Merged-chr2-173436778-46
NR3378--MA0062.2.Gabpa	chr6	137795296	137795306	+	0.000	0.000	Merged-chr6-137795480-24
NR2524--MA0062.2.Gabpa	chr3	79181774	79181784	-	0.000	0.000	Merged-chr3-79181699-42
NR915--MA0062.2.Gabpa	chr12	100871417	100871427	+	0.000	0.000	Merged-chr12-100871436-2
NR1630--MA0062.2.Gabpa	chr16	90475939	90475949	-	0.000	0.000	Merged-chr16-90475942-51
NR3118--MA0062.2.Gabpa	chr5	120688594	120688604	+	0.000	0.000	Merged-chr5-120688663-27
NR2659--MA0062.2.Gabpa	chr3	144381744	144381754	-	0.000	0.000	Merged-chr3-144381817-2
NR3812--MA0062.2.Gabpa	chr8	117282265	117282275	-	0.000	0.000	Merged-chr8-117282187-1
NR3078--MA0062.2.Gabpa	chr5	100728972	100728982	+	0.000	0.000	Merged-chr5-100728924-32
NR113--MA0062.2.Gabpa	chr1	90740859	90740869	-	0.000	0.000	Merged-chr1-90740920-30
NR888--MA0062.2.Gabpa	chr12	84206912	84206922	-	0.000	0.000	Merged-chr12-84206763-48
NR378--MA0062.2.Gabpa	chr10	68035922	68035932	-	0.000	0.000	Merged-chr10-68036009-2
NR182--MA0062.2.Gabpa	chr1	141884577	141884587	+	0.000	0.000	Merged-chr1-141884458-46
NR1853--MA0062.2.Gabpa	chr18	31911270	31911280	-	0.000	0.000	Merged-chr18-31911303-2
NR4101--MA0062.2.Gabpa	chrX	48433679	48433689	-	0.000	0.000	Merged-chrX-48433621-61
NR2176--MA0062.2.Gabpa	chr2	58906964	58906974	+	0.000	0.000	Merged-chr2-58907164-60
NR2285--MA0062.2.Gabpa	chr2	119787520	119787530	-	0.000	0.000	Merged-chr2-119787564-60
NR1702--MA0062.2.Gabpa	chr17	27405820	27405830	-	0.000	0.000	Merged-chr17-27405803-19
NR145--MA0062.2.Gabpa	chr1	120055717	120055727	+	0.000	0.000	Merged-chr1-120055701-50
NR3430--MA0062.2.Gabpa	chr7	19871179	19871189	-	0.000	0.000	Merged-chr7-19871294-33
NR2256--MA0062.2.Gabpa	chr2	103754814	103754824	-	0.000	0.000	Merged-chr2-103754819-28
NR3687--MA0062.2.Gabpa	chr8	35674899	35674909	+	0.000	0.000	Merged-chr8-35674862-23
NR1612--MA0062.2.Gabpa	chr16	78560285	78560295	-	0.000	0.000	Merged-chr16-78560297-42
NR1516--MA0062.2.Gabpa	chr16	11448768	11448778	+	0.000	0.000	Merged-chr16-11448842-30
NR3382--MA0062.2.Gabpa	chr6	142561313	142561323	+	0.000	0.000	Merged-chr6-142561422-52
NR1768--MA0062.2.Gabpa	chr17	46829144	46829154	-	0.000	0.000	Merged-chr17-46829209-35
NR3937--MA0062.2.Gabpa	chr9	66593011	66593021	-	0.000	0.000	Merged-chr9-66593034-105
NR1115--MA0062.2.Gabpa	chr13	98832911	98832921	-	0.000	0.000	Merged-chr13-98832743-37
NR3807--MA0062.2.Gabpa	chr8	114815448	114815458	-	0.000	0.000	Merged-chr8-114815485-46
NR1856--MA0062.2.Gabpa	chr18	32880678	32880688	+	0.000	0.000	Merged-chr18-32880667-46
NR3788--MA0062.2.Gabpa	chr8	106643246	106643256	-	0.000	0.000	Merged-chr8-106643215-49
NR3135--MA0062.2.Gabpa	chr5	125137562	125137572	+	0.000	0.000	Merged-chr5-125137642-19
NR3515--MA0062.2.Gabpa	chr7	72344487	72344497	-	0.000	0.000	Merged-chr7-72344400-34
NR3419--MA0062.2.Gabpa	chr7	16024809	16024819	+	0.000	0.000	Merged-chr7-16024979-19
NR3236--MA0062.2.Gabpa	chr6	42343586	42343596	-	0.000	0.000	Merged-chr6-42343728-43
NR980--MA0062.2.Gabpa	chr13	19139304	19139314	+	0.000	0.000	Merged-chr13-19139213-36
NR632--MA0062.2.Gabpa	chr11	62762007	62762017	+	0.000	0.000	Merged-chr11-62762057-29
NR1155--MA0062.2.Gabpa	chr13	115179338	115179348	-	0.000	0.000	Merged-chr13-115179427-17
NR1949--MA0062.2.Gabpa	chr18	82607483	82607493	+	0.000	0.000	Merged-chr18-82607647-23
NR1806--MA0062.2.Gabpa	chr17	73869485	73869495	-	0.000	0.000	Merged-chr17-73869364-53
NR3337--MA0062.2.Gabpa	chr6	119199072	119199082	+	0.000	0.000	Merged-chr6-119199024-52
NR1418--MA0062.2.Gabpa	chr15	67087576	67087586	-	0.000	0.000	Merged-chr15-67087587-27
NR1004--MA0062.2.Gabpa	chr13	33072107	33072117	+	0.000	0.000	Merged-chr13-33072044-31
NR616--MA0062.2.Gabpa	chr11	57673235	57673245	-	0.000	0.000	Merged-chr11-57673266-26
NR1487--MA0062.2.Gabpa	chr15	99725652	99725662	+	0.000	0.000	Merged-chr15-99725695-59
NR2945--MA0062.2.Gabpa	chr4	145229291	145229301	+	0.000	0.000	Merged-chr4-145229202-5
NR922--MA0062.2.Gabpa	chr12	105001064	105001074	+	0.000	0.000	Merged-chr12-105001185-43
NR2491--MA0062.2.Gabpa	chr3	54567501	54567511	-	0.000	0.000	Merged-chr3-54567528-25
NR760--MA0062.2.Gabpa	chr11	115646641	115646651	+	0.000	0.000	Merged-chr11-115646752-30
NR2884--MA0062.2.Gabpa	chr4	119812928	119812938	-	0.000	0.000	Merged-chr4-119812995-31
NR948--MA0062.2.Gabpa	chr12	117418193	117418203	-	0.000	0.000	Merged-chr12-117418203-35
NR263--MA0062.2.Gabpa	chr1	183266361	183266371	-	0.000	0.000	Merged-chr1-183266289-26
NR2592--MA0062.2.Gabpa	chr3	107796676	107796686	+	0.000	0.000	Merged-chr3-107796765-38
NR669--MA0062.2.Gabpa	chr11	79640995	79641005	-	0.000	0.000	Merged-chr11-79641145-56
NR635--MA0062.2.Gabpa	chr11	67532357	67532367	+	0.000	0.000	Merged-chr11-67532343-16
NR2584--MA0062.2.Gabpa	chr3	102755964	102755974	-	0.000	0.000	Merged-chr3-102756086-59
NR47--MA0062.2.Gabpa	chr1	51585132	51585142	-	0.000	0.000	Merged-chr1-51585090-58
NR866--MA0062.2.Gabpa	chr12	69579723	69579733	-	0.000	0.000	Merged-chr12-69579802-27
NR3912--MA0062.2.Gabpa	chr9	56419114	56419124	-	0.000	0.000	Merged-chr9-56419056-3
NR879--MA0062.2.Gabpa	chr12	78981007	78981017	-	0.000	0.000	Merged-chr12-78980936-73
