#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR119--MA0641.1.ELF4	chr1	160246105	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR1853--MA0641.1.ELF4	chr5	98018296	98018307	+	0.000	0.000	Merged-chr5-98018284-53
NR397--MA0641.1.ELF4	chr11	72946544	72946555	-	0.000	0.000	Merged-chr11-72946553-29
NR957--MA0641.1.ELF4	chr16	49791087	49791098	+	0.000	0.000	Merged-chr16-49791055-52
NR206--MA0641.1.ELF4	chr10	41519891	41519902	-	0.000	0.000	Merged-chr10-41519783-1
NR1488--MA0641.1.ELF4	chr2	165453487	165453498	-	0.000	0.000	Merged-chr2-165453384-56
NR1027--MA0641.1.ELF4	chr17	21463686	21463697	+	0.000	0.000	Merged-chr17-21463736-49
NR144--MA0641.1.ELF4	chr1	177383082	177383093	-	0.000	0.000	Merged-chr1-177382915-26
NR2229--MA0641.1.ELF4	chr7	130812526	130812537	+	0.000	0.000	Merged-chr7-130812664-20
NR2087--MA0641.1.ELF4	chr6	144919925	144919936	-	0.000	0.000	Merged-chr6-144919933-48
NR2302--MA0641.1.ELF4	chr8	77292817	77292828	+	0.000	0.000	Merged-chr8-77292720-71
NR1710--MA0641.1.ELF4	chr4	117478228	117478239	+	0.000	0.000	Merged-chr4-117478210-39
NR1854--MA0641.1.ELF4	chr5	98018332	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR2094--MA0641.1.ELF4	chr7	4614252	4614263	-	0.000	0.000	Merged-chr7-4614138-46
NR1103--MA0641.1.ELF4	chr17	62857495	62857506	+	0.000	0.000	Merged-chr17-62857583-41
NR2243--MA0641.1.ELF4	chr7	140947141	140947152	-	0.000	0.000	Merged-chr7-140947277-49
NR2118--MA0641.1.ELF4	chr7	24237652	24237663	+	0.000	0.000	Merged-chr7-24237656-23
NR145--MA0641.1.ELF4	chr1	177383088	177383099	-	0.000	0.000	Merged-chr1-177382915-26
NR380--MA0641.1.ELF4	chr11	61699090	61699101	-	0.000	0.000	Merged-chr11-61699049-20
NR2237--MA0641.1.ELF4	chr7	137476590	137476601	-	0.000	0.000	Merged-chr7-137476773-22
NR1855--MA0641.1.ELF4	chr5	99495575	99495586	-	0.000	0.000	Merged-chr5-99495568-41
NR1757--MA0641.1.ELF4	chr4	139319923	139319934	+	0.000	0.000	Merged-chr4-139319909-27
NR2230--MA0641.1.ELF4	chr7	130818994	130819005	-	0.000	0.000	Merged-chr7-130819109-29
NR2360--MA0641.1.ELF4	chr8	125649592	125649603	+	0.000	0.000	Merged-chr8-125649394-37
NR756--MA0641.1.ELF4	chr14	46578293	46578304	-	0.000	0.000	Merged-chr14-46578431-37
NR327--MA0641.1.ELF4	chr11	11726279	11726290	-	0.000	0.000	Merged-chr11-11726036-106
NR941--MA0641.1.ELF4	chr16	24860682	24860693	+	0.000	0.000	Merged-chr16-24860567-33
NR1189--MA0641.1.ELF4	chr18	67502710	67502721	-	0.000	0.000	Merged-chr18-67502827-16
NR709--MA0641.1.ELF4	chr13	108072342	108072353	-	0.000	0.000	Merged-chr13-108072263-25
NR1301--MA0641.1.ELF4	chr2	10581309	10581320	-	0.000	0.000	Merged-chr2-10581253-23
NR1436--MA0641.1.ELF4	chr2	128367649	128367660	+	0.000	0.000	Merged-chr2-128367839-63
NR1356--MA0641.1.ELF4	chr2	57256211	57256222	+	0.000	0.000	Merged-chr2-57256116-15
NR142--MA0641.1.ELF4	chr1	174040946	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR2165--MA0641.1.ELF4	chr7	79300684	79300695	-	0.000	0.000	Merged-chr7-79300921-71
NR2412--MA0641.1.ELF4	chr9	52349426	52349437	-	0.000	0.000	Merged-chr9-52349266-37
NR2391--MA0641.1.ELF4	chr9	35495661	35495672	+	0.000	0.000	Merged-chr9-35495678-50
NR2369--MA0641.1.ELF4	chr8	128433411	128433422	+	0.000	0.000	Merged-chr8-128433570-8
NR1727--MA0641.1.ELF4	chr4	128618676	128618687	-	0.000	0.000	Merged-chr4-128618755-32
NR2065--MA0641.1.ELF4	chr6	134414422	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR433--MA0641.1.ELF4	chr11	93995198	93995209	+	0.000	0.000	Merged-chr11-93995310-5
NR2232--MA0641.1.ELF4	chr7	132702779	132702790	-	0.000	0.000	Merged-chr7-132702776-14
NR2250--MA0641.1.ELF4	chr7	144444947	144444958	+	0.000	0.000	Merged-chr7-144445036-55
NR2018--MA0641.1.ELF4	chr6	94681650	94681661	+	0.000	0.000	Merged-chr6-94681460-83
NR717--MA0641.1.ELF4	chr13	112388410	112388421	+	0.000	0.000	Merged-chr13-112388467-40
