#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR2540--MA0098.3.ETS1	chr4	152247182	152247191	-	0.000	0.000	Merged-chr4-152247398-23
NR321--MA0098.3.ETS1	chr10	42849069	42849078	+	0.000	0.000	Merged-chr10-42848913-29
NR1455--MA0098.3.ETS1	chr17	5295761	5295770	-	0.000	0.000	Merged-chr17-5295840-41
NR2791--MA0098.3.ETS1	chr6	54021305	54021314	-	0.000	0.000	Merged-chr6-54021435-16
NR1209--MA0098.3.ETS1	chr15	30693960	30693969	+	0.000	0.000	Merged-chr15-30693983-13
NR918--MA0098.3.ETS1	chr13	54765954	54765963	+	0.000	0.000	Merged-chr13-54766029-1
NR3130--MA0098.3.ETS1	chr7	141447541	141447550	-	0.000	0.000	Merged-chr7-141447520-63
NR3390--MA0098.3.ETS1	chr9	77683616	77683625	+	0.000	0.000	Merged-chr9-77683679-29
NR2072--MA0098.3.ETS1	chr2	150869620	150869629	-	0.000	0.000	Merged-chr2-150869596-45
NR981--MA0098.3.ETS1	chr13	95765118	95765127	+	0.000	0.000	Merged-chr13-95765232-46
NR3180--MA0098.3.ETS1	chr8	64826428	64826437	-	0.000	0.000	Merged-chr8-64826546-37
NR2990--MA0098.3.ETS1	chr7	35235429	35235438	+	0.000	0.000	Merged-chr7-35235542-10
NR1099--MA0098.3.ETS1	chr14	47395855	47395864	-	0.000	0.000	Merged-chr14-47395869-114
NR1560--MA0098.3.ETS1	chr17	72967596	72967605	+	0.000	0.000	Merged-chr17-72967626-25
NR2744--MA0098.3.ETS1	chr5	148888257	148888266	-	0.000	0.000	Merged-chr5-148888302-36
NR1887--MA0098.3.ETS1	chr2	43992672	43992681	+	0.000	0.000	Merged-chr2-43992698-17
NR1314--MA0098.3.ETS1	chr15	96319432	96319441	-	0.000	0.000	Merged-chr15-96319572-16
NR892--MA0098.3.ETS1	chr13	41773997	41774006	+	0.000	0.000	Merged-chr13-41774048-23
NR3508--MA0098.3.ETS1	chrX	106962412	106962421	+	0.000	0.000	Merged-chrX-106962471-28
NR3446--MA0098.3.ETS1	chr9	115134833	115134842	-	0.000	0.000	Merged-chr9-115134877-14
NR191--MA0098.3.ETS1	chr1	165063128	165063137	+	0.000	0.000	Merged-chr1-165063084-17
NR2818--MA0098.3.ETS1	chr6	83413099	83413108	-	0.000	0.000	Merged-chr6-83413092-38
NR2881--MA0098.3.ETS1	chr6	125222300	125222309	+	0.000	0.000	Merged-chr6-125222318-50
NR1451--MA0098.3.ETS1	chr16	96208604	96208613	-	0.000	0.000	Merged-chr16-96208613-13
NR322--MA0098.3.ETS1	chr10	42934828	42934837	+	0.000	0.000	Merged-chr10-42934777-29
NR1456--MA0098.3.ETS1	chr17	5303459	5303468	-	0.000	0.000	Merged-chr17-5303448-46
NR309--MA0098.3.ETS1	chr10	39293260	39293269	-	0.000	0.000	Merged-chr10-39293099-66
