#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR10016--MA0136.2.ELF5	chr9	66873804	66873814	-	0.000	0.000	Merged-chr9-66873901-61
NR4111--MA0640.1.ELF3	chr16	43650492	43650504	-	0.000	0.000	Merged-chr16-43650685-39
NR256--MA0136.2.ELF5	chr1	85720813	85720823	-	0.000	0.000	Merged-chr1-85720773-26
NR2704--MA0136.2.ELF5	chr13	29979437	29979447	-	0.000	0.000	Merged-chr13-29979339-43
NR8745--MA0640.1.ELF3	chr7	44741442	44741454	+	0.000	0.000	Merged-chr7-44741502-14
NR3960--MA0136.2.ELF5	chr16	11461755	11461765	+	0.000	0.000	Merged-chr16-11461779-30
NR1879--MA0136.2.ELF5	chr11	100804647	100804657	+	0.000	0.000	Merged-chr11-100804708-41
NR1100--MA0136.2.ELF5	chr10	77520658	77520668	+	0.000	0.000	Merged-chr10-77520752-38
NR7728--MA0473.2.ELF1	chr5	120709168	120709179	+	0.000	0.000	Merged-chr5-120709155-5
NR4822--MA0136.2.ELF5	chr18	7869017	7869027	+	0.000	0.000	Merged-chr18-7869140-116
NR8500--MA0473.2.ELF1	chr6	142561358	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR7416--MA0136.2.ELF5	chr5	31602551	31602561	-	0.000	0.000	Merged-chr5-31602596-35
NR10143--MA0473.2.ELF1	chr9	88709889	88709900	-	0.000	0.000	Merged-chr9-88709854-64
NR10144--MA0136.2.ELF5	chr9	88709889	88709899	-	0.000	0.000	Merged-chr9-88709854-64
NR4865--MA0641.1.ELF4	chr18	31911272	31911283	-	0.000	0.000	Merged-chr18-31911303-2
NR3674--MA0473.2.ELF1	chr15	58927824	58927835	-	0.000	0.000	Merged-chr15-58927815-41
NR8352--MA0641.1.ELF4	chr6	119199069	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR3602--MA0640.1.ELF3	chr15	30686424	30686436	+	0.000	0.000	Merged-chr15-30686490-29
NR1836--MA0136.2.ELF5	chr11	95805235	95805245	-	0.000	0.000	Merged-chr11-95805339-25
NR2834--MA0641.1.ELF4	chr13	62880528	62880539	-	0.000	0.000	Merged-chr13-62880327-44
NR8023--MA0473.2.ELF1	chr6	31216569	31216580	+	0.000	0.000	Merged-chr6-31216711-63
NR3177--MA0641.1.ELF4	chr14	23465417	23465428	-	0.000	0.000	Merged-chr14-23465360-30
NR891--MA0136.2.ELF5	chr10	21976496	21976506	-	0.000	0.000	Merged-chr10-21976372-39
NR4863--MA0640.1.ELF3	chr18	31911271	31911283	-	0.000	0.000	Merged-chr18-31911303-2
NR3398--MA0473.2.ELF1	chr14	75034283	75034294	-	0.000	0.000	Merged-chr14-75034378-51
NR3510--MA0473.2.ELF1	chr14	120572528	120572539	+	0.000	0.000	Merged-chr14-120572441-59
NR3675--MA0640.1.ELF3	chr15	58927823	58927835	-	0.000	0.000	Merged-chr15-58927815-41
NR4046--MA0136.2.ELF5	chr16	24238485	24238495	+	0.000	0.000	Merged-chr16-24238458-30
NR8350--MA0640.1.ELF3	chr6	119199069	119199081	+	0.000	0.000	Merged-chr6-119199024-52
NR1107--MA0473.2.ELF1	chr10	77537977	77537988	-	0.000	0.000	Merged-chr10-77538017-2
NR6394--MA0641.1.ELF4	chr3	79504255	79504266	+	0.000	0.000	Merged-chr3-79504313-1
NR6271--MA0136.2.ELF5	chr3	22022622	22022632	+	0.000	0.000	Merged-chr3-22022540-24
NR109--MA0136.2.ELF5	chr1	53791510	53791520	-	0.000	0.000	Merged-chr1-53791629-51
NR5741--MA0136.2.ELF5	chr2	73496103	73496113	-	0.000	0.000	Merged-chr2-73496048-53
NR3362--MA0641.1.ELF4	chr14	70283696	70283707	+	0.000	0.000	Merged-chr14-70283811-50
NR1957--MA0641.1.ELF4	chr11	107458527	107458538	+	0.000	0.000	Merged-chr11-107458669-70
