#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR3052--MA0098.3.ETS1	chr8	40595211	40595220	+	0.000	0.000	Merged-chr8-40595277-53
NR1204--MA0098.3.ETS1	chr15	53140638	53140647	-	0.000	0.000	Merged-chr15-53140511-27
NR782--MA0098.3.ETS1	chr12	91008854	91008863	+	0.000	0.000	Merged-chr12-91009085-35
NR2675--MA0098.3.ETS1	chr6	94760969	94760978	+	0.000	0.000	Merged-chr6-94761021-48
NR2214--MA0098.3.ETS1	chr4	19311200	19311209	+	0.000	0.000	Merged-chr4-19311302-15
NR2590--MA0098.3.ETS1	chr5	147022043	147022052	+	0.000	0.000	Merged-chr5-147021953-34
NR2022--MA0098.3.ETS1	chr2	173578386	173578395	-	0.000	0.000	Merged-chr2-173578364-53
NR2134--MA0098.3.ETS1	chr3	105133320	105133329	-	0.000	0.000	Merged-chr3-105133189-20
NR3439--MA0098.3.ETS1	chrX	169880553	169880562	+	0.000	0.000	Merged-chrX-169880422-92
NR1770--MA0098.3.ETS1	chr2	8965254	8965263	+	0.000	0.000	Merged-chr2-8965212-53
NR1430--MA0098.3.ETS1	chr17	8237659	8237668	+	0.000	0.000	Merged-chr17-8237581-7
NR2511--MA0098.3.ETS1	chr5	111357100	111357109	+	0.000	0.000	Merged-chr5-111357188-22
NR1869--MA0098.3.ETS1	chr2	75148051	75148060	-	0.000	0.000	Merged-chr2-75148078-33
NR365--MA0098.3.ETS1	chr10	84705370	84705379	+	0.000	0.000	Merged-chr10-84705452-12
NR119--MA0098.3.ETS1	chr1	128570106	128570115	-	0.000	0.000	Merged-chr1-128570257-50
NR13--MA0098.3.ETS1	chr1	34831613	34831622	+	0.000	0.000	Merged-chr1-34831505-37
NR845--MA0098.3.ETS1	chr13	9360251	9360260	+	0.000	0.000	Merged-chr13-9360244-14
NR2751--MA0098.3.ETS1	chr6	136695549	136695558	+	0.000	0.000	Merged-chr6-136695516-20
NR2505--MA0098.3.ETS1	chr5	107840733	107840742	+	0.000	0.000	Merged-chr5-107840807-27
NR2411--MA0098.3.ETS1	chr5	21370440	21370449	+	0.000	0.000	Merged-chr5-21370599-51
NR765--MA0098.3.ETS1	chr12	82469835	82469844	-	0.000	0.000	Merged-chr12-82469736-1
NR1438--MA0098.3.ETS1	chr17	17516535	17516544	-	0.000	0.000	Merged-chr17-17516616-15
NR340--MA0098.3.ETS1	chr10	78421128	78421137	-	0.000	0.000	Merged-chr10-78421100-18
NR667--MA0098.3.ETS1	chr11	116809743	116809752	+	0.000	0.000	Merged-chr11-116809683-9
NR3300--MA0098.3.ETS1	chr9	75541753	75541762	-	0.000	0.000	Merged-chr9-75541698-38
NR2676--MA0098.3.ETS1	chr6	94761059	94761068	+	0.000	0.000	Merged-chr6-94761021-48
NR3113--MA0098.3.ETS1	chr8	106949061	106949070	-	0.000	0.000	Merged-chr8-106949012-29
NR2265--MA0098.3.ETS1	chr4	63627278	63627287	+	0.000	0.000	Merged-chr4-63627315-28
NR185--MA0098.3.ETS1	chr1	166103427	166103436	-	0.000	0.000	Merged-chr1-166103457-10
NR1865--MA0098.3.ETS1	chr2	70727369	70727378	+	0.000	0.000	Merged-chr2-70727299-23
NR857--MA0098.3.ETS1	chr13	18948248	18948257	-	0.000	0.000	Merged-chr13-18948396-31
NR875--MA0098.3.ETS1	chr13	35129686	35129695	-	0.000	0.000	Merged-chr13-35129636-40
NR884--MA0098.3.ETS1	chr13	41773997	41774006	+	0.000	0.000	Merged-chr13-41774048-23
NR1333--MA0098.3.ETS1	chr16	24164783	24164792	+	0.000	0.000	Merged-chr16-24164966-5
NR1351--MA0098.3.ETS1	chr16	36540942	36540951	-	0.000	0.000	Merged-chr16-36541041-27
NR2647--MA0098.3.ETS1	chr6	67184887	67184896	+	0.000	0.000	Merged-chr6-67184785-39
NR549--MA0098.3.ETS1	chr11	76573066	76573075	-	0.000	0.000	Merged-chr11-76573046-33
NR446--MA0098.3.ETS1	chr10	128940648	128940657	+	0.000	0.000	Merged-chr10-128940717-41
