#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR5531--MA0475.2.FLI1	chr2	11429792	11429801	-	0.000	0.000	Merged-chr2-11429787-25
NR6757--MA0149.1.EWSR1-FLI1	chr3	97948853	97948870	-	0.000	0.000	Merged-chr3-97948797-28
NR3338--MA0475.2.FLI1	chr14	73253711	73253720	-	0.000	0.000	Merged-chr14-73253840-37
NR6144--MA0149.1.EWSR1-FLI1	chr2	132263979	132263996	+	0.000	0.000	Merged-chr2-132264143-23
NR4449--MA0149.1.EWSR1-FLI1	chr17	31060847	31060864	+	0.000	0.000	Merged-chr17-31061034-42
NR6515--MA0149.1.EWSR1-FLI1	chr3	36613457	36613474	+	0.000	0.000	Merged-chr3-36613405-48
NR5403--MA0149.1.EWSR1-FLI1	chr19	47441729	47441746	-	0.000	0.000	Merged-chr19-47441747-24
NR9121--MA0475.2.FLI1	chr6	134883897	134883906	+	0.000	0.000	Merged-chr6-134883955-22
NR4688--MA0475.2.FLI1	chr17	73222146	73222155	-	0.000	0.000	Merged-chr17-73222261-20
NR2188--MA0149.1.EWSR1-FLI1	chr12	52382953	52382970	-	0.000	0.000	Merged-chr12-52383146-23
NR6362--MA0149.1.EWSR1-FLI1	chr2	168741329	168741346	-	0.000	0.000	Merged-chr2-168741453-11
NR1138--MA0149.1.EWSR1-FLI1	chr10	80792484	80792501	-	0.000	0.000	Merged-chr10-80792465-13
