#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR1378--MA0641.1.ELF4	chr2	167839391	167839402	+	0.000	0.000	Merged-chr2-167839599-16
NR1168--MA0641.1.ELF4	chr19	32869427	32869438	-	0.000	0.000	Merged-chr19-32869388-31
NR809--MA0641.1.ELF4	chr15	80639246	80639257	+	0.000	0.000	Merged-chr15-80639278-38
NR970--MA0641.1.ELF4	chr17	32471028	32471039	+	0.000	0.000	Merged-chr17-32470948-41
NR514--MA0641.1.ELF4	chr12	105001156	105001167	-	0.000	0.000	Merged-chr12-105001185-43
NR1321--MA0641.1.ELF4	chr2	127189703	127189714	-	0.000	0.000	Merged-chr2-127189787-10
NR1778--MA0641.1.ELF4	chr5	115516782	115516793	+	0.000	0.000	Merged-chr5-115516638-85
NR336--MA0641.1.ELF4	chr11	62576653	62576664	-	0.000	0.000	Merged-chr11-62576695-29
NR1927--MA0641.1.ELF4	chr6	120529243	120529254	+	0.000	0.000	Merged-chr6-120529161-48
NR2171--MA0641.1.ELF4	chr8	91082196	91082207	+	0.000	0.000	Merged-chr8-91082333-75
NR1502--MA0641.1.ELF4	chr3	127892135	127892146	-	0.000	0.000	Merged-chr3-127892051-37
NR176--MA0641.1.ELF4	chr10	21419395	21419406	-	0.000	0.000	Merged-chr10-21419295-38
NR16--MA0641.1.ELF4	chr1	43997302	43997313	-	0.000	0.000	Merged-chr1-43997325-24
NR1342--MA0641.1.ELF4	chr2	144198940	144198951	-	0.000	0.000	Merged-chr2-144198804-26
NR1916--MA0641.1.ELF4	chr6	115524633	115524644	+	0.000	0.000	Merged-chr6-115524627-15
NR192--MA0641.1.ELF4	chr10	53461573	53461584	-	0.000	0.000	Merged-chr10-53461441-37
NR501--MA0641.1.ELF4	chr12	84762759	84762770	-	0.000	0.000	Merged-chr12-84762785-51
NR2192--MA0641.1.ELF4	chr8	113827473	113827484	-	0.000	0.000	Merged-chr8-113827512-18
NR1680--MA0641.1.ELF4	chr4	149469696	149469707	-	0.000	0.000	Merged-chr4-149469788-41
NR891--MA0641.1.ELF4	chr16	59452067	59452078	+	0.000	0.000	Merged-chr16-59451982-14
NR551--MA0641.1.ELF4	chr13	22714321	22714332	-	0.000	0.000	Merged-chr13-22714452-30
NR225--MA0641.1.ELF4	chr10	81127669	81127680	+	0.000	0.000	Merged-chr10-81127720-40
NR337--MA0641.1.ELF4	chr11	62762004	62762015	+	0.000	0.000	Merged-chr11-62762057-29
NR1923--MA0641.1.ELF4	chr6	119199069	119199080	+	0.000	0.000	Merged-chr6-119199024-52
NR1162--MA0641.1.ELF4	chr19	23323347	23323358	+	0.000	0.000	Merged-chr19-23323312-56
NR163--MA0641.1.ELF4	chr1	189608792	189608803	+	0.000	0.000	Merged-chr1-189608778-45
NR12--MA0641.1.ELF4	chr1	37481431	37481442	-	0.000	0.000	Merged-chr1-37481502-14
NR1982--MA0641.1.ELF4	chr7	19322574	19322585	+	0.000	0.000	Merged-chr7-19322692-6
NR2284--MA0641.1.ELF4	chr9	62348237	62348248	-	0.000	0.000	Merged-chr9-62348235-9
NR1633--MA0641.1.ELF4	chr4	128594133	128594144	+	0.000	0.000	Merged-chr4-128594333-42
NR755--MA0641.1.ELF4	chr15	27578204	27578215	+	0.000	0.000	Merged-chr15-27578127-37
NR509--MA0641.1.ELF4	chr12	102627711	102627722	-	0.000	0.000	Merged-chr12-102627698-2
NR71--MA0641.1.ELF4	chr1	133763354	133763365	+	0.000	0.000	Merged-chr1-133763303-37
NR1576--MA0641.1.ELF4	chr4	62481415	62481426	+	0.000	0.000	Merged-chr4-62481319-32
NR1209--MA0641.1.ELF4	chr2	11801754	11801765	+	0.000	0.000	Merged-chr2-11801641-32
NR1478--MA0641.1.ELF4	chr3	105815525	105815536	-	0.000	0.000	Merged-chr3-105815563-53
NR99--MA0641.1.ELF4	chr1	156459845	156459856	+	0.000	0.000	Merged-chr1-156459929-41
