#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_dn.bed
NR3800--MA0062.2.Gabpa	chr9	121741427	121741437	-	0.000	0.000	Merged-chr9-121741440-27
NR2443--MA0062.2.Gabpa	chr3	148867867	148867877	-	0.000	0.000	Merged-chr3-148867817-36
NR1737--MA0062.2.Gabpa	chr18	62494994	62495004	-	0.000	0.000	Merged-chr18-62494919-16
NR2305--MA0062.2.Gabpa	chr3	79273115	79273125	-	0.000	0.000	Merged-chr3-79273035-30
NR731--MA0062.2.Gabpa	chr12	34248919	34248929	+	0.000	0.000	Merged-chr12-34249045-49
NR1416--MA0062.2.Gabpa	chr16	51718973	51718983	+	0.000	0.000	Merged-chr16-51718909-24
NR1634--MA0062.2.Gabpa	chr17	73247122	73247132	-	0.000	0.000	Merged-chr17-73247076-30
NR2800--MA0062.2.Gabpa	chr5	66618854	66618864	+	0.000	0.000	Merged-chr5-66618614-86
NR1084--MA0062.2.Gabpa	chr14	47395853	47395863	-	0.000	0.000	Merged-chr14-47395869-114
NR3524--MA0062.2.Gabpa	chr8	104039720	104039730	+	0.000	0.000	Merged-chr8-104039758-41
NR2882--MA0062.2.Gabpa	chr5	115474636	115474646	-	0.000	0.000	Merged-chr5-115474524-35
NR2975--MA0062.2.Gabpa	chr6	28878181	28878191	+	0.000	0.000	Merged-chr6-28878211-33
NR2728--MA0062.2.Gabpa	chr5	9107475	9107485	+	0.000	0.000	Merged-chr5-9107352-33
NR3009--MA0062.2.Gabpa	chr6	70103433	70103443	-	0.000	0.000	Merged-chr6-70103466-27
NR277--MA0062.2.Gabpa	chr10	40025316	40025326	+	0.000	0.000	Merged-chr10-40025208-45
NR2192--MA0062.2.Gabpa	chr2	169089251	169089261	-	0.000	0.000	Merged-chr2-169089199-37
NR1460--MA0062.2.Gabpa	chr16	92443748	92443758	-	0.000	0.000	Merged-chr16-92443749-37
NR596--MA0062.2.Gabpa	chr11	85324124	85324134	-	0.000	0.000	Merged-chr11-85324179-42
NR2405--MA0062.2.Gabpa	chr3	132927973	132927983	-	0.000	0.000	Merged-chr3-132927951-20
NR1893--MA0062.2.Gabpa	chr2	11429790	11429800	-	0.000	0.000	Merged-chr2-11429787-25
NR259--MA0062.2.Gabpa	chr10	26630326	26630336	-	0.000	0.000	Merged-chr10-26630459-16
NR3523--MA0062.2.Gabpa	chr8	104039503	104039513	-	0.000	0.000	Merged-chr8-104039758-41
NR775--MA0062.2.Gabpa	chr12	75494766	75494776	+	0.000	0.000	Merged-chr12-75494766-18
NR1394--MA0062.2.Gabpa	chr16	30597166	30597176	-	0.000	0.000	Merged-chr16-30597297-42
NR10--MA0062.2.Gabpa	chr1	13593598	13593608	-	0.000	0.000	Merged-chr1-13593495-61
NR3308--MA0062.2.Gabpa	chr7	99448808	99448818	-	0.000	0.000	Merged-chr7-99448704-1
NR2061--MA0062.2.Gabpa	chr2	103668261	103668271	+	0.000	0.000	Merged-chr2-103668249-32
NR2311--MA0062.2.Gabpa	chr3	83993395	83993405	+	0.000	0.000	Merged-chr3-83993440-19
NR2438--MA0062.2.Gabpa	chr3	146121657	146121667	-	0.000	0.000	Merged-chr3-146121713-45
NR2242--MA0062.2.Gabpa	chr3	9500060	9500070	-	0.000	0.000	Merged-chr3-9499976-58
NR2213--MA0062.2.Gabpa	chr2	174566066	174566076	+	0.000	0.000	Merged-chr2-174566072-46
NR1462--MA0062.2.Gabpa	chr16	93574723	93574733	-	0.000	0.000	Merged-chr16-93574695-56
NR1215--MA0062.2.Gabpa	chr15	31239882	31239892	+	0.000	0.000	Merged-chr15-31239940-27
NR2279--MA0062.2.Gabpa	chr3	51636832	51636842	-	0.000	0.000	Merged-chr3-51637013-67
NR610--MA0062.2.Gabpa	chr11	90576787	90576797	+	0.000	0.000	Merged-chr11-90576690-20
NR1757--MA0062.2.Gabpa	chr18	75426327	75426337	+	0.000	0.000	Merged-chr18-75426395-54
NR302--MA0062.2.Gabpa	chr10	60162517	60162527	-	0.000	0.000	Merged-chr10-60162645-38
NR1436--MA0062.2.Gabpa	chr16	76341876	76341886	-	0.000	0.000	Merged-chr16-76341927-28
NR1144--MA0062.2.Gabpa	chr14	73253709	73253719	-	0.000	0.000	Merged-chr14-73253840-37
NR3076--MA0062.2.Gabpa	chr6	115577640	115577650	-	0.000	0.000	Merged-chr6-115577839-87
NR2854--MA0062.2.Gabpa	chr5	105849464	105849474	+	0.000	0.000	Merged-chr5-105849504-21
NR2302--MA0062.2.Gabpa	chr3	79153379	79153389	-	0.000	0.000	Merged-chr3-79153347-66
