#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR1517--MA0098.3.ETS1	chr17	45488791	45488800	+	0.000	0.000	Merged-chr17-45488824-86
NR1781--MA0098.3.ETS1	chr19	41328888	41328897	+	0.000	0.000	Merged-chr19-41328970-48
NR2410--MA0098.3.ETS1	chr4	63399546	63399555	-	0.000	0.000	Merged-chr4-63399469-54
NR2509--MA0098.3.ETS1	chr4	134734823	134734832	+	0.000	0.000	Merged-chr4-134734669-83
NR1437--MA0098.3.ETS1	chr16	90995189	90995198	-	0.000	0.000	Merged-chr16-90995039-12
NR460--MA0098.3.ETS1	chr10	130322824	130322833	-	0.000	0.000	Merged-chr10-130322822-49
NR1567--MA0098.3.ETS1	chr17	73952316	73952325	+	0.000	0.000	Merged-chr17-73952254-58
NR2429--MA0098.3.ETS1	chr4	97861176	97861185	-	0.000	0.000	Merged-chr4-97861060-64
NR2250--MA0098.3.ETS1	chr3	103872780	103872789	-	0.000	0.000	Merged-chr3-103872856-42
NR1295--MA0098.3.ETS1	chr15	83474145	83474154	+	0.000	0.000	Merged-chr15-83474258-63
NR3238--MA0098.3.ETS1	chr8	106643248	106643257	-	0.000	0.000	Merged-chr8-106643215-49
NR1882--MA0098.3.ETS1	chr2	38988328	38988337	-	0.000	0.000	Merged-chr2-38988240-32
NR735--MA0098.3.ETS1	chr12	35755333	35755342	-	0.000	0.000	Merged-chr12-35755374-29
NR3395--MA0098.3.ETS1	chr9	80266661	80266670	+	0.000	0.000	Merged-chr9-80266579-55
NR2632--MA0098.3.ETS1	chr5	93109687	93109696	-	0.000	0.000	Merged-chr5-93109666-38
NR38--MA0098.3.ETS1	chr1	51585134	51585143	-	0.000	0.000	Merged-chr1-51585090-58
NR203--MA0098.3.ETS1	chr1	170167961	170167970	+	0.000	0.000	Merged-chr1-170167960-28
NR566--MA0098.3.ETS1	chr11	68499133	68499142	+	0.000	0.000	Merged-chr11-68499042-49
NR2678--MA0098.3.ETS1	chr5	115516596	115516605	-	0.000	0.000	Merged-chr5-115516638-85
NR2911--MA0098.3.ETS1	chr6	137795295	137795304	+	0.000	0.000	Merged-chr6-137795480-24
NR813--MA0098.3.ETS1	chr12	105001156	105001165	-	0.000	0.000	Merged-chr12-105001185-43
