#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf4/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR1915--MA0641.1.ELF4	chr6	67183705	67183716	+	0.000	0.000	Merged-chr6-67183808-15
NR150--MA0641.1.ELF4	chr1	174040946	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR1378--MA0641.1.ELF4	chr2	112676824	112676835	-	0.000	0.000	Merged-chr2-112676754-32
NR173--MA0641.1.ELF4	chr1	189608792	189608803	+	0.000	0.000	Merged-chr1-189608778-45
NR952--MA0641.1.ELF4	chr16	18089239	18089250	+	0.000	0.000	Merged-chr16-18089108-33
NR1661--MA0641.1.ELF4	chr4	122829558	122829569	+	0.000	0.000	Merged-chr4-122829434-12
NR2309--MA0641.1.ELF4	chr9	43242513	43242524	-	0.000	0.000	Merged-chr9-43242516-24
NR1977--MA0641.1.ELF4	chr6	127472173	127472184	+	0.000	0.000	Merged-chr6-127472187-33
NR969--MA0641.1.ELF4	chr16	36540942	36540953	-	0.000	0.000	Merged-chr16-36541041-27
NR1552--MA0641.1.ELF4	chr3	126834969	126834980	+	0.000	0.000	Merged-chr3-126834809-55
NR2087--MA0641.1.ELF4	chr7	78451873	78451884	+	0.000	0.000	Merged-chr7-78451897-56
NR2199--MA0641.1.ELF4	chr8	64826647	64826658	+	0.000	0.000	Merged-chr8-64826546-37
NR1575--MA0641.1.ELF4	chr3	144591303	144591314	+	0.000	0.000	Merged-chr3-144591481-19
NR213--MA0641.1.ELF4	chr10	41615621	41615632	+	0.000	0.000	Merged-chr10-41615681-31
NR348--MA0641.1.ELF4	chr11	32062051	32062062	-	0.000	0.000	Merged-chr11-32062095-48
NR2357--MA0641.1.ELF4	chr9	69757422	69757433	+	0.000	0.000	Merged-chr9-69757438-24
NR1039--MA0641.1.ELF4	chr17	21909677	21909688	+	0.000	0.000	Merged-chr17-21909627-78
NR1187--MA0641.1.ELF4	chr18	67308455	67308466	-	0.000	0.000	Merged-chr18-67308419-119
NR1854--MA0641.1.ELF4	chr5	146781758	146781769	-	0.000	0.000	Merged-chr5-146781945-52
NR609--MA0641.1.ELF4	chr13	5286544	5286555	-	0.000	0.000	Merged-chr13-5286449-11
NR1578--MA0641.1.ELF4	chr3	146039585	146039596	-	0.000	0.000	Merged-chr3-146039588-29
NR337--MA0641.1.ELF4	chr11	6705088	6705099	+	0.000	0.000	Merged-chr11-6705219-50
NR2346--MA0641.1.ELF4	chr9	66492520	66492531	+	0.000	0.000	Merged-chr9-66492510-30
NR1731--MA0641.1.ELF4	chr5	29205908	29205919	-	0.000	0.000	Merged-chr5-29205850-28
NR979--MA0641.1.ELF4	chr16	49791087	49791098	+	0.000	0.000	Merged-chr16-49791055-52
