#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR2456--MA0062.2.Gabpa	chr3	32409317	32409327	-	0.000	0.000	Merged-chr3-32409159-38
NR2108--MA0062.2.Gabpa	chr2	23041619	23041629	-	0.000	0.000	Merged-chr2-23041695-10
NR3112--MA0062.2.Gabpa	chr5	120709171	120709181	+	0.000	0.000	Merged-chr5-120709155-5
NR2318--MA0062.2.Gabpa	chr2	144646532	144646542	+	0.000	0.000	Merged-chr2-144646502-21
NR1697--MA0062.2.Gabpa	chr17	35817788	35817798	+	0.000	0.000	Merged-chr17-35817739-6
NR1283--MA0062.2.Gabpa	chr14	120572389	120572399	+	0.000	0.000	Merged-chr14-120572441-59
NR1809--MA0062.2.Gabpa	chr17	88701078	88701088	-	0.000	0.000	Merged-chr17-88701095-28
NR3558--MA0062.2.Gabpa	chr7	81863362	81863372	+	0.000	0.000	Merged-chr7-81863346-31
NR3110--MA0062.2.Gabpa	chr5	118620631	118620641	-	0.000	0.000	Merged-chr5-118620530-42
NR4099--MA0062.2.Gabpa	chr9	122226611	122226621	+	0.000	0.000	Merged-chr9-122226680-11
NR3192--MA0062.2.Gabpa	chr5	150262966	150262976	-	0.000	0.000	Merged-chr5-150262822-29
NR3333--MA0062.2.Gabpa	chr6	117874789	117874799	+	0.000	0.000	Merged-chr6-117874923-6
NR1788--MA0062.2.Gabpa	chr17	80067469	80067479	+	0.000	0.000	Merged-chr17-80067484-12
NR1278--MA0062.2.Gabpa	chr14	118834424	118834434	-	0.000	0.000	Merged-chr14-118834540-52
NR1039--MA0062.2.Gabpa	chr13	62880477	62880487	+	0.000	0.000	Merged-chr13-62880327-44
NR476--MA0062.2.Gabpa	chr10	117925767	117925777	-	0.000	0.000	Merged-chr10-117925903-63
NR585--MA0062.2.Gabpa	chr11	58189833	58189843	+	0.000	0.000	Merged-chr11-58189839-18
NR2407--MA0062.2.Gabpa	chr2	174566066	174566076	+	0.000	0.000	Merged-chr2-174566072-46
NR479--MA0062.2.Gabpa	chr10	118446402	118446412	+	0.000	0.000	Merged-chr10-118446344-23
NR2787--MA0062.2.Gabpa	chr4	95197232	95197242	-	0.000	0.000	Merged-chr4-95197383-10
NR689--MA0062.2.Gabpa	chr11	97825348	97825358	-	0.000	0.000	Merged-chr11-97825467-43
NR2495--MA0062.2.Gabpa	chr3	69205535	69205545	-	0.000	0.000	Merged-chr3-69205788-82
NR1641--MA0062.2.Gabpa	chr17	21383721	21383731	+	0.000	0.000	Merged-chr17-21383828-70
NR1468--MA0062.2.Gabpa	chr16	10976276	10976286	+	0.000	0.000	Merged-chr16-10976349-23
NR1957--MA0062.2.Gabpa	chr19	7117940	7117950	-	0.000	0.000	Merged-chr19-7118010-10
NR1121--MA0062.2.Gabpa	chr13	109239449	109239459	-	0.000	0.000	Merged-chr13-109239401-35
NR624--MA0062.2.Gabpa	chr11	73132329	73132339	-	0.000	0.000	Merged-chr11-73132319-6
NR3297--MA0062.2.Gabpa	chr6	90746376	90746386	+	0.000	0.000	Merged-chr6-90746372-25
NR1649--MA0062.2.Gabpa	chr17	25016822	25016832	-	0.000	0.000	Merged-chr17-25016921-2
NR3385--MA0062.2.Gabpa	chr6	142561313	142561323	+	0.000	0.000	Merged-chr6-142561422-52
NR943--MA0062.2.Gabpa	chr12	117418168	117418178	+	0.000	0.000	Merged-chr12-117418203-35
NR935--MA0062.2.Gabpa	chr12	111166379	111166389	+	0.000	0.000	Merged-chr12-111166510-86
NR263--MA0062.2.Gabpa	chr1	184064667	184064677	+	0.000	0.000	Merged-chr1-184064517-33
NR404--MA0062.2.Gabpa	chr10	80693006	80693016	+	0.000	0.000	Merged-chr10-80692829-7
NR866--MA0062.2.Gabpa	chr12	76095475	76095485	-	0.000	0.000	Merged-chr12-76095535-30
NR1259--MA0062.2.Gabpa	chr14	103363317	103363327	-	0.000	0.000	Merged-chr14-103363341-36
NR4222--MA0062.2.Gabpa	chrX	169986986	169986996	-	0.000	0.000	Merged-chrX-169986880-44
NR1640--MA0062.2.Gabpa	chr17	21383684	21383694	+	0.000	0.000	Merged-chr17-21383828-70
NR2016--MA0062.2.Gabpa	chr19	36926074	36926084	-	0.000	0.000	Merged-chr19-36926163-72
NR2173--MA0062.2.Gabpa	chr2	57356666	57356676	-	0.000	0.000	Merged-chr2-57356493-40
NR3336--MA0062.2.Gabpa	chr6	119199072	119199082	+	0.000	0.000	Merged-chr6-119199024-52
NR153--MA0062.2.Gabpa	chr1	128417147	128417157	-	0.000	0.000	Merged-chr1-128417160-94
NR54--MA0062.2.Gabpa	chr1	58392798	58392808	-	0.000	0.000	Merged-chr1-58392729-1
NR865--MA0062.2.Gabpa	chr12	76085165	76085175	+	0.000	0.000	Merged-chr12-76085234-6
NR321--MA0062.2.Gabpa	chr10	39293258	39293268	-	0.000	0.000	Merged-chr10-39293099-66
NR4234--MA0062.2.Gabpa	chrY	90744629	90744639	-	0.000	0.000	Merged-chrY-90744539-24
NR300--MA0062.2.Gabpa	chr10	20119647	20119657	+	0.000	0.000	Merged-chr10-20119637-31
