#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR1204--MA0149.1.EWSR1-FLI1	chr10	62543750	62543767	-	0.000	0.000	Merged-chr10-62543854-97
NR2382--MA0475.2.FLI1	chr12	13518319	13518328	-	0.000	0.000	Merged-chr12-13518316-35
NR1429--MA0149.1.EWSR1-FLI1	chr10	95179031	95179048	+	0.000	0.000	Merged-chr10-95179066-28
NR11273--MA0475.2.FLI1	chr8	91082198	91082207	+	0.000	0.000	Merged-chr8-91082333-75
NR11820--MA0149.1.EWSR1-FLI1	chr9	72274962	72274979	-	0.000	0.000	Merged-chr9-72275130-67
NR1852--MA0475.2.FLI1	chr11	58096350	58096359	-	0.000	0.000	Merged-chr11-58096378-33
NR10076--MA0475.2.FLI1	chr6	142561312	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR3663--MA0149.1.EWSR1-FLI1	chr14	55913569	55913586	-	0.000	0.000	Merged-chr14-55913661-13
NR11086--MA0149.1.EWSR1-FLI1	chr8	34654904	34654921	+	0.000	0.000	Merged-chr8-34654936-23
NR5858--MA0475.2.FLI1	chr19	18591201	18591210	+	0.000	0.000	Merged-chr19-18591291-34
NR5032--MA0149.1.EWSR1-FLI1	chr17	29500806	29500823	+	0.000	0.000	Merged-chr17-29500871-30
NR2608--MA0149.1.EWSR1-FLI1	chr12	86310072	86310089	-	0.000	0.000	Merged-chr12-86310059-67
NR2304--MA0149.1.EWSR1-FLI1	chr11	118146205	118146222	+	0.000	0.000	Merged-chr11-118146096-72
NR11027--MA0149.1.EWSR1-FLI1	chr8	22814408	22814425	-	0.000	0.000	Merged-chr8-22814386-45
NR11850--MA0149.1.EWSR1-FLI1	chr9	79947596	79947613	-	0.000	0.000	Merged-chr9-79947658-22
NR12037--MA0475.2.FLI1	chr9	108347947	108347956	+	0.000	0.000	Merged-chr9-108347879-58
NR6241--MA0149.1.EWSR1-FLI1	chr2	34204922	34204939	+	0.000	0.000	Merged-chr2-34204759-60
NR853--MA0149.1.EWSR1-FLI1	chr1	181211766	181211783	+	0.000	0.000	Merged-chr1-181211865-134
NR12357--MA0149.1.EWSR1-FLI1	chrX	100504590	100504607	+	0.000	0.000	Merged-chrX-100504535-34
NR2321--MA0475.2.FLI1	chr11	119677333	119677342	-	0.000	0.000	Merged-chr11-119677198-48
NR4897--MA0149.1.EWSR1-FLI1	chr17	3115082	3115099	+	0.000	0.000	Merged-chr17-3115134-154
NR12115--MA0149.1.EWSR1-FLI1	chr9	117910968	117910985	+	0.000	0.000	Merged-chr9-117910970-21
NR569--MA0149.1.EWSR1-FLI1	chr1	138565010	138565027	-	0.000	0.000	Merged-chr1-138564947-10
NR2317--MA0475.2.FLI1	chr11	119491366	119491375	+	0.000	0.000	Merged-chr11-119491430-54
NR2285--MA0149.1.EWSR1-FLI1	chr11	117246049	117246066	+	0.000	0.000	Merged-chr11-117246130-34
NR9861--MA0475.2.FLI1	chr6	115971342	115971351	-	0.000	0.000	Merged-chr6-115971349-10
NR8599--MA0149.1.EWSR1-FLI1	chr4	150809212	150809229	+	0.000	0.000	Merged-chr4-150809359-1
NR11537--MA0149.1.EWSR1-FLI1	chr9	14499346	14499363	+	0.000	0.000	Merged-chr9-14499189-81
NR7754--MA0149.1.EWSR1-FLI1	chr3	142545548	142545565	+	0.000	0.000	Merged-chr3-142545607-21
