#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Ets1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_dn.bed
NR616--MA0098.3.ETS1	chr11	95805235	95805244	-	0.000	0.000	Merged-chr11-95805339-25
NR1781--MA0098.3.ETS1	chr19	41328888	41328897	+	0.000	0.000	Merged-chr19-41328970-48
NR2509--MA0098.3.ETS1	chr4	134734823	134734832	+	0.000	0.000	Merged-chr4-134734669-83
NR460--MA0098.3.ETS1	chr10	130322824	130322833	-	0.000	0.000	Merged-chr10-130322822-49
NR1567--MA0098.3.ETS1	chr17	73952316	73952325	+	0.000	0.000	Merged-chr17-73952254-58
NR2657--MA0098.3.ETS1	chr5	108312789	108312798	-	0.000	0.000	Merged-chr5-108312691-63
NR1142--MA0098.3.ETS1	chr14	70283776	70283785	+	0.000	0.000	Merged-chr14-70283811-50
NR2899--MA0098.3.ETS1	chr6	134333184	134333193	+	0.000	0.000	Merged-chr6-134333133-48
NR2447--MA0098.3.ETS1	chr4	106970985	106970994	-	0.000	0.000	Merged-chr4-106970923-40
NR689--MA0098.3.ETS1	chr11	119847297	119847306	-	0.000	0.000	Merged-chr11-119847373-20
NR1290--MA0098.3.ETS1	chr15	79900295	79900304	-	0.000	0.000	Merged-chr15-79900284-5
NR2689--MA0098.3.ETS1	chr5	120688593	120688602	+	0.000	0.000	Merged-chr5-120688663-27
NR1295--MA0098.3.ETS1	chr15	83474145	83474154	+	0.000	0.000	Merged-chr15-83474258-63
NR1622--MA0098.3.ETS1	chr18	31911298	31911307	+	0.000	0.000	Merged-chr18-31911303-2
NR3238--MA0098.3.ETS1	chr8	106643248	106643257	-	0.000	0.000	Merged-chr8-106643215-49
NR717--MA0098.3.ETS1	chr12	17717103	17717112	+	0.000	0.000	Merged-chr12-17717287-34
NR3050--MA0098.3.ETS1	chr7	84173702	84173711	-	0.000	0.000	Merged-chr7-84173606-31
NR735--MA0098.3.ETS1	chr12	35755333	35755342	-	0.000	0.000	Merged-chr12-35755374-29
NR1757--MA0098.3.ETS1	chr19	24527495	24527504	-	0.000	0.000	Merged-chr19-24527365-48
NR3395--MA0098.3.ETS1	chr9	80266661	80266670	+	0.000	0.000	Merged-chr9-80266579-55
NR753--MA0098.3.ETS1	chr12	65065436	65065445	-	0.000	0.000	Merged-chr12-65065515-53
NR2632--MA0098.3.ETS1	chr5	93109687	93109696	-	0.000	0.000	Merged-chr5-93109666-38
NR3046--MA0098.3.ETS1	chr7	81863361	81863370	+	0.000	0.000	Merged-chr7-81863346-31
NR38--MA0098.3.ETS1	chr1	51585134	51585143	-	0.000	0.000	Merged-chr1-51585090-58
NR2856--MA0098.3.ETS1	chr6	113673135	113673144	-	0.000	0.000	Merged-chr6-113673197-18
NR3064--MA0098.3.ETS1	chr7	101466402	101466411	+	0.000	0.000	Merged-chr7-101466620-78
NR543--MA0098.3.ETS1	chr11	57673237	57673246	-	0.000	0.000	Merged-chr11-57673266-26
NR655--MA0098.3.ETS1	chr11	108101612	108101621	-	0.000	0.000	Merged-chr11-108101692-19
NR100--MA0098.3.ETS1	chr1	90740912	90740921	-	0.000	0.000	Merged-chr1-90740920-30
NR1328--MA0098.3.ETS1	chr15	99725651	99725660	+	0.000	0.000	Merged-chr15-99725695-59
NR2664--MA0098.3.ETS1	chr5	112239849	112239858	+	0.000	0.000	Merged-chr5-112239781-12
NR696--MA0098.3.ETS1	chr11	121229291	121229300	-	0.000	0.000	Merged-chr11-121229163-59
NR1382--MA0098.3.ETS1	chr16	23328323	23328332	-	0.000	0.000	Merged-chr16-23328334-50
NR2678--MA0098.3.ETS1	chr5	115516596	115516605	-	0.000	0.000	Merged-chr5-115516638-85
NR1154--MA0098.3.ETS1	chr14	75034283	75034292	-	0.000	0.000	Merged-chr14-75034378-51
NR2911--MA0098.3.ETS1	chr6	137795295	137795304	+	0.000	0.000	Merged-chr6-137795480-24
