#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_dn.bed
NR217--MA0149.1.EWSR1-FLI1	chr1	82836667	82836684	-	0.000	0.000	Merged-chr1-82836652-59
NR6061--MA0475.2.FLI1	chr2	57356668	57356677	-	0.000	0.000	Merged-chr2-57356493-40
NR11306--MA0149.1.EWSR1-FLI1	chr9	80252350	80252367	+	0.000	0.000	Merged-chr9-80252331-18
NR610--MA0149.1.EWSR1-FLI1	chr1	165691720	165691737	-	0.000	0.000	Merged-chr1-165691684-32
NR11615--MA0149.1.EWSR1-FLI1	chr9	119254952	119254969	-	0.000	0.000	Merged-chr9-119254891-26
NR3112--MA0149.1.EWSR1-FLI1	chr13	85356277	85356294	-	0.000	0.000	Merged-chr13-85356477-8
NR5536--MA0475.2.FLI1	chr19	7117942	7117951	-	0.000	0.000	Merged-chr19-7118010-10
NR126--MA0149.1.EWSR1-FLI1	chr1	57952657	57952674	-	0.000	0.000	Merged-chr1-57952740-16
NR10879--MA0149.1.EWSR1-FLI1	chr8	115070277	115070294	-	0.000	0.000	Merged-chr8-115070439-32
NR3603--MA0475.2.FLI1	chr14	70284029	70284038	+	0.000	0.000	Merged-chr14-70283811-50
NR5166--MA0149.1.EWSR1-FLI1	chr18	6377660	6377677	-	0.000	0.000	Merged-chr18-6377739-17
NR4096--MA0149.1.EWSR1-FLI1	chr15	81514374	81514391	-	0.000	0.000	Merged-chr15-81514359-43
NR8068--MA0475.2.FLI1	chr4	138863510	138863519	-	0.000	0.000	Merged-chr4-138863529-4
NR11307--MA0149.1.EWSR1-FLI1	chr9	80252354	80252371	+	0.000	0.000	Merged-chr9-80252331-18
NR386--MA0149.1.EWSR1-FLI1	chr1	128417130	128417147	+	0.000	0.000	Merged-chr1-128417160-94
