#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR2934--MA0640.1.ELF3	chr13	83602995	83603007	+	0.000	0.000	Merged-chr13-83602935-5
NR1599--MA0473.2.ELF1	chr11	54802025	54802036	-	0.000	0.000	Merged-chr11-54802192-79
NR1056--MA0641.1.ELF4	chr10	77537977	77537988	-	0.000	0.000	Merged-chr10-77538017-2
NR1600--MA0640.1.ELF3	chr11	54802024	54802036	-	0.000	0.000	Merged-chr11-54802192-79
NR7564--MA0136.2.ELF5	chr4	138259673	138259683	-	0.000	0.000	Merged-chr4-138259629-9
NR9590--MA0640.1.ELF3	chr7	127288191	127288203	+	0.000	0.000	Merged-chr7-127288112-51
NR4575--MA0641.1.ELF4	chr17	33940368	33940379	+	0.000	0.000	Merged-chr17-33940486-52
NR1601--MA0136.2.ELF5	chr11	54802025	54802035	-	0.000	0.000	Merged-chr11-54802192-79
NR9591--MA0136.2.ELF5	chr7	127288192	127288202	+	0.000	0.000	Merged-chr7-127288112-51
NR8618--MA0473.2.ELF1	chr6	86594852	86594863	-	0.000	0.000	Merged-chr6-86595040-14
NR4720--MA0641.1.ELF4	chr17	51814552	51814563	+	0.000	0.000	Merged-chr17-51814512-17
NR10282--MA0136.2.ELF5	chr9	21167849	21167859	+	0.000	0.000	Merged-chr9-21167831-1
NR2933--MA0473.2.ELF1	chr13	83602995	83603006	+	0.000	0.000	Merged-chr13-83602935-5
NR7563--MA0640.1.ELF3	chr4	138259672	138259684	-	0.000	0.000	Merged-chr4-138259629-9
NR1602--MA0641.1.ELF4	chr11	54802025	54802036	-	0.000	0.000	Merged-chr11-54802192-79
NR1053--MA0473.2.ELF1	chr10	77537977	77537988	-	0.000	0.000	Merged-chr10-77538017-2
NR4492--MA0641.1.ELF4	chr17	25015776	25015787	-	0.000	0.000	Merged-chr17-25015631-3
NR1054--MA0640.1.ELF3	chr10	77537976	77537988	-	0.000	0.000	Merged-chr10-77538017-2
NR2935--MA0136.2.ELF5	chr13	83602996	83603006	+	0.000	0.000	Merged-chr13-83602935-5
NR1055--MA0136.2.ELF5	chr10	77537977	77537987	-	0.000	0.000	Merged-chr10-77538017-2
NR4573--MA0473.2.ELF1	chr17	33940368	33940379	+	0.000	0.000	Merged-chr17-33940486-52
NR10741--MA0640.1.ELF3	chr9	108122402	108122414	+	0.000	0.000	Merged-chr9-108122547-9
NR4574--MA0640.1.ELF3	chr17	33940368	33940380	+	0.000	0.000	Merged-chr17-33940486-52
NR2936--MA0641.1.ELF4	chr13	83602995	83603006	+	0.000	0.000	Merged-chr13-83602935-5
