#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR1761--MA0062.2.Gabpa	chr18	35726809	35726819	+	0.000	0.000	Merged-chr18-35726871-27
NR2743--MA0062.2.Gabpa	chr4	149856611	149856621	+	0.000	0.000	Merged-chr4-149856656-49
NR2498--MA0062.2.Gabpa	chr3	144232117	144232127	-	0.000	0.000	Merged-chr3-144232172-58
NR2050--MA0062.2.Gabpa	chr2	45139085	45139095	+	0.000	0.000	Merged-chr2-45139148-28
NR2509--MA0062.2.Gabpa	chr3	148491392	148491402	+	0.000	0.000	Merged-chr3-148491583-74
NR1841--MA0062.2.Gabpa	chr18	89340577	89340587	+	0.000	0.000	Merged-chr18-89340691-47
NR1976--MA0062.2.Gabpa	chr2	10581307	10581317	-	0.000	0.000	Merged-chr2-10581253-23
NR1562--MA0062.2.Gabpa	chr17	12656040	12656050	-	0.000	0.000	Merged-chr17-12655999-51
NR3792--MA0062.2.Gabpa	chr9	77514123	77514133	-	0.000	0.000	Merged-chr9-77514125-35
NR3619--MA0062.2.Gabpa	chr8	115878485	115878495	+	0.000	0.000	Merged-chr8-115878428-26
NR853--MA0062.2.Gabpa	chr12	91008855	91008865	+	0.000	0.000	Merged-chr12-91009085-35
NR3707--MA0062.2.Gabpa	chr9	21455325	21455335	-	0.000	0.000	Merged-chr9-21455385-20
NR95--MA0062.2.Gabpa	chr1	87181026	87181036	+	0.000	0.000	Merged-chr1-87181117-21
NR1076--MA0062.2.Gabpa	chr13	112507914	112507924	+	0.000	0.000	Merged-chr13-112507882-42
NR1055--MA0062.2.Gabpa	chr13	103412733	103412743	+	0.000	0.000	Merged-chr13-103412841-15
NR3192--MA0062.2.Gabpa	chr6	143954669	143954679	+	0.000	0.000	Merged-chr6-143954525-20
NR1557--MA0062.2.Gabpa	chr17	8237660	8237670	+	0.000	0.000	Merged-chr17-8237581-7
NR747--MA0062.2.Gabpa	chr12	16474625	16474635	-	0.000	0.000	Merged-chr12-16474710-17
NR2858--MA0062.2.Gabpa	chr5	86783399	86783409	+	0.000	0.000	Merged-chr5-86783243-43
NR3569--MA0062.2.Gabpa	chr8	83566738	83566748	+	0.000	0.000	Merged-chr8-83566861-57
NR2503--MA0062.2.Gabpa	chr3	146039583	146039593	-	0.000	0.000	Merged-chr3-146039588-29
NR2211--MA0062.2.Gabpa	chr2	153003038	153003048	+	0.000	0.000	Merged-chr2-153002914-29
NR418--MA0062.2.Gabpa	chr10	93356315	93356325	-	0.000	0.000	Merged-chr10-93356301-45
NR2463--MA0062.2.Gabpa	chr3	123173836	123173846	+	0.000	0.000	Merged-chr3-123173705-1
NR2585--MA0062.2.Gabpa	chr4	44271230	44271240	-	0.000	0.000	Merged-chr4-44271283-50
NR519--MA0062.2.Gabpa	chr11	32062049	32062059	-	0.000	0.000	Merged-chr11-32062095-48
NR3990--MA0062.2.Gabpa	chrX	169880554	169880564	+	0.000	0.000	Merged-chrX-169880422-92
