#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR9831--MA0149.1.EWSR1-FLI1	chr7	24452294	24452311	+	0.000	0.000	Merged-chr7-24452185-33
NR9710--MA0149.1.EWSR1-FLI1	chr6	145284630	145284647	+	0.000	0.000	Merged-chr6-145284477-26
NR2729--MA0149.1.EWSR1-FLI1	chr12	112857234	112857251	+	0.000	0.000	Merged-chr12-112857431-10
NR3579--MA0149.1.EWSR1-FLI1	chr14	64734632	64734649	-	0.000	0.000	Merged-chr14-64734579-23
NR10053--MA0149.1.EWSR1-FLI1	chr7	80091810	80091827	+	0.000	0.000	Merged-chr7-80091619-59
NR1046--MA0149.1.EWSR1-FLI1	chr10	40451930	40451947	-	0.000	0.000	Merged-chr10-40451996-39
NR1848--MA0475.2.FLI1	chr11	61699090	61699099	-	0.000	0.000	Merged-chr11-61699049-20
NR9735--MA0149.1.EWSR1-FLI1	chr6	148436479	148436496	-	0.000	0.000	Merged-chr6-148436541-68
NR9309--MA0475.2.FLI1	chr6	94681652	94681661	+	0.000	0.000	Merged-chr6-94681460-83
NR10350--MA0149.1.EWSR1-FLI1	chr7	125181653	125181670	+	0.000	0.000	Merged-chr7-125181678-10
NR786--MA0149.1.EWSR1-FLI1	chr1	184751450	184751467	-	0.000	0.000	Merged-chr1-184751461-18
NR3294--MA0475.2.FLI1	chr13	108072342	108072351	-	0.000	0.000	Merged-chr13-108072263-25
NR11310--MA0475.2.FLI1	chr9	80318180	80318189	-	0.000	0.000	Merged-chr9-80318250-48
NR415--MA0475.2.FLI1	chr1	133012490	133012499	+	0.000	0.000	Merged-chr1-133012523-20
NR665--MA0149.1.EWSR1-FLI1	chr1	171966163	171966180	-	0.000	0.000	Merged-chr1-171966306-50
NR791--MA0475.2.FLI1	chr1	184908700	184908709	+	0.000	0.000	Merged-chr1-184908710-36
NR8695--MA0149.1.EWSR1-FLI1	chr5	118082034	118082051	-	0.000	0.000	Merged-chr5-118082270-75
NR4588--MA0149.1.EWSR1-FLI1	chr16	94185594	94185611	+	0.000	0.000	Merged-chr16-94185634-42
NR10049--MA0149.1.EWSR1-FLI1	chr7	80091717	80091734	-	0.000	0.000	Merged-chr7-80091619-59
NR774--MA0149.1.EWSR1-FLI1	chr1	183964398	183964415	-	0.000	0.000	Merged-chr1-183964383-6
NR9711--MA0149.1.EWSR1-FLI1	chr6	145374146	145374163	-	0.000	0.000	Merged-chr6-145374203-80
NR9825--MA0475.2.FLI1	chr7	24237678	24237687	+	0.000	0.000	Merged-chr7-24237656-23
NR9978--MA0149.1.EWSR1-FLI1	chr7	58759547	58759564	-	0.000	0.000	Merged-chr7-58759463-23
NR6596--MA0475.2.FLI1	chr2	165453487	165453496	-	0.000	0.000	Merged-chr2-165453384-56
NR9736--MA0149.1.EWSR1-FLI1	chr6	148436482	148436499	-	0.000	0.000	Merged-chr6-148436541-68
NR515--MA0149.1.EWSR1-FLI1	chr1	152084853	152084870	+	0.000	0.000	Merged-chr1-152084822-56
NR11584--MA0149.1.EWSR1-FLI1	chr9	116212225	116212242	+	0.000	0.000	Merged-chr9-116212405-59
NR6746--MA0149.1.EWSR1-FLI1	chr2	181483769	181483786	-	0.000	0.000	Merged-chr2-181483913-67
NR1339--MA0149.1.EWSR1-FLI1	chr10	94523913	94523930	+	0.000	0.000	Merged-chr10-94523917-65
NR8687--MA0475.2.FLI1	chr5	117107584	117107593	-	0.000	0.000	Merged-chr5-117107665-16
NR3986--MA0149.1.EWSR1-FLI1	chr15	62390491	62390508	+	0.000	0.000	Merged-chr15-62390498-8
NR278--MA0149.1.EWSR1-FLI1	chr1	91095424	91095441	+	0.000	0.000	Merged-chr1-91095433-53
NR5888--MA0475.2.FLI1	chr2	26623188	26623197	+	0.000	0.000	Merged-chr2-26623162-26
NR10038--MA0149.1.EWSR1-FLI1	chr7	79300717	79300734	+	0.000	0.000	Merged-chr7-79300921-71
NR6747--MA0149.1.EWSR1-FLI1	chr2	181483773	181483790	-	0.000	0.000	Merged-chr2-181483913-67
NR8180--MA0149.1.EWSR1-FLI1	chr4	149664349	149664366	-	0.000	0.000	Merged-chr4-149664202-47
NR9537--MA0149.1.EWSR1-FLI1	chr6	127336817	127336834	-	0.000	0.000	Merged-chr6-127336586-54
NR687--MA0475.2.FLI1	chr1	174040948	174040957	+	0.000	0.000	Merged-chr1-174041007-47
NR4298--MA0149.1.EWSR1-FLI1	chr16	21694664	21694681	-	0.000	0.000	Merged-chr16-21694504-65
NR4570--MA0149.1.EWSR1-FLI1	chr16	93552921	93552938	-	0.000	0.000	Merged-chr16-93552984-42
NR7093--MA0149.1.EWSR1-FLI1	chr3	97211352	97211369	+	0.000	0.000	Merged-chr3-97211392-28
NR11677--MA0149.1.EWSR1-FLI1	chr9	122398960	122398977	+	0.000	0.000	Merged-chr9-122399009-31
NR9221--MA0149.1.EWSR1-FLI1	chr6	72955009	72955026	-	0.000	0.000	Merged-chr6-72954977-48
NR1600--MA0149.1.EWSR1-FLI1	chr10	128940660	128940677	-	0.000	0.000	Merged-chr10-128940717-41
NR10511--MA0475.2.FLI1	chr7	144444949	144444958	+	0.000	0.000	Merged-chr7-144445036-55
NR3666--MA0149.1.EWSR1-FLI1	chr14	78308147	78308164	-	0.000	0.000	Merged-chr14-78307953-14
NR4269--MA0149.1.EWSR1-FLI1	chr16	14379917	14379934	-	0.000	0.000	Merged-chr16-14380008-54
NR9372--MA0149.1.EWSR1-FLI1	chr6	108448379	108448396	-	0.000	0.000	Merged-chr6-108448378-58
NR9738--MA0149.1.EWSR1-FLI1	chr6	148436486	148436503	-	0.000	0.000	Merged-chr6-148436541-68
