#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gabpa/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR265--MA0062.2.Gabpa	chr1	184908701	184908711	+	0.000	0.000	Merged-chr1-184908710-36
NR2172--MA0062.2.Gabpa	chr2	57256214	57256224	+	0.000	0.000	Merged-chr2-57256116-15
NR3901--MA0062.2.Gabpa	chr8	128433414	128433424	+	0.000	0.000	Merged-chr8-128433570-8
NR3895--MA0062.2.Gabpa	chr8	125669771	125669781	+	0.000	0.000	Merged-chr8-125669948-44
NR329--MA0062.2.Gabpa	chr10	40713416	40713426	-	0.000	0.000	Merged-chr10-40713251-44
NR1934--MA0062.2.Gabpa	chr18	89340577	89340587	+	0.000	0.000	Merged-chr18-89340691-47
NR3670--MA0062.2.Gabpa	chr7	130818992	130819002	-	0.000	0.000	Merged-chr7-130819109-29
NR3444--MA0062.2.Gabpa	chr7	24237679	24237689	+	0.000	0.000	Merged-chr7-24237656-23
NR3933--MA0062.2.Gabpa	chr9	35495664	35495674	+	0.000	0.000	Merged-chr9-35495678-50
NR2821--MA0062.2.Gabpa	chr4	117478231	117478241	+	0.000	0.000	Merged-chr4-117478210-39
NR3789--MA0062.2.Gabpa	chr8	77268306	77268316	+	0.000	0.000	Merged-chr8-77268341-22
NR1185--MA0062.2.Gabpa	chr14	46578291	46578301	-	0.000	0.000	Merged-chr14-46578431-37
NR2914--MA0062.2.Gabpa	chr4	148509553	148509563	-	0.000	0.000	Merged-chr4-148509676-49
NR232--MA0062.2.Gabpa	chr1	177338873	177338883	-	0.000	0.000	Merged-chr1-177338915-41
NR3338--MA0062.2.Gabpa	chr6	119635731	119635741	-	0.000	0.000	Merged-chr6-119635924-52
NR598--MA0062.2.Gabpa	chr11	61699088	61699098	-	0.000	0.000	Merged-chr11-61699049-20
NR2545--MA0062.2.Gabpa	chr3	96814572	96814582	-	0.000	0.000	Merged-chr3-96814496-20
NR556--MA0062.2.Gabpa	chr11	43705516	43705526	+	0.000	0.000	Merged-chr11-43705351-17
NR2083--MA0062.2.Gabpa	chr2	10581307	10581317	-	0.000	0.000	Merged-chr2-10581253-23
NR1500--MA0062.2.Gabpa	chr16	24860685	24860695	+	0.000	0.000	Merged-chr16-24860567-33
NR3594--MA0062.2.Gabpa	chr7	100700022	100700032	+	0.000	0.000	Merged-chr7-100699955-31
NR2386--MA0062.2.Gabpa	chr2	167806111	167806121	+	0.000	0.000	Merged-chr2-167805984-37
NR3932--MA0062.2.Gabpa	chr9	35495521	35495531	-	0.000	0.000	Merged-chr9-35495678-50
NR3674--MA0062.2.Gabpa	chr7	132702777	132702787	-	0.000	0.000	Merged-chr7-132702776-14
NR1755--MA0062.2.Gabpa	chr17	62857498	62857508	+	0.000	0.000	Merged-chr17-62857583-41
NR3395--MA0062.2.Gabpa	chr6	144919923	144919933	-	0.000	0.000	Merged-chr6-144919933-48
NR4008--MA0062.2.Gabpa	chr9	77514123	77514133	-	0.000	0.000	Merged-chr9-77514125-35
NR1455--MA0062.2.Gabpa	chr16	3988768	3988778	-	0.000	0.000	Merged-chr16-3988637-25
NR3303--MA0062.2.Gabpa	chr6	94681653	94681663	+	0.000	0.000	Merged-chr6-94681460-83
NR3669--MA0062.2.Gabpa	chr7	130812529	130812539	+	0.000	0.000	Merged-chr7-130812664-20
NR2374--MA0062.2.Gabpa	chr2	165453485	165453495	-	0.000	0.000	Merged-chr2-165453384-56
NR3369--MA0062.2.Gabpa	chr6	134414425	134414435	+	0.000	0.000	Merged-chr6-134414331-55
NR3064--MA0062.2.Gabpa	chr5	99495573	99495583	-	0.000	0.000	Merged-chr5-99495568-41
NR351--MA0062.2.Gabpa	chr10	54026807	54026817	+	0.000	0.000	Merged-chr10-54026892-40
NR9--MA0062.2.Gabpa	chr1	14755600	14755610	-	0.000	0.000	Merged-chr1-14755599-24
NR1429--MA0062.2.Gabpa	chr15	92134530	92134540	+	0.000	0.000	Merged-chr15-92134460-52
NR330--MA0062.2.Gabpa	chr10	41519889	41519899	-	0.000	0.000	Merged-chr10-41519783-1
