#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Fli1/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_dn.bed
NR3003--MA0149.1.EWSR1-FLI1	chr13	97442606	97442623	+	0.000	0.000	Merged-chr13-97442585-64
NR2667--MA0149.1.EWSR1-FLI1	chr13	13537645	13537662	+	0.000	0.000	Merged-chr13-13537712-33
NR11002--MA0149.1.EWSR1-FLI1	chrY	90807418	90807435	-	0.000	0.000	Merged-chrY-90807613-47
NR3829--MA0149.1.EWSR1-FLI1	chr15	80896952	80896969	-	0.000	0.000	Merged-chr15-80896921-31
NR9923--MA0149.1.EWSR1-FLI1	chr8	106017314	106017331	+	0.000	0.000	Merged-chr8-106017356-24
NR2025--MA0149.1.EWSR1-FLI1	chr11	104667679	104667696	-	0.000	0.000	Merged-chr11-104667644-45
NR7924--MA0149.1.EWSR1-FLI1	chr5	107533882	107533899	-	0.000	0.000	Merged-chr5-107533890-8
NR10010--MA0475.2.FLI1	chr8	120715572	120715581	+	0.000	0.000	Merged-chr8-120715474-36
NR10993--MA0149.1.EWSR1-FLI1	chrY	90741594	90741611	+	0.000	0.000	Merged-chrY-90741561-38
NR10467--MA0475.2.FLI1	chr9	89221072	89221081	+	0.000	0.000	Merged-chr9-89221104-50
NR3659--MA0149.1.EWSR1-FLI1	chr15	34096568	34096585	+	0.000	0.000	Merged-chr15-34096594-23
NR2794--MA0149.1.EWSR1-FLI1	chr13	49371572	49371589	+	0.000	0.000	Merged-chr13-49371654-30
NR2181--MA0149.1.EWSR1-FLI1	chr11	119524520	119524537	+	0.000	0.000	Merged-chr11-119524712-24
NR4776--MA0149.1.EWSR1-FLI1	chr17	88143131	88143148	-	0.000	0.000	Merged-chr17-88142994-11
NR7707--MA0149.1.EWSR1-FLI1	chr5	31602567	31602584	+	0.000	0.000	Merged-chr5-31602596-35
NR4761--MA0475.2.FLI1	chr17	86833180	86833189	-	0.000	0.000	Merged-chr17-86833009-31
NR8562--MA0149.1.EWSR1-FLI1	chr6	97321269	97321286	+	0.000	0.000	Merged-chr6-97321339-36
NR3343--MA0149.1.EWSR1-FLI1	chr14	55913565	55913582	-	0.000	0.000	Merged-chr14-55913661-13
NR3345--MA0475.2.FLI1	chr14	55946476	55946485	+	0.000	0.000	Merged-chr14-55946478-14
NR4490--MA0149.1.EWSR1-FLI1	chr17	33550438	33550455	-	0.000	0.000	Merged-chr17-33550477-13
NR3435--MA0149.1.EWSR1-FLI1	chr14	74974552	74974569	-	0.000	0.000	Merged-chr14-74974575-17
NR958--MA0149.1.EWSR1-FLI1	chr10	41595846	41595863	-	0.000	0.000	Merged-chr10-41595749-48
NR2182--MA0149.1.EWSR1-FLI1	chr11	119524523	119524540	+	0.000	0.000	Merged-chr11-119524712-24
NR5230--MA0475.2.FLI1	chr19	45579257	45579266	-	0.000	0.000	Merged-chr19-45579112-22
NR2753--MA0475.2.FLI1	chr13	38010723	38010732	-	0.000	0.000	Merged-chr13-38010701-23
NR7960--MA0149.1.EWSR1-FLI1	chr5	113592031	113592048	+	0.000	0.000	Merged-chr5-113591973-17
NR2553--MA0149.1.EWSR1-FLI1	chr12	107139067	107139084	+	0.000	0.000	Merged-chr12-107139139-48
NR2655--MA0475.2.FLI1	chr13	4191167	4191176	-	0.000	0.000	Merged-chr13-4191269-39
NR7308--MA0475.2.FLI1	chr4	120053798	120053807	-	0.000	0.000	Merged-chr4-120053646-59
NR3270--MA0149.1.EWSR1-FLI1	chr14	30579467	30579484	+	0.000	0.000	Merged-chr14-30579338-21
NR2707--MA0149.1.EWSR1-FLI1	chr13	30609967	30609984	-	0.000	0.000	Merged-chr13-30609966-11
NR4820--MA0149.1.EWSR1-FLI1	chr18	15320909	15320926	-	0.000	0.000	Merged-chr18-15321000-14
NR3944--MA0475.2.FLI1	chr15	99333096	99333105	-	0.000	0.000	Merged-chr15-99333202-49
NR176--MA0149.1.EWSR1-FLI1	chr1	79711415	79711432	+	0.000	0.000	Merged-chr1-79711508-65
NR9360--MA0149.1.EWSR1-FLI1	chr7	101537780	101537797	-	0.000	0.000	Merged-chr7-101537821-5
NR756--MA0475.2.FLI1	chr1	189499921	189499930	+	0.000	0.000	Merged-chr1-189499965-39
NR7969--MA0149.1.EWSR1-FLI1	chr5	115167627	115167644	-	0.000	0.000	Merged-chr5-115167638-30
NR9494--MA0475.2.FLI1	chr7	125620300	125620309	+	0.000	0.000	Merged-chr7-125620287-12
NR8852--MA0475.2.FLI1	chr6	142561312	142561321	+	0.000	0.000	Merged-chr6-142561422-52
NR940--MA0149.1.EWSR1-FLI1	chr10	39023772	39023789	-	0.000	0.000	Merged-chr10-39023842-41
NR2137--MA0149.1.EWSR1-FLI1	chr11	115603765	115603782	+	0.000	0.000	Merged-chr11-115603871-66
NR4824--MA0475.2.FLI1	chr18	23734944	23734953	+	0.000	0.000	Merged-chr18-23734973-16
NR3684--MA0149.1.EWSR1-FLI1	chr15	38122230	38122247	-	0.000	0.000	Merged-chr15-38122272-49
NR3867--MA0149.1.EWSR1-FLI1	chr15	86058696	86058713	+	0.000	0.000	Merged-chr15-86058836-53
NR2676--MA0149.1.EWSR1-FLI1	chr13	17627384	17627401	-	0.000	0.000	Merged-chr13-17627310-18
NR1918--MA0475.2.FLI1	chr11	95805235	95805244	-	0.000	0.000	Merged-chr11-95805339-25
NR10045--MA0149.1.EWSR1-FLI1	chr8	124275698	124275715	+	0.000	0.000	Merged-chr8-124275920-41
NR5684--MA0149.1.EWSR1-FLI1	chr2	73495984	73496001	+	0.000	0.000	Merged-chr2-73496048-53
NR4530--MA0149.1.EWSR1-FLI1	chr17	35870329	35870346	+	0.000	0.000	Merged-chr17-35870412-57
NR3764--MA0149.1.EWSR1-FLI1	chr15	73743852	73743869	+	0.000	0.000	Merged-chr15-73743819-30
NR5012--MA0149.1.EWSR1-FLI1	chr18	80629120	80629137	-	0.000	0.000	Merged-chr18-80629168-11
NR8111--MA0149.1.EWSR1-FLI1	chr5	137705583	137705600	+	0.000	0.000	Merged-chr5-137705432-32
NR2677--MA0149.1.EWSR1-FLI1	chr13	17627388	17627405	-	0.000	0.000	Merged-chr13-17627310-18
NR9495--MA0149.1.EWSR1-FLI1	chr7	125630595	125630612	+	0.000	0.000	Merged-chr7-125630465-44
NR48--MA0475.2.FLI1	chr1	36282004	36282013	+	0.000	0.000	Merged-chr1-36282158-44
NR3268--MA0149.1.EWSR1-FLI1	chr14	30579463	30579480	+	0.000	0.000	Merged-chr14-30579338-21
NR178--MA0149.1.EWSR1-FLI1	chr1	79711423	79711440	+	0.000	0.000	Merged-chr1-79711508-65
NR4489--MA0149.1.EWSR1-FLI1	chr17	33550435	33550452	-	0.000	0.000	Merged-chr17-33550477-13
NR10422--MA0149.1.EWSR1-FLI1	chr9	79971069	79971086	-	0.000	0.000	Merged-chr9-79970896-33
NR5008--MA0149.1.EWSR1-FLI1	chr18	80178551	80178568	+	0.000	0.000	Merged-chr18-80178605-23
NR7279--MA0149.1.EWSR1-FLI1	chr4	116053337	116053354	+	0.000	0.000	Merged-chr4-116053495-96
NR7959--MA0149.1.EWSR1-FLI1	chr5	113592026	113592043	+	0.000	0.000	Merged-chr5-113591973-17
NR2023--MA0149.1.EWSR1-FLI1	chr11	104667671	104667688	-	0.000	0.000	Merged-chr11-104667644-45
NR10294--MA0149.1.EWSR1-FLI1	chr9	57577615	57577632	-	0.000	0.000	Merged-chr9-57577523-17
NR3657--MA0149.1.EWSR1-FLI1	chr15	34096560	34096577	+	0.000	0.000	Merged-chr15-34096594-23
NR3269--MA0149.1.EWSR1-FLI1	chr14	30579464	30579481	+	0.000	0.000	Merged-chr14-30579338-21
NR11001--MA0149.1.EWSR1-FLI1	chrY	90807414	90807431	-	0.000	0.000	Merged-chrY-90807613-47
NR4229--MA0475.2.FLI1	chr16	78606486	78606495	-	0.000	0.000	Merged-chr16-78606501-17
NR4802--MA0475.2.FLI1	chr18	7869018	7869027	+	0.000	0.000	Merged-chr18-7869140-116
NR3945--MA0475.2.FLI1	chr15	99333137	99333146	-	0.000	0.000	Merged-chr15-99333202-49
NR4139--MA0149.1.EWSR1-FLI1	chr16	43650575	43650592	-	0.000	0.000	Merged-chr16-43650685-39
NR8172--MA0149.1.EWSR1-FLI1	chr5	144216106	144216123	+	0.000	0.000	Merged-chr5-144216200-16
NR8853--MA0475.2.FLI1	chr6	142561360	142561369	+	0.000	0.000	Merged-chr6-142561422-52
NR10653--MA0149.1.EWSR1-FLI1	chr9	116366423	116366440	-	0.000	0.000	Merged-chr9-116366334-59
NR1893--MA0149.1.EWSR1-FLI1	chr11	88718375	88718392	-	0.000	0.000	Merged-chr11-88718407-109
NR1280--MA0149.1.EWSR1-FLI1	chr10	98954421	98954438	-	0.000	0.000	Merged-chr10-98954460-23
NR5632--MA0149.1.EWSR1-FLI1	chr2	65044466	65044483	+	0.000	0.000	Merged-chr2-65044504-13
NR7970--MA0149.1.EWSR1-FLI1	chr5	115167631	115167648	-	0.000	0.000	Merged-chr5-115167638-30
NR10992--MA0149.1.EWSR1-FLI1	chrY	90741590	90741607	+	0.000	0.000	Merged-chrY-90741561-38
NR9626--MA0475.2.FLI1	chr8	3355808	3355817	-	0.000	0.000	Merged-chr8-3355667-46
NR1367--MA0149.1.EWSR1-FLI1	chr10	118628141	118628158	-	0.000	0.000	Merged-chr10-118628235-24
NR50--MA0149.1.EWSR1-FLI1	chr1	36572014	36572031	+	0.000	0.000	Merged-chr1-36571820-13
NR3658--MA0149.1.EWSR1-FLI1	chr15	34096564	34096581	+	0.000	0.000	Merged-chr15-34096594-23
NR2180--MA0149.1.EWSR1-FLI1	chr11	119524519	119524536	+	0.000	0.000	Merged-chr11-119524712-24
NR4775--MA0149.1.EWSR1-FLI1	chr17	88143123	88143140	-	0.000	0.000	Merged-chr17-88142994-11
NR939--MA0149.1.EWSR1-FLI1	chr10	39023768	39023785	-	0.000	0.000	Merged-chr10-39023842-41
NR8561--MA0149.1.EWSR1-FLI1	chr6	97321265	97321282	+	0.000	0.000	Merged-chr6-97321339-36
NR6608--MA0475.2.FLI1	chr3	101274897	101274906	+	0.000	0.000	Merged-chr3-101274930-55
NR556--MA0149.1.EWSR1-FLI1	chr1	165691716	165691733	-	0.000	0.000	Merged-chr1-165691684-32
NR8282--MA0475.2.FLI1	chr6	31216571	31216580	+	0.000	0.000	Merged-chr6-31216711-63
NR5984--MA0149.1.EWSR1-FLI1	chr2	147030885	147030902	+	0.000	0.000	Merged-chr2-147030791-19
NR2652--MA0475.2.FLI1	chr13	3611044	3611053	+	0.000	0.000	Merged-chr13-3611189-5
NR2668--MA0149.1.EWSR1-FLI1	chr13	13537649	13537666	+	0.000	0.000	Merged-chr13-13537712-33
NR2787--MA0475.2.FLI1	chr13	45455804	45455813	+	0.000	0.000	Merged-chr13-45455779-40
NR4529--MA0149.1.EWSR1-FLI1	chr17	35870325	35870342	+	0.000	0.000	Merged-chr17-35870412-57
NR10667--MA0149.1.EWSR1-FLI1	chr9	119254952	119254969	-	0.000	0.000	Merged-chr9-119254891-26
NR9182--MA0149.1.EWSR1-FLI1	chr7	66273650	66273667	+	0.000	0.000	Merged-chr7-66273667-10
NR6377--MA0475.2.FLI1	chr3	41604830	41604839	-	0.000	0.000	Merged-chr3-41604848-38
NR557--MA0149.1.EWSR1-FLI1	chr1	165691720	165691737	-	0.000	0.000	Merged-chr1-165691684-32
NR4030--MA0149.1.EWSR1-FLI1	chr16	15636763	15636780	-	0.000	0.000	Merged-chr16-15636772-1
NR478--MA0149.1.EWSR1-FLI1	chr1	156462773	156462790	+	0.000	0.000	Merged-chr1-156462820-12
NR7925--MA0149.1.EWSR1-FLI1	chr5	107533886	107533903	-	0.000	0.000	Merged-chr5-107533890-8
NR8036--MA0149.1.EWSR1-FLI1	chr5	124213857	124213874	+	0.000	0.000	Merged-chr5-124213874-13
NR5780--MA0475.2.FLI1	chr2	102850015	102850024	+	0.000	0.000	Merged-chr2-102849968-21
NR3598--MA0149.1.EWSR1-FLI1	chr15	6707709	6707726	-	0.000	0.000	Merged-chr15-6707759-4
NR3682--MA0149.1.EWSR1-FLI1	chr15	38122181	38122198	-	0.000	0.000	Merged-chr15-38122272-49
NR10994--MA0149.1.EWSR1-FLI1	chrY	90741598	90741615	+	0.000	0.000	Merged-chrY-90741561-38
NR7708--MA0149.1.EWSR1-FLI1	chr5	31602571	31602588	+	0.000	0.000	Merged-chr5-31602596-35
NR8296--MA0149.1.EWSR1-FLI1	chr6	32779703	32779720	-	0.000	0.000	Merged-chr6-32779774-10
NR1095--MA0149.1.EWSR1-FLI1	chr10	77264397	77264414	-	0.000	0.000	Merged-chr10-77264465-20
NR3344--MA0149.1.EWSR1-FLI1	chr14	55913569	55913586	-	0.000	0.000	Merged-chr14-55913661-13
NR9972--MA0149.1.EWSR1-FLI1	chr8	115070277	115070294	-	0.000	0.000	Merged-chr8-115070439-32
NR9458--MA0149.1.EWSR1-FLI1	chr7	117521539	117521556	+	0.000	0.000	Merged-chr7-117521528-27
NR3683--MA0149.1.EWSR1-FLI1	chr15	38122202	38122219	-	0.000	0.000	Merged-chr15-38122272-49
NR9300--MA0475.2.FLI1	chr7	89253017	89253026	-	0.000	0.000	Merged-chr7-89253007-2
