#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Elf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR9627--MA0641.1.ELF4	chr7	130818994	130819005	-	0.000	0.000	Merged-chr7-130819109-29
NR9634--MA0136.2.ELF5	chr7	132702779	132702789	-	0.000	0.000	Merged-chr7-132702776-14
NR8683--MA0136.2.ELF5	chr6	94681651	94681661	+	0.000	0.000	Merged-chr6-94681460-83
NR10187--MA0136.2.ELF5	chr8	125649593	125649603	+	0.000	0.000	Merged-chr8-125649394-37
NR653--MA0640.1.ELF3	chr1	174040946	174040958	+	0.000	0.000	Merged-chr1-174041007-47
NR9307--MA0473.2.ELF1	chr7	79300684	79300695	-	0.000	0.000	Merged-chr7-79300921-71
NR10409--MA0641.1.ELF4	chr9	52349426	52349437	-	0.000	0.000	Merged-chr9-52349266-37
NR9109--MA0641.1.ELF4	chr7	24237652	24237663	+	0.000	0.000	Merged-chr7-24237656-23
NR10322--MA0136.2.ELF5	chr9	35495662	35495672	+	0.000	0.000	Merged-chr9-35495678-50
NR1666--MA0641.1.ELF4	chr11	61699090	61699101	-	0.000	0.000	Merged-chr11-61699049-20
NR10224--MA0136.2.ELF5	chr8	128433412	128433422	+	0.000	0.000	Merged-chr8-128433570-8
NR9017--MA0473.2.ELF1	chr7	4614252	4614263	-	0.000	0.000	Merged-chr7-4614138-46
NR4081--MA0641.1.ELF4	chr16	24860682	24860693	+	0.000	0.000	Merged-chr16-24860567-33
NR7020--MA0640.1.ELF3	chr3	137833471	137833483	-	0.000	0.000	Merged-chr3-137833460-41
NR8893--MA0641.1.ELF4	chr6	134414422	134414433	+	0.000	0.000	Merged-chr6-134414331-55
NR10742--MA0640.1.ELF3	chr9	108163756	108163768	+	0.000	0.000	Merged-chr9-108163865-26
NR9707--MA0473.2.ELF1	chr7	144444947	144444958	+	0.000	0.000	Merged-chr7-144445036-55
NR7564--MA0136.2.ELF5	chr4	138259673	138259683	-	0.000	0.000	Merged-chr4-138259629-9
NR9856--MA0136.2.ELF5	chr8	68212181	68212191	+	0.000	0.000	Merged-chr8-68212337-24
NR9657--MA0641.1.ELF4	chr7	137476590	137476601	-	0.000	0.000	Merged-chr7-137476773-22
NR9308--MA0641.1.ELF4	chr7	79300684	79300695	-	0.000	0.000	Merged-chr7-79300921-71
NR5665--MA0641.1.ELF4	chr2	10581309	10581320	-	0.000	0.000	Merged-chr2-10581253-23
NR8008--MA0641.1.ELF4	chr5	98018332	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR8005--MA0473.2.ELF1	chr5	98018332	98018343	+	0.000	0.000	Merged-chr5-98018284-53
NR6855--MA0473.2.ELF1	chr3	109444209	109444220	+	0.000	0.000	Merged-chr3-109444108-35
NR6856--MA0136.2.ELF5	chr3	109444210	109444220	+	0.000	0.000	Merged-chr3-109444108-35
NR2049--MA0136.2.ELF5	chr11	113153519	113153529	-	0.000	0.000	Merged-chr11-113153533-26
NR402--MA0473.2.ELF1	chr1	133012488	133012499	+	0.000	0.000	Merged-chr1-133012523-20
NR403--MA0136.2.ELF5	chr1	133012489	133012499	+	0.000	0.000	Merged-chr1-133012523-20
NR7411--MA0641.1.ELF4	chr4	117478228	117478239	+	0.000	0.000	Merged-chr4-117478210-39
NR550--MA0473.2.ELF1	chr1	160246105	160246116	+	0.000	0.000	Merged-chr1-160246205-43
NR6315--MA0136.2.ELF5	chr2	151944262	151944272	+	0.000	0.000	Merged-chr2-151944383-43
NR9369--MA0473.2.ELF1	chr7	89712049	89712060	+	0.000	0.000	Merged-chr7-89711964-5
NR9708--MA0641.1.ELF4	chr7	144444947	144444958	+	0.000	0.000	Merged-chr7-144445036-55
NR7470--MA0641.1.ELF4	chr4	128618676	128618687	-	0.000	0.000	Merged-chr4-128618755-32
NR8006--MA0640.1.ELF3	chr5	98018332	98018344	+	0.000	0.000	Merged-chr5-98018284-53
NR7021--MA0136.2.ELF5	chr3	137833472	137833482	-	0.000	0.000	Merged-chr3-137833460-41
NR3116--MA0641.1.ELF4	chr13	112388410	112388421	+	0.000	0.000	Merged-chr13-112388467-40
NR9682--MA0641.1.ELF4	chr7	140947141	140947152	-	0.000	0.000	Merged-chr7-140947277-49
NR1176--MA0136.2.ELF5	chr10	95746017	95746027	-	0.000	0.000	Merged-chr10-95746044-53
NR10743--MA0136.2.ELF5	chr9	108163757	108163767	+	0.000	0.000	Merged-chr9-108163865-26
NR7017--MA0136.2.ELF5	chr3	136742848	136742858	+	0.000	0.000	Merged-chr3-136742959-57
NR1738--MA0641.1.ELF4	chr11	72946544	72946555	-	0.000	0.000	Merged-chr11-72946553-29
NR551--MA0640.1.ELF3	chr1	160246105	160246117	+	0.000	0.000	Merged-chr1-160246205-43
NR7916--MA0473.2.ELF1	chr5	64989938	64989949	+	0.000	0.000	Merged-chr5-64990076-28
NR1735--MA0473.2.ELF1	chr11	72946544	72946555	-	0.000	0.000	Merged-chr11-72946553-29
NR4946--MA0640.1.ELF3	chr17	88479260	88479272	-	0.000	0.000	Merged-chr17-88479234-18
NR5889--MA0473.2.ELF1	chr2	57256211	57256222	+	0.000	0.000	Merged-chr2-57256116-15
NR4459--MA0473.2.ELF1	chr17	21463686	21463697	+	0.000	0.000	Merged-chr17-21463736-49
NR663--MA0641.1.ELF4	chr1	177383082	177383093	-	0.000	0.000	Merged-chr1-177382915-26
NR660--MA0473.2.ELF1	chr1	177383082	177383093	-	0.000	0.000	Merged-chr1-177382915-26
NR1448--MA0641.1.ELF4	chr11	11726279	11726290	-	0.000	0.000	Merged-chr11-11726036-106
NR1445--MA0473.2.ELF1	chr11	11726279	11726290	-	0.000	0.000	Merged-chr11-11726036-106
NR2988--MA0136.2.ELF5	chr13	95427651	95427661	-	0.000	0.000	Merged-chr13-95427714-10
NR9018--MA0473.2.ELF1	chr7	4614288	4614299	-	0.000	0.000	Merged-chr7-4614138-46
NR3114--MA0640.1.ELF3	chr13	112388410	112388422	+	0.000	0.000	Merged-chr13-112388467-40
NR2223--MA0136.2.ELF5	chr12	35799410	35799420	+	0.000	0.000	Merged-chr12-35799508-49
NR9635--MA0641.1.ELF4	chr7	132702779	132702790	-	0.000	0.000	Merged-chr7-132702776-14
NR7917--MA0640.1.ELF3	chr5	64989938	64989950	+	0.000	0.000	Merged-chr5-64990076-28
